stkcode,headcount
'000725,45727
'002958,26214
'601989,23786
'601766,23109
'601899,20879
'600030,20103
'600795,20081
'600050,19355
'601390,18017
'600010,17734
'601857,16093
'601668,16075
'601988,15856
'000100,14780
'601600,13971
'601985,13899
'600028,13894
'601099,13521
'601398,13493
'601169,12403
'600221,12309
'601618,12227
'000630,11979
'601318,11940
'000651,11355
'601288,11309
'600839,11235
'601258,10991
'600157,10986
'600016,10807
'000001,10648
'000063,10223
'601866,10140
'002065,10117
'600019,10066
'000166,10012
'000157,9993
'601106,9905
'000413,9895
'000709,9758
'600868,9555
'600022,9383
'601939,9302
'600111,9246
'601066,9231
'600031,9140
'601727,9092
'002195,8656
'600307,8556
'601328,8496
'603993,8442
'300059,8411
'601138,8366
'600089,8273
'601669,8160
'600837,8144
'600518,8126
'000629,8093
'002024,8063
'601919,8039
'601186,7994
'002230,7925
'600068,7894
'601319,7744
'600601,7587
'600219,7547
'002610,7389
'600567,7316
'600635,7280
'601377,7255
'300104,7244
'600401,7229
'600008,7200
'000839,7099
'002797,6797
'002131,6778
'601558,6636
'600018,6621
'600489,6604
'600797,6582
'000727,6576
'000425,6573
'002340,6567
'601166,6545
'000002,6528
'600516,6521
'600025,6511
'601333,6508
'000540,6485
'600863,6415
'600487,6303
'600887,6293
'000783,6237
'002600,6194
'000750,6186
'601818,6102
'000858,6084
'601901,5984
'601519,5965
'600036,5920
'002027,5905
'600808,5881
'600170,5836
'600705,5807
'300017,5708
'002673,5690
'000338,5682
'601991,5681
'600522,5606
'000778,5594
'601018,5548
'600503,5541
'600653,5503
'601918,5483
'000009,5422
'600000,5419
'300315,5395
'002926,5395
'600255,5349
'600320,5349
'000825,5339
'601880,5330
'600166,5328
'000977,5324
'600256,5312
'601588,5298
'000563,5283
'601168,5264
'601992,5245
'600115,5228
'600100,5216
'000667,5194
'601088,5159
'601211,5155
'600369,5153
'601998,5151
'000751,5146
'600637,5145
'600690,5127
'002936,5117
'000683,5064
'002456,5057
'600415,5056
'600879,5031
'000625,5030
'600497,5021
'600029,5019
'000875,5014
'002450,5014
'002460,5007
'601688,4973
'600023,4933
'600919,4931
'000735,4920
'000031,4899
'600895,4882
'600642,4867
'600703,4853
'600816,4852
'603077,4822
'600909,4802
'600108,4796
'601608,4768
'000598,4752
'601212,4742
'002477,4731
'000682,4708
'000060,4706
'600460,4698
'600604,4680
'002415,4665
'000768,4650
'600317,4648
'600820,4612
'600886,4577
'600958,4572
'000333,4572
'000776,4535
'000078,4530
'601872,4515
'601179,4514
'601005,4493
'600755,4485
'000066,4479
'601108,4441
'002505,4424
'600776,4424
'600547,4423
'600485,4354
'300024,4330
'600048,4328
'601898,4323
'601111,4316
'000897,4292
'600039,4273
'002031,4261
'600109,4245
'600362,4201
'000932,4200
'600017,4182
'002185,4154
'600928,4150
'000930,4146
'600873,4134
'000656,4131
'600187,4127
'002466,4125
'002500,4112
'601229,4105
'600435,4097
'002465,4096
'601216,4084
'601375,4067
'600959,4065
'002405,4060
'000983,4055
'601006,4045
'600118,4033
'600252,4018
'601890,4015
'603799,4009
'600210,4001
'601718,3980
'002948,3978
'600104,3975
'601010,3972
'000917,3972
'000807,3967
'300185,3961
'002292,3949
'600176,3936
'600027,3923
'000767,3918
'600309,3918
'600169,3907
'000005,3906
'000882,3872
'600901,3871
'601000,3848
'601800,3831
'601838,3823
'600177,3804
'002498,3791
'600282,3784
'600352,3771
'002176,3769
'600624,3762
'000758,3752
'601933,3726
'002129,3726
'601009,3701
'002008,3699
'000670,3699
'600033,3692
'600151,3685
'000680,3679
'600276,3662
'600577,3652
'600425,3651
'000830,3642
'601118,3634
'000027,3629
'000878,3626
'600495,3620
'600606,3619
'600297,3618
'300027,3613
'600737,3613
'002506,3596
'000636,3594
'600196,3591
'002310,3585
'600496,3577
'000877,3575
'601298,3575
'600006,3565
'002280,3553
'601975,3551
'000886,3523
'002241,3522
'601228,3512
'000572,3505
'600220,3499
'600711,3479
'600550,3462
'600726,3460
'601611,3454
'000898,3439
'600015,3428
'002130,3425
'601878,3425
'000717,3423
'600021,3421
'601162,3405
'600150,3398
'600881,3396
'000933,3391
'600871,3389
'002266,3385
'000571,3384
'000931,3376
'002385,3367
'600875,3364
'600999,3328
'600584,3328
'601016,3324
'600698,3321
'601700,3315
'600380,3312
'600595,3306
'600583,3301
'600528,3295
'000652,3293
'000050,3287
'600572,3284
'600103,3281
'600649,3280
'000959,3278
'002407,3276
'600326,3269
'000816,3267
'000793,3264
'002421,3260
'601011,3251
'000883,3241
'000686,3232
'000415,3230
'600717,3229
'601628,3229
'000021,3220
'601881,3218
'000410,3218
'600410,3217
'600175,3214
'002736,3213
'600153,3204
'000806,3201
'600428,3185
'600446,3162
'000547,3145
'600777,3142
'300070,3137
'600664,3136
'000592,3121
'300079,3117
'002049,3113
'300111,3103
'600611,3102
'600789,3098
'000507,3098
'000516,3092
'600331,3091
'002252,3087
'600569,3086
'000616,3084
'600549,3083
'002155,3079
'000520,3077
'600804,3070
'601128,3060
'000970,3060
'601788,3060
'002547,3058
'000728,3055
'601958,3049
'000488,3035
'002526,3033
'601008,3032
'601326,3024
'600269,3023
'600728,3020
'601929,3014
'601555,3011
'000623,2998
'002004,2988
'601198,2982
'002175,2970
'600846,2962
'600158,2953
'600581,2951
'002183,2946
'002202,2939
'002497,2930
'600026,2929
'000401,2910
'600586,2904
'002463,2902
'600399,2901
'002217,2900
'601860,2894
'002013,2893
'000988,2886
'000559,2885
'000627,2884
'601200,2865
'000012,2864
'002573,2855
'600125,2850
'002236,2837
'000831,2829
'002342,2828
'002471,2828
'600677,2824
'600811,2822
'002302,2814
'601601,2814
'002491,2807
'600405,2806
'002663,2801
'600900,2797
'000528,2791
'600490,2790
'000973,2782
'600655,2781
'601117,2777
'600133,2770
'600208,2766
'600388,2764
'002739,2753
'600063,2752
'002177,2750
'600988,2742
'603000,2740
'600110,2739
'002161,2735
'600744,2734
'000792,2731
'000937,2726
'002636,2723
'600565,2711
'002474,2708
'600660,2707
'000536,2704
'000859,2700
