stkcode,headcount
'000725,47221
'601989,23872
'601766,23013
'601899,21098
'600030,20556
'600795,20146
'600050,19642
'600010,18385
'601390,17890
'601668,16153
'601857,16001
'000100,15833
'601988,15756
'601099,14758
'601600,14246
'600028,14003
'601985,13628
'601398,13177
'600221,12481
'601618,12421
'601169,12384
'601318,11816
'600928,11793
'000630,11476
'601258,11332
'000651,11220
'601288,11184
'000001,10912
'600016,10798
'000063,10796
'600839,10657
'600157,10323
'000166,10295
'601866,10266
'000413,10210
'000157,10201
'601106,10196
'600019,10093
'000709,9838
'600868,9732
'600031,9562
'600022,9546
'600111,9464
'601939,9352
'601138,9150
'601727,9043
'600307,8817
'603993,8675
'300059,8555
'601328,8475
'600837,8421
'000629,8370
'601669,8248
'601186,8055
'601919,8043
'002024,8040
'002230,7964
'600068,7914
'601377,7892
'600518,7869
'300104,7864
'600089,7711
'600219,7549
'600601,7431
'000839,7381
'002797,7299
'600567,7269
'600401,7227
'600008,7182
'002610,7179
'601066,7176
'600635,7069
'600018,7019
'000425,6853
'002340,6837
'000002,6825
'601319,6773
'600025,6751
'000540,6724
'601558,6696
'600489,6663
'000858,6647
'601166,6642
'000783,6602
'600516,6582
'601333,6569
'002195,6531
'600863,6444
'600887,6420
'601901,6218
'002926,6217
'000750,6207
'600487,6111
'000727,6107
'600036,5995
'601818,5972
'600170,5964
'600808,5961
'002936,5960
'600503,5890
'002673,5887
'600255,5749
'601991,5738
'600522,5702
'000338,5695
'600705,5689
'601918,5658
'000778,5600
'600653,5556
'000009,5556
'600369,5524
'000563,5513
'300315,5507
'601880,5461
'600320,5452
'600115,5446
'000825,5428
'002450,5426
'601018,5406
'601211,5396
'601992,5393
'600000,5380
'601688,5335
'000751,5296
'000667,5290
'601168,5273
'600166,5266
'600256,5266
'601588,5245
'000977,5228
'600909,5226
'600100,5215
'600029,5178
'601088,5139
'600415,5129
'600497,5108
'002131,5088
'603077,5077
'600919,5077
'600816,5064
'601998,5061
'600690,5055
'600879,5050
'000875,5042
'002027,5028
'000031,5007
'000735,4955
'000776,4928
'600637,4923
'000625,4896
'000060,4894
'002415,4885
'600023,4880
'600108,4856
'002460,4845
'600642,4824
'000333,4823
'002456,4807
'600958,4762
'600703,4716
'601608,4695
'000598,4692
'600820,4682
'600317,4681
'002477,4670
'000078,4668
'601005,4667
'601212,4618
'000768,4591
'600048,4578
'601872,4568
'002031,4566
'600886,4556
'600460,4517
'002600,4516
'300024,4515
'600895,4484
'000897,4475
'000683,4474
'601111,4467
'002948,4457
'600755,4453
'603799,4423
'601898,4388
'600485,4352
'600039,4347
'600547,4337
'601375,4334
'600362,4315
'002505,4308
'601519,4303
'600109,4300
'600776,4298
'002185,4273
'002405,4249
'601179,4236
'600017,4234
'002008,4225
'601890,4221
'002466,4211
'600873,4204
'600901,4198
'601216,4194
'000656,4188
'002465,4173
'000917,4171
'601229,4152
'600435,4143
'600118,4136
'002500,4136
'000983,4130
'000066,4121
'000807,4117
'000682,4117
'600252,4113
'600309,4112
'601838,4090
'000930,4077
'600187,4077
'000882,4072
'600959,4071
'600169,4067
'300185,4054
'601718,4005
'600210,4000
'600282,3950
'000636,3948
'000005,3933
'601700,3931
'601006,3910
'000767,3904
'601009,3900
'601000,3873
'601933,3856
'000758,3839
'600604,3833
'601010,3799
'601162,3799
'002129,3798
'601800,3792
'600151,3764
'300027,3760
'600737,3760
'601865,3759
'600027,3738
'600033,3735
'600352,3730
'601118,3725
'600495,3693
'000878,3693
'000830,3686
'000027,3680
'002506,3675
'002310,3675
'000680,3673
'600577,3656
'600711,3650
'600006,3626
'002273,3617
'002280,3616
'600276,3609
'601228,3607
'601611,3603
'601975,3603
'600177,3601
'600425,3601
'002176,3599
'002498,3594
'000050,3580
'600606,3579
'600196,3563
'002385,3562
'601878,3555
'600496,3550
'000886,3549
'600726,3521
'000717,3492
'600220,3482
'600550,3481
'600150,3479
'000932,3475
'000933,3468
'600797,3463
'601108,3460
'601881,3450
'600871,3450
'300017,3435
'600015,3435
'600297,3427
'600331,3424
'600881,3411
'000686,3410
'002266,3405
'000898,3402
'002421,3402
'600584,3392
'600528,3385
'002407,3382
'600875,3381
'601298,3378
'002526,3374
'000410,3368
'600103,3358
'000959,3356
'000816,3355
'600176,3353
'600649,3351
'600021,3351
'601628,3346
'600999,3332
'002547,3327
'600104,3323
'000931,3322
'002636,3309
'000571,3296
'601011,3296
'000547,3294
'000572,3291
'000415,3287
'600717,3285
'600698,3283
'600175,3278
'600583,3269
'002241,3264
'002065,3261
