stkcode,headcount
'000725,45551
'601989,23779
'601766,22966
'601899,20812
'600795,20162
'600030,19487
'600050,19241
'600010,17973
'601390,17823
'601668,16020
'601857,15989
'601988,15762
'000100,14902
'601600,14057
'600028,13928
'601985,13566
'601398,13358
'601099,13233
'601169,12395
'601318,12368
'600221,12355
'000630,12247
'601618,12232
'000651,11467
'600839,11315
'600157,11269
'601288,11236
'601258,11182
'000001,10834
'600016,10745
'000063,10718
'002065,10554
'601866,10217
'000157,10083
'600019,10063
'000413,10055
'601106,9927
'000166,9926
'000709,9843
'600868,9715
'601939,9485
'600022,9397
'600031,9299
'600111,9274
'601066,9128
'601727,9100
'601138,8685
'600307,8644
'601328,8542
'603993,8393
'600837,8211
'600089,8201
'601669,8176
'002230,8166
'000629,8073
'002024,8034
'601186,8022
'601919,8021
'600068,7860
'300059,7836
'601319,7755
'600518,7691
'002610,7632
'600219,7617
'600601,7472
'300104,7422
'600008,7258
'601377,7240
'600401,7227
'000839,7215
'002131,7165
'000002,7135
'600567,7092
'600635,7042
'002195,6954
'600018,6880
'600516,6762
'002797,6725
'000425,6715
'601558,6692
'600797,6665
'601166,6658
'600025,6656
'002340,6643
'000727,6625
'600489,6550
'601333,6508
'000540,6474
'600863,6461
'600887,6457
'000858,6425
'600487,6317
'000783,6278
'600036,6203
'002600,6151
'601818,6030
'601901,5983
'600170,5961
'600808,5850
'601519,5824
'601991,5696
'000338,5665
'600705,5648
'000750,5633
'600522,5622
'601018,5613
'002673,5609
'601918,5590
'600503,5554
'000778,5548
'300315,5528
'600653,5515
'002926,5504
'600115,5444
'300017,5440
'600000,5422
'000009,5415
'601880,5405
'600255,5374
'600320,5357
'600029,5338
'600928,5327
'002027,5324
'000825,5308
'601992,5300
'600166,5253
'000667,5227
'600690,5225
'601588,5216
'002936,5213
'601168,5211
'600100,5207
'000751,5170
'600256,5166
'002450,5163
'601088,5150
'600879,5148
'600369,5132
'601998,5124
'002460,5105
'000875,5105
'600637,5089
'600415,5067
'601211,5042
'600497,5033
'000977,4968
'000735,4968
'600460,4961
'000625,4959
'600919,4934
'600642,4920
'600703,4920
'600023,4917
'000031,4916
'600776,4913
'603077,4899
'601212,4896
'600909,4864
'000333,4836
'601688,4825
'600108,4822
'600048,4819
'002415,4768
'601608,4765
'000598,4762
'000060,4755
'000768,4739
'000563,4726
'002456,4677
'600317,4651
'002477,4643
'601179,4627
'601108,4624
'600820,4611
'600886,4595
'601111,4572
'600816,4571
'002505,4571
'601005,4543
'601872,4529
'000776,4521
'000078,4495
'600958,4456
'000932,4421
'000683,4406
'600755,4380
'002185,4358
'600485,4352
'000897,4348
'600039,4345
'601898,4338
'601216,4332
'600547,4311
'002031,4305
'300024,4291
'000682,4265
'002466,4262
'600109,4258
'600118,4250
'000656,4243
'000066,4237
'600895,4225
'600017,4214
'600435,4201
'603799,4171
'600362,4142
'600873,4134
'601229,4116
'002465,4113
'600309,4098
'601010,4092
'600252,4090
'002498,4068
'601890,4065
'000917,4051
'600959,4047
'000983,4021
'601375,4016
'000930,4013
'002948,4010
'000882,3998
'601006,3992
'600210,3991
'002405,3989
'600297,3988
'300185,3986
'600187,3986
'601718,3985
'000807,3980
'002500,3968
'600604,3963
'002008,3951
'600169,3936
'000767,3935
'000005,3921
'600901,3920
'601838,3902
'600282,3882
'601000,3856
'600027,3845
'600577,3829
'601933,3809
'000670,3787
'601009,3785
'601865,3778
'601800,3760
'600033,3742
'600151,3732
'000758,3731
'600104,3720
'600196,3706
'002129,3698
'600606,3697
'600276,3680
'002280,3678
'300027,3676
'601118,3675
'600352,3667
'000027,3665
'600737,3657
'002506,3646
'002176,3643
'600496,3641
'000636,3625
'000680,3620
'600176,3614
'000878,3612
'600495,3595
'600177,3576
'600006,3575
'601975,3572
'002310,3553
'600550,3538
'601228,3534
'601878,3533
'000050,3530
'600711,3524
'600584,3524
'600220,3506
'600726,3506
'000886,3496
'601700,3495
'002385,3472
'000830,3467
'002421,3465
'002241,3461
'601162,3449
'600021,3448
'000931,3418
'300079,3414
'600015,3412
'000933,3410
'600150,3405
