stkcode,headcount
'000725,44232
'601989,25109
'601766,23101
'601899,20722
'600030,20008
'600795,19866
'600050,19503
'601390,18203
'600010,17317
'601857,16282
'601988,15799
'601668,15217
'000100,15067
'600028,14546
'601985,13752
'601600,13706
'601398,13464
'600221,12652
'601169,12447
'601099,12240
'601618,12008
'000630,11559
'601288,11352
'000651,11333
'601318,11283
'600016,11119
'600839,10692
'601258,10610
'600157,10253
'601866,10181
'000157,9893
'000166,9846
'600031,9825
'000001,9790
'600019,9751
'000413,9652
'601106,9641
'000709,9489
'601727,9346
'601066,9326
'601939,9260
'000063,9258
'600022,9249
'601328,9219
'600868,8991
'002065,8957
'600111,8832
'601186,8593
'300059,8435
'600837,8338
'603993,8296
'600307,8291
'601669,8080
'000629,8074
'601138,7957
'600089,7924
'600068,7921
'601919,7893
'002195,7647
'600567,7646
'002610,7640
'002024,7541
'600518,7532
'002230,7523
'600219,7351
'000858,7251
'000839,7233
'600401,7229
'300104,7201
'600601,7149
'600635,6956
'601319,6927
'601377,6923
'600008,6880
'002958,6873
'600018,6830
'601333,6722
'601558,6542
'002500,6529
'002131,6524
'600516,6504
'600489,6469
'000338,6453
'002340,6429
'000540,6429
'600487,6427
'600352,6426
'600863,6352
'002797,6344
'000002,6336
'601818,6237
'000932,6229
'600887,6191
'000425,6162
'601166,6142
'000783,6110
'600025,6001
'600808,5984
'600705,5940
'601901,5875
'600036,5853
'000727,5827
'601519,5681
'002673,5669
'601991,5658
'601018,5645
'000750,5605
'002027,5564
'600170,5538
'600000,5514
'601688,5477
'600797,5460
'600653,5448
'600522,5403
'300315,5388
'601975,5367
'601088,5355
'000825,5346
'601880,5340
'000778,5325
'600503,5309
'601918,5295
'600320,5272
'600256,5269
'601588,5268
'603077,5256
'002600,5253
'600115,5230
'000009,5217
'600879,5211
'600703,5199
'600369,5179
'000875,5174
'000667,5169
'002926,5157
'600637,5151
'600166,5150
'600255,5130
'601992,5114
'002456,5105
'601998,5098
'601168,5084
'600108,5078
'600100,5061
'002415,5001
'600690,4986
'600415,4983
'000977,4978
'601211,4976
'000751,4962
'000066,4958
'300017,4952
'600029,4918
'000078,4912
'600023,4897
'000031,4886
'600497,4862
'002460,4862
'000060,4835
'002477,4817
'000625,4813
'002450,4776
'000735,4748
'600919,4727
'000563,4725
'002202,4724
'600642,4714
'600909,4701
'000768,4694
'600460,4641
'000598,4632
'000776,4612
'002936,4568
