stkcode,headcount
'000725,44588
'601989,23749
'601766,22841
'601899,20775
'600795,19986
'600050,19681
'600030,18986
'601390,17748
'600010,16685
'601857,15840
'601988,15803
'601668,15582
'601600,14189
'600028,13969
'000100,13552
'601985,13502
'601398,12896
'601099,12703
'601169,12384
'600221,12197
'601318,11989
'600928,11879
'601618,11867
'000630,11396
'000651,11319
'601258,11057
'601288,10919
'000001,10854
'600016,10788
'000063,10735
'601866,10297
'000157,10260
'600019,10083
'600839,9957
'000413,9884
'000709,9857
'601106,9819
'600868,9402
'000166,9362
'601939,9323
'600031,9302
'600157,9283
'600111,9232
'600022,9231
'601727,9026
'601138,8915
'600307,8668
'601328,8526
'603993,8285
'000629,8111
'601669,8102
'601919,8070
'002024,7975
'601186,7889
'600068,7872
'600089,7640
'600837,7616
'300104,7568
'600518,7477
'002230,7390
'601377,7329
'300059,7322
'600601,7271
'600219,7249
'600401,7227
'600008,7201
'601319,7117
'600018,7014
'000839,6920
'000425,6831
'600567,6829
'600635,6820
'002610,6820
'000540,6781
'600025,6780
'000002,6773
'601558,6711
'002340,6680
'000858,6662
'600516,6616
'601166,6607
'002797,6543
'600489,6532
'601333,6505
'600863,6476
'002195,6280
'000783,6271
'600887,6190
'002936,6152
'002926,6050
'600487,6024
'601901,5988
'601818,5920
'600808,5914
'600036,5870
'601066,5861
'600170,5840
'601991,5718
'000750,5710
'600705,5698
'601918,5673
'000778,5630
'600653,5571
'002673,5502
'000338,5481
'601992,5465
'600522,5448
'300315,5428
'601880,5394
'600115,5393
'600000,5391
'601018,5369
'600320,5366
'000825,5341
'600503,5304
'000667,5280
'000751,5272
'002948,5238
'601168,5234
'000009,5234
'600256,5231
'600166,5227
'600100,5184
'601588,5179
'002131,5171
'601088,5163
'600919,5160
'000727,5136
'002450,5123
'600369,5105
'600415,5087
'600497,4997
'000031,4979
'600879,4977
'600029,4970
'600255,4955
'000875,4939
'600023,4893
'603077,4874
'601998,4873
'601211,4862
'000735,4824
'600642,4817
'600108,4812
'000625,4809
'600637,4799
'002477,4720
'600690,4716
'000598,4711
'000060,4701
'000768,4669
'600909,4646
'000333,4625
'600317,4621
'002460,4612
'601872,4588
'600820,4579
'002415,4558
'601005,4551
'600886,4523
'600755,4461
'600048,4416
'601898,4401
'000776,4396
'002027,4386
'600901,4373
'000078,4359
'600485,4352
'000683,4341
'002456,4339
'601519,4303
'600895,4298
'600703,4279
'600039,4260
'300024,4243
'600873,4237
'600958,4222
'601212,4217
'601688,4214
'601179,4197
'000656,4189
'002505,4189
'600435,4186
'601229,4182
'600017,4174
'002466,4172
'600118,4158
'000066,4156
'600547,4148
'000897,4148
'601111,4141
'000983,4140
'002600,4114
'002465,4106
'000930,4095
'600252,4094
'000977,4091
'002031,4080
'601838,4070
'600362,4058
'000682,4057
'002008,4046
'600109,4046
'601009,4035
'600460,4034
'600187,4025
'600169,4023
'002500,4012
'600776,4011
'600959,3995
'002405,3995
'000882,3985
'601718,3976
'601865,3952
'600210,3945
'600282,3922
'600309,3921
'300185,3912
'601375,3909
'000807,3904
'002341,3901
'000005,3896
'000767,3891
'603799,3878
'601298,3859
'600151,3852
'601108,3814
'601010,3807
'601000,3789
'601006,3784
'300027,3770
'600352,3768
'000758,3754
'601118,3737
'600033,3733
'600737,3732
'601800,3721
'601890,3720
'002185,3711
'000563,3701
'600276,3692
'601975,3689
'000878,3685
'002129,3677
'600577,3660
'601933,3657
'601608,3655
'000917,3652
'000027,3651
'600816,3644
'000680,3636
'601216,3620
'600006,3615
'600177,3594
'600495,3592
'600496,3576
'601228,3575
'600027,3574
'002498,3573
'000886,3565
'600606,3560
'002176,3560
'600711,3527
'300017,3525
'600604,3520
'601700,3510
'002506,3500
'600871,3498
'600150,3491
'000050,3488
'600196,3488
'000830,3477
'000717,3475
'600550,3472
'000932,3461
'600726,3456
'600220,3450
'002310,3442
'002280,3419
'600015,3412
'000636,3407
'002407,3405
'002266,3405
'000933,3389
'600797,3388
'600881,3386
'600528,3381
'000898,3379
'600875,3374
'002636,3366
'000415,3366
'601162,3358
'600103,3345
'000816,3337
'000931,3334
'000959,3316
'000571,3309
'600021,3308
'000410,3290
'600583,3285
'601011,3276
'000652,3270
'600717,3269
'000401,3266
'601611,3266
'000686,3265
'002241,3257
'600698,3245
'601628,3228
'000883,3226
'600380,3219
'600649,3217
'000021,3215
'000507,3215
'002202,3209
'600428,3204
'002385,3195
'002049,3185
'000547,3175
'600175,3160
'002547,3158
'600569,3155
'600584,3153
'600153,3153
'601016,3150
'000592,3149
'600595,3148
'600789,3122
'601128,3119
'002736,3116
'000616,3115
'601958,3103
'600269,3101
'000520,3100
'000793,3087
'002497,3085
'601198,3081
'000516,3073
'002663,3070
'300111,3068
'600549,3068
'601577,3067
'600446,3026
'601008,3022
'600026,3020
'000970,3017
'600777,3016
'600611,3009
'600326,3006
'600999,3004
'000623,3003
'600399,3001
'601878,2999
'002155,2996
'601881,2994
'002004,2982
'002065,2967
'002938,2951
'000572,2940
'600586,2933
'000012,2928
'600125,2924
'000488,2923
'000728,2922
'002089,2920
'002183,2917
'600158,2914
'600331,2907
'000627,2892
'600804,2887
'002130,2886
'000973,2886
'600104,2879
'002739,2876
'601788,2874
'000559,2874
'000536,2867
'000806,2866
'600664,2865
'601326,2863
'601200,2852
'002463,2851
'002839,2851
'600176,2849
'600388,2843
'600900,2837
'601555,2831
'600490,2824
'002342,2822
'600677,2821
'002177,2814
'300070,2802
'002489,2796
'000937,2788
'600565,2786
'000670,2785
'600977,2784
'600655,2783
'002217,2766
'600208,2761
'601117,2757
'002431,2757
'600405,2756
'000877,2753
'600988,2737
'600512,2732
'002491,2730
'600572,2728
'600133,2726
'002161,2724
'000831,2722
'300077,2714
'000519,2709
'002939,2708
'002471,2707
'600130,2704
'600291,2700
'002392,2695
'600811,2695
'600063,2691
'002236,2687
'002263,2685
'002030,2681
'000988,2672
'600110,2670
'000792,2667
'600812,2660
'600598,2658
'000069,2656
'001696,2654
'002154,2643
'600744,2643
'600074,2642
'600343,2640
'600874,2635
'000650,2631
'600348,2628
'000861,2625
'002252,2620
'000518,2620
'000039,2620
'002526,2614
'600652,2603
'600846,2601
'002312,2601
'600581,2597
'600020,2597
'600966,2595
'002256,2589
'002023,2589
'601997,2586
'300355,2586
'600531,2581
'600360,2581
'000423,2578
'600519,2573
'002573,2570
'600186,2563
'600143,2553
'002108,2547
'600410,2544
'600226,2539
'600688,2539
'002276,2538
'300079,2537
'600614,2530
'002945,2527
'600086,2527
'600654,2524
'000859,2524
'600085,2508
'000738,2507
'600183,2506
'601929,2505
'000528,2503
'600624,2501
'000008,2500
'600662,2500
'600893,2497
'002013,2495
'600392,2492
'002429,2492
'002446,2490
'600718,2485
'300116,2483
'600425,2480
'600675,2475
'600122,2474
'002594,2470
'600284,2468
'002949,2467
'600340,2461
'000402,2458
'002421,2458
'600162,2456
'300324,2453
'600311,2445
'002288,2445
'603019,2443
'002474,2442
'002436,2441
'002145,2441
'002067,2437
'601828,2435
'002151,2435
'002092,2430
'002426,2428
'601001,2419
'600728,2416
'000600,2415
'600720,2409
'600498,2405
'002102,2404
'600507,2403
'002307,2401
'600127,2401
'600105,2398
'600739,2395
'000960,2394
'300088,2393
'600190,2388
'300251,2382
'600666,2381
'600072,2370
'000718,2368
'600770,2362
'000720,2360
'300418,2359
'601601,2358
'000795,2354
'000070,2353
'002001,2351
'600300,2336
'000753,2335
'000301,2333
'600555,2329
'601636,2324
'000777,2315
'000800,2313
'600188,2298
'000958,2296
'601699,2292
'601666,2286
'600970,2283
'600171,2281
'601860,2277
'600084,2275
'002716,2274
'600106,2274
'601990,2269
'002097,2262
'601002,2256
'601388,2254
'600794,2249
'600308,2243
'600751,2240
'600926,2240
'300072,2235
'002467,2233
'600467,2227
'002104,2224
'600409,2223
'600396,2218
'000006,2218
'600037,2217
'600231,2214
'000997,2214
'603858,2214
'002302,2211
'000939,2208
'002002,2205
'000690,2199
'600884,2198
'600525,2196
'300750,2195
'601615,2194
'600266,2192
'002156,2192
'600759,2192
'002486,2189
'300136,2182
'000729,2179
'600350,2176
'000822,2169
'600322,2168
'600578,2166
'000548,2166
'600321,2163
'600206,2161
'000545,2160
'600827,2158
'002285,2153
'000876,2150
'600667,2148
'002447,2146
'600660,2145
'002337,2144
'601019,2142
'002005,2140
'002115,2140
'300058,2139
'002239,2138
'600227,2135
'002018,2132
'600643,2132
'600798,2132
'600978,2131
'600200,2125
'600240,2124
'600011,2122
'600500,2121
'600418,2120
'300737,2119
'000762,2117
'002052,2113
'002226,2112
'002113,2111
'000868,2097
'600316,2096
'000901,2091
'002175,2090
'002501,2089
'600198,2087
'600436,2084
'300156,2082
'601012,2080
'002261,2080
'000426,2078
'002510,2077
'600756,2077
'002596,2074
'002542,2074
'600585,2072
'600596,2071
'300008,2057
'000558,2055
'600058,2055
'000862,2050
'600862,2044
'300101,2043
'000059,2043
'000838,2038
'002358,2035
'000585,2035
'000541,2035
'002284,2034
'000564,2033
'300002,2032
'600330,2032
'600035,2031
'600570,2030
'600783,2028
'002146,2028
'300433,2024
'601606,2019
'601949,2012
'002170,2010
'601633,2007
'600736,2006
'000903,2006
'600545,2005
'300292,2002
'600588,1997
'600630,1996
'300287,1991
'600477,1991
'002245,1990
'600824,1989
'002079,1986
'600740,1986
'002448,1985
'601808,1983
'000799,1982
'600488,1981
'002056,1974
'002540,1974
'000420,1971
'600836,1970
'600303,1970
'002011,1970
'600172,1968
'000900,1967
'601069,1963
'000555,1961
'600117,1954
'600064,1953
'002142,1951
'600903,1949
'600784,1945
'000400,1945
'600216,1945
'600408,1943
'002292,1942
'601058,1938
'000829,1938
'002665,1935
'603000,1931
'300026,1928
'000018,1928
'002019,1924
'600651,1922
'600602,1921
'601607,1918
'000851,1918
'000837,1915
'000036,1914
'600098,1913
'002249,1910
'002390,1910
'002106,1904
'002218,1903
'002807,1900
'600877,1896
'601163,1893
'600123,1892
'002689,1891
'000566,1885
'000503,1884
'600747,1884
'600685,1882
'000936,1881
'000016,1873
'002495,1872
'600537,1870
'601107,1869
'600713,1865
'002432,1864
'002326,1863
'300352,1863
'600704,1861
'300296,1858
'001979,1857
'300297,1856
'002695,1855
'002413,1852
'600760,1849
'600963,1848
'600765,1846
'600571,1844
'600332,1841
'000088,1840
'601518,1837
'002329,1835
'000568,1835
'601598,1831
'600060,1831
'600800,1831
'002657,1831
'000591,1830
'002017,1829
'600199,1825
'300044,1825
'000895,1821
'600730,1821
'000905,1819
'300253,1819
'600536,1815
'300137,1815
'601952,1813
'600458,1807
'603128,1801
'000969,1800
'000561,1800
'000687,1800
'600888,1799
'600673,1799
'002334,1796
'600067,1794
'002075,1791
'002118,1789
'002269,1789
'002668,1786
'601068,1783
'002424,1781
'000543,1778
'000786,1777
'600775,1775
'600880,1773
'600527,1770
'002701,1770
'002400,1768
'600997,1766
'600936,1762
'002060,1760
'002148,1757
'002523,1756
'002064,1756
'000509,1756
'600867,1754
'002550,1753
'002554,1753
'600406,1751
'600079,1751
'002078,1748
'002237,1746
'600701,1745
'002093,1745
'000498,1744
'000589,1742
'300003,1741
'002224,1740
'601336,1739
'300014,1736
'000587,1735
'002099,1734
'000040,1730
'600271,1727
'002273,1727
'600807,1722
'600787,1722
'600825,1719
'000615,1718
'600869,1717
'002517,1716
'000407,1715
'000659,1715
'300431,1715
'601225,1714
'000422,1713
'600397,1712
'600160,1711
'000693,1711
'000068,1710
'600076,1710
'000514,1706
'601619,1706
'600426,1704
'600313,1701
'000055,1698
'600502,1696
'002157,1695
'002210,1694
'601968,1694
'600056,1694
'002516,1693
'600864,1693
'600354,1692
'002139,1691
'300152,1690
'600546,1689
'000099,1688
'600073,1687
'002182,1683
'601616,1679
'002428,1679
'601966,1677
'300055,1676
'600292,1674
'002121,1673
'002281,1672
'600621,1671
'000557,1671
'600526,1670
'000935,1667
'600594,1666
'000672,1666
'600743,1665
'000802,1664
'600057,1662
'002611,1660
'600707,1660
'002043,1659
'600509,1659
'601360,1659
'000912,1658
'600734,1657
'600758,1657
'002163,1650
'002294,1646
'600439,1646
'002070,1646
'600674,1645
'601928,1643
'600582,1641
'000601,1637
'600533,1637
'000599,1635
'600908,1633
'000539,1631
'600116,1630
'601218,1629
'601188,1627
'300098,1627
'002305,1625
'600069,1624
'600277,1623
'600975,1621
'600676,1621
'002630,1620
'600853,1618
'002178,1614
'002235,1612
'601777,1611
'000966,1611
'600986,1610
'002122,1610
'300066,1608
'600967,1606
'600351,1604
'002650,1604
'002128,1603
'600339,1603
'002476,1602
'000712,1601
'600249,1599
'000963,1598
'600312,1597
'300131,1596
'002168,1596
'600112,1596
'000998,1595
'000517,1595
'000506,1594
'300303,1593
'002535,1591
'000029,1588
'000791,1588
'002277,1586
'002141,1586
'000926,1586
'600261,1585
'600061,1582
'603169,1581
'002437,1580
'600782,1579
'000089,1578
'600325,1577
'600979,1576
'300310,1574
'002508,1573
'600366,1572
'300197,1569
'600433,1566
'002191,1563
'002325,1561
'000760,1560
'600773,1560
'600393,1559
'002110,1556
'600626,1554
'000573,1553
'600815,1551
'000521,1550
'601908,1549
'300383,1549
'002123,1547
'002378,1547
'002457,1547
'000510,1544
'002619,1540
'002622,1540
'002459,1540
'000554,1539
'300304,1539
'600491,1539
'600236,1539
'002074,1538
'600075,1538
'000980,1535
'000698,1534
'002362,1533
'300038,1533
'600280,1532
'002162,1531
'002433,1531
'002233,1529
'600279,1529
'000957,1527
'002073,1527
'300090,1524
'300189,1521
'600466,1519
'000158,1518
'000721,1516
'002297,1516
'002083,1515
'600687,1512
'300009,1509
'002152,1508
'300256,1506
'000812,1505
'002570,1505
'600230,1504
'600268,1504
'600663,1502
'600159,1502
'000938,1501
'600438,1500
'300134,1499
'600996,1498
'000826,1497
'002068,1495
'300107,1495
'002359,1494
'600838,1493
'002406,1493
'600090,1491
'000581,1490
'300085,1489
'002402,1489
'300043,1489
'600517,1488
'002604,1487
'000612,1485
'002197,1484
'600633,1484
'600823,1480
'002697,1480
'002137,1480
'002100,1478
'000159,1475
'002607,1474
'002408,1474
'600684,1474
'300247,1473
'600391,1473
'600535,1473
'000965,1472
'002384,1472
'600478,1471
'300181,1471
'300376,1471
'300161,1468
'300168,1468
'603766,1465
'600237,1464
'601101,1463
'600855,1463
'002496,1463
'300465,1462
'002361,1461
'002253,1460
'600383,1458
'600372,1455
'000949,1455
'600368,1454
'600691,1454
'002167,1454
'000010,1452
'600260,1452
'002565,1451
'002564,1450
'603618,1450
'600628,1447
'002181,1447
'002603,1446
'601158,1445
'600376,1444
'300170,1444
'000019,1444
'002369,1444
'002318,1442
'300353,1441
'600246,1440
'000677,1439
'600741,1438
'600610,1437
'600589,1433
'002166,1431
'000538,1430
'000726,1430
'600235,1429
'001965,1423
'002190,1422
'000731,1421
'603259,1421
'600609,1419
'002222,1415
'002638,1414
'002504,1413
'000790,1413
'002271,1412
'002300,1412
'000789,1412
'603126,1412
'601003,1411
'300102,1408
'002038,1408
'000058,1406
'600207,1405
'000856,1405
'002081,1405
'300367,1405
'603712,1403
'002642,1403
'601366,1401
'600708,1401
'002339,1401
'600121,1400
'002279,1400
'002303,1399
'600805,1399
'300135,1397
'000533,1395
'603300,1392
'600831,1392
'002051,1391
'300377,1390
'600576,1389
'600929,1389
'002354,1389
'600559,1387
'002306,1387
'002353,1387
'300359,1384
'601208,1384
'300758,1383
'000971,1383
'000836,1382
'002533,1380
'300760,1379
'600128,1378
'002588,1376
'002601,1374
'002649,1373
'000918,1372
'000823,1371
'600891,1369
'002509,1367
'601233,1367
'300110,1366
'000622,1365
'600149,1364
'600251,1364
'000701,1363
'300274,1362
'002387,1362
'600552,1361
'002063,1361
'600333,1361
'000723,1361
'000996,1359
'600558,1357
'600568,1357
'002243,1355
'300129,1353
'300676,1352
'002503,1352
'601500,1351
'002308,1348
'000801,1347
'600917,1347
'600139,1345
'600293,1344
'300177,1344
'002383,1344
'000756,1344
'600480,1343
'002451,1343
'600499,1342
'601869,1342
'000595,1341
'600699,1341
'000899,1341
'300333,1339
'300216,1339
'600702,1339
'002283,1337
'000733,1337
'600095,1337
'000416,1336
'600082,1336
'600645,1335
'600395,1335
'000529,1334
'000552,1333
'600363,1332
'300015,1332
'600353,1332
'000955,1332
