stkcode,headcount
'000725,43689
'601989,23524
'601766,22664
'601899,21116
'600795,20011
'600050,19542
'600030,17640
'601390,17628
'600010,16263
'601988,15898
'601857,15816
'601668,14755
'601600,14238
'600028,13893
'601985,13523
'000100,13365
'601398,12705
'601169,12340
'601318,12203
'600221,12183
'601618,11666
'000651,11404
'000630,11236
'000001,10896
'601288,10778
'600016,10734
'000157,10322
'601099,10303
'601866,10265
'000413,10170
'600019,10128
'601258,9998
'600839,9957
'000709,9890
'601138,9544
'601106,9533
'600031,9462
'600868,9431
'000063,9385
'600157,9352
'600111,9335
'601939,9250
'600307,9141
'601727,9046
'600022,9030
'000166,8506
'603993,8486
'601328,8463
'000629,8256
'601919,8086
'601669,8025
'002024,7962
'600068,7931
'601186,7810
'600089,7767
'300104,7766
'601319,7331
'600601,7301
'600518,7294
'600837,7258
'600008,7242
'600401,7225
'600219,7145
'600018,7079
'601377,7059
'002230,6964
'600025,6910
'000425,6884
'002340,6815
'000839,6801
'600567,6801
'000858,6801
'601558,6753
'002610,6720
'600635,6700
'601166,6656
'600516,6597
'000002,6577
'600489,6557
'600863,6542
'000540,6538
'002926,6520
'601333,6483
'002936,6370
'002797,6270
'002948,6202
'300059,6087
'600887,6080
'000783,6037
'600487,6005
'600808,5941
'601901,5921
'601818,5858
'600036,5849
'600170,5799
'601918,5745
'601991,5740
'600115,5701
'002195,5660
'000778,5595
'600705,5586
'600653,5576
'000338,5512
'600503,5460
'000825,5412
'601018,5401
'601992,5379
'002450,5368
'600029,5364
'600522,5356
'002673,5340
'300315,5338
'600320,5325
'600000,5320
'000735,5314
'000009,5310
'601168,5309
'601880,5297
'000667,5295
'600256,5260
'600100,5233
'600166,5232
'601588,5186
'000750,5181
'601088,5088
'600415,5067
'000751,5063
'600919,5051
'601066,5041
'000031,5021
'600023,4936
'000875,4922
'000625,4910
'600497,4898
'600642,4870
'600255,4858
'601998,4855
'600108,4854
'603077,4804
'600879,4800
'002460,4787
