stkcode,headcount
'000725,44134
'601989,24868
'601766,22972
'601899,20832
'600030,20350
'600050,19792
'600795,19681
'601390,18290
'600010,17264
'601857,16383
'601988,15444
'000100,15109
'601668,14959
'600028,14731
'601600,13682
'601985,13608
'601398,12938
'600221,12631
'601169,12403
'601099,12086
'601618,11948
'000630,11528
'601318,11364
'000413,11270
'600016,11084
'601288,10947
'000651,10820
'601258,10614
'600839,10568
'600031,10459
'600157,10390
'601866,10153
'000157,9824
'000166,9763
'600019,9755
'000063,9675
'601066,9661
'000001,9644
'601106,9570
'000709,9474
'601727,9447
'601939,9293
'600022,9237
'601328,8992
'600868,8941
'002065,8916
'601186,8865
'600111,8795
'300059,8599
'600837,8518
'603993,8418
'600307,8237
'601138,8107
'601669,8038
'000629,8004
'600068,7943
'600089,7846
'601919,7845
'002195,7745
'002230,7565
'600567,7560
'002610,7536
'600518,7516
'300104,7508
'002024,7471
'600219,7392
'600352,7330
'000839,7302
'600401,7229
'000858,7164
'000002,7134
'600601,7128
'600635,7041
'601377,6952
'600516,6932
'601319,6889
'600008,6864
'600487,6823
'601333,6731
'000338,6713
'601558,6538
'600018,6516
'600489,6478
'002500,6470
'002131,6452
'000932,6445
'002340,6421
'600863,6335
'000540,6319
'000425,6253
'002797,6205
'601166,6157
'600522,6132
'002958,6128
'600887,6106
'000783,6079
'600503,6072
'601818,6022
'600808,5979
'600036,5940
'600025,5909
'600705,5825
'601901,5819
'000727,5736
'002027,5656
'601688,5638
'601991,5628
'601519,5608
'600170,5570
'002673,5550
'600166,5478
'300315,5468
'000750,5450
'600797,5449
'601018,5436
'600653,5435
'601088,5368
'600000,5364
'000009,5336
'000825,5321
'000778,5305
'600115,5296
'600256,5296
'601880,5294
'601168,5271
'600320,5264
'601588,5252
'601918,5244
'600879,5233
'603077,5196
'600637,5145
'002926,5119
'002415,5117
'600255,5094
'601992,5092
'000667,5078
'002600,5077
'002456,5075
'600369,5050
'600108,5048
'601975,5047
'000875,5026
'600703,5012
'601998,5001
'601211,4999
'600100,4997
'600029,4991
'600690,4964
'600460,4957
'600415,4943
'600048,4943
'000751,4938
'000066,4917
'000723,4891
'002477,4869
'300017,4863
'600023,4849
'600497,4841
'002460,4820
'000060,4819
'000735,4775
'000031,4775
'000078,4761
'000333,4753
'000776,4744
'002202,4736
'000625,4720
'002450,4696
'600642,4681
'000768,4665
'600919,4661
'600909,4656
'000598,4636
'600958,4607
'000977,4601
'600776,4584
'600547,4545
'600317,4539
'600895,4529
'000563,4515
'601005,4491
'601212,4490
'600875,4488
'002936,4466
'600755,4436
'600820,4434
'600886,4424
'002505,4416
'000683,4406
'600039,4401
'601872,4360
'600485,4354
'600109,4337
'601179,4334
'600276,4325
'601898,4318
'601111,4305
'601608,4286
'000682,4271
'600017,4212
'601108,4201
'600150,4196
'601890,4189
'600006,4173
'002465,4155
'601006,4154
'002498,4148
'002405,4132
'002031,4126
'600871,4122
'000680,4116
'600435,4114
'600604,4109
'300024,4058
'600118,4046
'002294,4045
'600873,4040
'603799,4013
'000830,4008
'002466,4001
'601718,3998
'600187,3997
'600252,3995
'000930,3995
'600309,3992
'000897,3986
'000983,3978
'002185,3976
'600362,3972
'600737,3971
'600959,3969
'601229,3953
'002446,3930
'600282,3929
'601011,3929
'601800,3909
'000005,3902
'002310,3889
'300185,3881
'000807,3873
'000917,3862
'600169,3860
'002292,3860
'000882,3857
'600816,3847
'601010,3845
'601216,3842
'601000,3821
'600027,3817
'600624,3799
'600210,3789
'300772,3784
'000656,3772
'000767,3771
'002176,3769
'601375,3764
'002547,3700
'600033,3651
'600577,3635
'600901,3632
'600572,3617
'000717,3611
'600177,3604
'000758,3595
'000027,3593
'600151,3580
'000886,3564
'600928,3560
'000636,3559
'601838,3557
'601009,3548
'300027,3543
'000898,3534
'002385,3532
'600220,3522
'002948,3516
'000878,3515
'600104,3503
'000021,3499
'600528,3476
'600789,3465
'600495,3465
'601607,3451
'600196,3449
'601118,3441
'002280,3436
'600711,3434
'002130,3431
'600496,3413
'600881,3411
'000571,3403
'002008,3403
'000652,3400
'601881,3397
'000488,3391
'600726,3382
'600297,3381
'600015,3369
