stkcode,headcount
'000725,46147
'601989,23917
'601766,23023
'601899,20854
'600795,20040
'600030,19952
'600050,19883
'601390,17811
'600010,16762
'601857,15976
'601668,15943
'601988,15900
'601600,14186
'601099,14068
'600028,13961
'000100,13848
'601985,13521
'601398,13071
'601169,12413
'600221,12223
'601618,11956
'601318,11920
'600928,11868
'000630,11439
'000651,11337
'601258,11276
'601288,11113
'000063,10928
'000001,10889
'600016,10884
'000157,10275
'601866,10271
'601106,10115
'600019,10089
'000413,9981
'600839,9916
'000709,9858
'000166,9635
'600031,9606
'600157,9387
'601939,9384
'600111,9374
'600868,9351
'600022,9247
'601727,9042
'601138,8928
'600307,8708
'601328,8544
'603993,8488
'601669,8201
'000629,8147
'601919,8077
'300059,8048
'002024,8035
'601186,8010
'600068,7936
'600518,7900
'600837,7817
'600089,7698
'002230,7598
'601377,7557
'300104,7493
'600601,7294
'600219,7244
'600401,7227
'600008,7215
'600567,7141
'600018,7050
'600635,6974
'000839,6962
'000425,6962
'601319,6916
'002797,6899
'002610,6828
'000002,6815
'000540,6801
'002340,6765
'600025,6760
'601166,6722
'601558,6692
'600516,6656
'600489,6621
'000858,6582
'601333,6541
'000783,6505
'601066,6460
'600863,6452
'002195,6366
'002926,6193
'600487,6172
'002936,6083
'600887,6051
'601901,6032
'601818,5957
'000750,5954
'600808,5951
'600036,5949
'600170,5831
'600705,5750
'601991,5719
'601918,5674
'000338,5663
'600522,5656
'002673,5650
'000778,5637
'601992,5560
'600653,5539
'300315,5439
'600320,5428
'600000,5422
'600115,5418
'000825,5403
'601018,5390
'601880,5357
'600503,5303
'000667,5291
'600256,5289
'000751,5281
'600100,5281
'000009,5256
'601168,5240
'600369,5229
'002131,5227
'000727,5225
'600166,5218
'601588,5195
'601088,5194
'600919,5180
'600415,5178
'000735,5077
'601211,5063
'600029,5051
'600497,5032
'600879,5016
'002450,5011
'000031,4988
'601998,4980
'000875,4953
'600255,4938
'600023,4897
'603077,4893
'600637,4862
'600816,4851
'000625,4841
'002948,4835
'600642,4827
'600108,4822
'000060,4800
'002415,4773
'600909,4762
'002460,4759
'600690,4753
'000598,4723
'002477,4691
'000333,4669
'002027,4657
'000768,4635
'600820,4624
'600048,4619
'000776,4614
'600317,4612
'002456,4599
'601872,4587
'601005,4573
'600886,4572
'600703,4564
'601688,4536
'000977,4532
'000078,4523
'000563,4514
'600958,4501
'600755,4436
'300024,4415
'601519,4403
'601898,4392
'000683,4355
'600485,4352
'600895,4325
'600039,4299
'600547,4299
'600901,4286
'002505,4261
'601111,4259
'601229,4257
'601216,4257
'600873,4243
'601179,4238
'002466,4235
'601608,4212
'000656,4208
'600017,4200
'601212,4197
'600460,4196
'002465,4170
'600118,4164
'601838,4160
'000897,4153
'600435,4149
'600362,4147
'000983,4146
'000066,4139
'002031,4119
'600109,4112
'000930,4112
'002405,4099
'002008,4096
'600252,4079
'600187,4068
'000682,4065
'002500,4058
'002600,4054
'603799,4052
'600169,4051
'601375,4034
'600959,4030
'300185,4023
'601108,4016
'601009,4009
'601718,4002
'600210,3993
'600309,3982
'600282,3972
'000882,3963
'000807,3923
'601890,3913
'601865,3907
'000005,3903
'000767,3874
'601006,3852
'601000,3828
'601298,3827
'000758,3818
'600352,3809
'601010,3807
'600776,3802
'600151,3791
'000917,3781
'300027,3777
'601118,3769
'600737,3768
'601800,3765
'002185,3763
'000878,3731
'600033,3716
'000027,3709
'601933,3699
'601975,3685
'000680,3685
'002129,3676
'600577,3672
'600276,3644
'002310,3643
'000830,3638
'002273,3632
'600006,3631
'600495,3623
'600027,3621
'601162,3612
'600606,3604
'600177,3602
'601228,3596
'600196,3596
'000050,3594
'002498,3588
'300017,3585
'600496,3573
'000886,3572
'002506,3565
'600711,3556
'601700,3536
'002176,3535
'000717,3513
'600150,3509
'600015,3492
'000932,3491
'600604,3485
'600871,3481
'600220,3476
'000636,3471
'600550,3468
'600726,3455
'002280,3429
'002266,3424
'600881,3412
'600528,3409
'000898,3409
'601881,3409
'002547,3406
'600797,3402
'600875,3392
'600103,3365
'000933,3361
'000415,3360
'002407,3358
'000816,3357
'002636,3357
'000410,3347
'601628,3345
'000959,3340
'600021,3324
'000931,3324
'000686,3324
'601011,3305
'000571,3298
'601611,3286
'600717,3285
'002241,3284
'600583,3266
'600584,3265
'000652,3263
'000401,3258
'601878,3258
'002049,3252
'000547,3250
'002202,3246
'002385,3243
'600649,3243
'000883,3242
'000592,3236
'600446,3222
'000021,3219
'000507,3219
'600698,3207
'600428,3202
'600569,3186
'600789,3185
'600380,3181
'000536,3174
'600153,3169
'600595,3156
'601016,3152
'002736,3151
'600175,3146
'601198,3140
'601958,3132
'002526,3124
'601128,3122
'600999,3121
'000616,3120
'600269,3103
'002065,3096
'000520,3096
'002497,3090
'000516,3088
'600549,3084
'300111,3077
'601577,3072
'000793,3069
'002217,3068
'000623,3068
'000877,3062
'000970,3055
'600326,3053
'002463,3039
'002155,3025
'601008,3023
'600611,3021
'000728,3019
'601788,3019
'600026,3018
'000572,3012
'600399,3008
'300070,3005
