stkcode,headcount
'000725,44708
'601989,25554
'601766,23276
'601899,20658
'600795,19905
'600030,19597
'600050,19527
'601390,18250
'600010,17526
'601857,16293
'601988,15950
'601668,15885
'000100,15357
'600028,14418
'002958,14205
'601600,13805
'601985,13775
'601398,13711
'600221,13005
'601169,12571
'601099,12471
'601618,12138
'000630,11752
'601288,11496
'601318,11419
'000651,11161
'600016,10995
'600839,10782
'601258,10675
'600157,10421
'601866,10329
'000001,10049
'600019,9923
'000157,9918
'600031,9821
'000413,9805
'000063,9782
'000166,9771
'601106,9697
'000709,9604
'601066,9418
'601939,9403
'600022,9291
'601328,9243
'600868,9203
'002065,9143
'600111,9101
'601727,9017
'603993,8573
'601186,8449
'600307,8393
'000629,8240
'601138,8215
'300059,8196
'601669,8164
'600089,8110
'601919,8063
'600068,8039
'600837,7934
'600518,7857
'002024,7729
'002195,7706
'002230,7623
'600567,7583
'300104,7494
'600219,7465
'000839,7268
'601319,7254
'600401,7229
'600601,7211
'002610,7200
'600516,7127
'600635,7082
'601377,7054
'600008,7004
'002500,6974
'002131,6944
'601333,6740
'601558,6606
'002340,6603
'002797,6538
'000540,6534
'600489,6486
'600487,6483
'600018,6384
'600863,6377
'601166,6374
'000425,6347
'000858,6343
'600352,6336
'601818,6309
'000783,6207
'600705,6158
'000002,6146
'600025,6133
'601901,6044
'600887,6037
'600808,6024
'000727,6010
'002027,6007
'601519,5935
'600036,5802
'600170,5762
'000338,5750
'601991,5671
'601018,5602
'600000,5556
'600797,5544
'000750,5525
'600522,5486
'002673,5459
'600653,5447
'000778,5441
'300315,5434
'601880,5421
'600503,5394
'601088,5368
'002600,5360
'601918,5351
'300017,5350
'600879,5344
'601588,5338
'600320,5318
'000825,5313
'000009,5304
'600637,5243
'600256,5232
'601688,5230
'600100,5225
'000625,5218
'600115,5208
'600029,5207
'601998,5203
'002926,5202
'601992,5180
'600255,5177
'601168,5166
'000667,5157
'600108,5144
'600166,5090
'000751,5063
'600415,5052
'600369,5022
'000875,5018
'601211,4990
'000735,4973
'000060,4960
'002460,4957
'000031,4948
'600023,4940
'600497,4935
'000066,4925
'603077,4917
'000977,4897
'600919,4854
'002450,4806
'600703,4804
'000768,4803
'600909,4802
'002456,4788
'002936,4784
'600690,4781
'000598,4756
'600642,4734
'601607,4723
'000563,4712
'600460,4692
'600317,4678
'600895,4635
'002415,4613
'000683,4599
'000776,4595
'601212,4588
'601005,4521
'601872,4520
'600958,4502
'600820,4491
'600776,4487
'002477,4478
'601608,4453
'601890,4434
'600886,4423
'000078,4420
'601179,4413
'000682,4403
'600755,4379
'000882,4376
'600485,4355
'600109,4353
'601898,4330
'600104,4324
'000333,4301
'600048,4291
'002505,4272
'600547,4262
'600017,4259
'002292,4229
'600039,4226
'300024,4226
'601111,4201
'002031,4180
'002202,4169
'601006,4161
'600027,4156
'600118,4146
'600624,4141
'002185,4138
'601108,4134
'601718,4116
'600435,4115
'002466,4102
'600873,4097
'002465,4092
'601229,4090
'000897,4088
'600871,4082
'600816,4078
'600362,4065
'600252,4058
'000656,4048
'000983,4045
'600928,4040
'600959,4017
'600309,4017
'600187,4006
'000807,4006
'600604,4004
'000930,3991
'300185,3968
'601800,3961
'603799,3954
'601000,3927
'601375,3925
'000917,3925
'600210,3911
'600282,3897
'601010,3873
'000767,3872
'601216,3871
'600169,3860
'002948,3836
'002405,3833
'600276,3821
'000005,3821
'000830,3767
'002177,3764
'000021,3749
'601838,3744
'600901,3713
'002498,3707
'002130,3689
'601975,3687
'600177,3680
'600033,3669
'600220,3656
'000636,3655
'000758,3653
'600006,3650
'002506,3649
'002310,3642
'002176,3633
'601881,3633
'600577,3632
