stkcode,headcount
'000725,46065
'601989,23761
'601766,22970
'601899,20900
'600795,20271
'600050,19835
'600030,19724
'600010,18141
'601390,17871
'601668,16087
'601857,16043
'601988,15835
'000100,15123
'601600,14146
'600028,13986
'601985,13569
'601099,13426
'601398,13275
'000630,12455
'601169,12393
'600221,12378
'601618,12243
'601318,12028
'600157,11537
'600839,11502
'000651,11460
'601288,11270
'601258,11240
'000001,10867
'600016,10756
'000063,10367
'601866,10229
'000413,10227
'000157,10135
'600019,10087
'601106,9997
'000166,9941
'000709,9886
'600868,9779
'600031,9592
'002065,9550
'601939,9475
'600022,9431
'601066,9377
'600111,9234
'601727,9185
'601138,8793
'600307,8678
'601328,8534
'603993,8425
'600089,8358
'600837,8306
'601669,8187
'000629,8149
'300059,8101
'601319,8100
'002024,8055
'002230,8052
'601919,8029
'601186,8019
'600068,7917
'002610,7806
'600219,7639
'600601,7574
'600518,7566
'300104,7562
'601377,7329
'600008,7246
'600401,7227
'000002,7140
'600567,7132
'000839,7129
'600018,6962
'600635,6949
'002797,6834
'000727,6783
'002131,6763
'000425,6742
'002340,6723
'601558,6711
'600025,6710
'002195,6677
'601166,6632
'600489,6600
'000858,6527
'600887,6504
'601333,6504
'600516,6503
'000540,6502
'600863,6465
'600487,6399
'600928,6357
'000783,6302
'002600,6258
'600036,6186
'601818,6036
'601901,6007
'600170,5940
'600808,5879
'601519,5809
'600522,5721
'601991,5717
'000338,5712
'600705,5677
'000750,5672
'601918,5635
'601018,5631
'002926,5615
'600503,5596
'002673,5586
'300315,5571
'000778,5558
'600653,5512
'601880,5449
'002450,5438
'600255,5436
'000009,5424
'002027,5423
'600115,5408
'600000,5401
'600320,5382
'002936,5352
'600029,5348
'000825,5345
'300017,5321
'601992,5267
'600166,5258
'000667,5244
'600369,5233
'000735,5231
'601168,5226
'600256,5217
'601588,5215
'600690,5208
'000751,5165
'601088,5163
'600100,5161
'601998,5117
'000875,5106
'600879,5095
'601211,5085
'600415,5075
'601212,5041
'600637,5038
'600497,5024
'000977,4988
'600776,4980
'600703,4959
'603077,4957
'600023,4938
'600919,4938
'000625,4930
'601688,4929
'600642,4925
'600909,4917
'000031,4916
'002456,4909
'002415,4850
'000563,4823
'600108,4815
'000333,4799
'000060,4796
'000598,4761
'002460,4757
'600048,4751
'600460,4711
'600317,4707
'601608,4685
'601108,4657
'600816,4636
'600820,4635
'002505,4626
'600886,4624
'601179,4615
'000768,4586
'000776,4575
'601005,4555
'601111,4546
'601872,4540
'000078,4520
'002477,4509
'002185,4506
'600958,4481
'000932,4474
'000683,4450
'600755,4418
'300024,4395
'002031,4367
'601898,4352
'600485,4352
'000897,4337
'600547,4309
'600039,4273
'601216,4254
'600017,4232
'000066,4226
'000656,4224
'600435,4193
'600118,4192
'600362,4173
'601890,4162
'002465,4159
'600873,4150
'600109,4140
'600309,4129
'601229,4120
'601010,4117
'002466,4112
'002948,4099
'600895,4095
'600252,4077
'000983,4066
'600959,4064
'603799,4059
'600297,4052
'000930,4049
'600187,4049
'601375,4043
'000682,4041
'002405,4040
'300185,4016
'002008,4008
'601718,4006
'000882,3997
'000917,3991
'601006,3991
'000807,3986
'002500,3980
'600210,3971
'600604,3965
'600169,3956
'600901,3954
'000767,3953
'000636,3937
'601838,3932
'000005,3925
'600282,3910
'600027,3862
'601000,3861
'601933,3832
'000050,3824
'601009,3800
'600577,3773
'601800,3771
'000758,3750
'600151,3732
'002506,3732
'600033,3724
'002280,3717
'601118,3713
'300027,3709
'002176,3709
'600352,3708
'600737,3695
'600276,3684
'601700,3673
'002129,3671
'002310,3654
'600176,3637
'600584,3634
'000027,3628
'000680,3627
'000878,3624
'601878,3620
'601975,3614
'600495,3609
'600550,3603
'600177,3591
'600006,3591
'600104,3590
'600606,3583
'601162,3576
'600196,3575
'601228,3560
'600711,3547
'000830,3545
'600726,3541
'600496,3539
'000886,3528
'601298,3521
'002241,3507
'000670,3506
'002498,3499
'002385,3492
'601865,3477
'600220,3470
'600021,3470
'002252,3456
'600797,3452
'000933,3426
'601611,3422
'000717,3421
'002736,3415
'600875,3413
'600871,3407
'600015,3406
'600150,3402
'600881,3388
'002266,3385
'601016,3377
'600595,3370
'000686,3360
'000898,3358
'000931,3334
'600528,3333
'000816,3324
'600103,3312
'002407,3308
'000410,3301
'000021,3297
'002049,3297
'000959,3295
'601628,3285
'600380,3277
'000547,3266
'600446,3264
'600717,3260
'600425,3260
'000883,3257
'600583,3253
'000571,3250
'600777,3232
'600698,3224
'601011,3209
'300079,3203
'600428,3201
'002217,3198
'002421,3198
'000652,3196
'300111,3188
'000572,3187
'600331,3187
'600175,3186
'600153,3182
'600804,3178
'000415,3173
'000507,3155
'601881,3143
'600649,3141
'300070,3138
'601788,3132
'000516,3110
'000970,3101
'000793,3099
'002547,3096
'600569,3092
'000988,3088
'000520,3088
'600269,3088
'000592,3087
'000616,3086
'002202,3082
'600999,3079
'600549,3078
'600728,3066
'002155,3064
'600611,3061
'601958,3059
'000401,3059
'600789,3054
'601008,3053
'000488,3043
'601326,3041
'000623,3037
'601198,3027
'002526,3020
'601128,3014
'600572,3014
'002497,3009
'000728,3002
'002463,2993
'600667,2984
'002004,2980
'000806,2978
'600026,2964
'000877,2961
'600586,2951
'600399,2929
'600677,2929
'000559,2926
'002130,2926
'600664,2926
'600326,2925
'601598,2922
'601860,2921
'601555,2917
'000012,2916
'002183,2913
'300077,2911
'600360,2908
'002236,2908
'600410,2904
'601200,2894
'600900,2882
'600158,2881
'600125,2879
'002636,2873
'000627,2856
'002161,2854
'000973,2851
'002663,2850
'002739,2850
'600130,2825
'002089,2819
'600110,2813
'600388,2810
'600744,2809
'600063,2808
'002017,2805
'002256,2804
'002594,2801
'600490,2801
'600977,2794
'002342,2794
'601117,2789
'002471,2788
'000536,2784
'600208,2780
'002177,2766
'000831,2763
'600655,2758
'600811,2758
'600183,2756
'300355,2755
'600565,2751
'600133,2750
'002288,2749
'002489,2743
'600405,2738
'002491,2736
'600652,2736
'000937,2731
'002429,2731
'002013,2727
'600086,2726
'002263,2722
'000859,2716
'600718,2709
'300287,2705
'002154,2705
'600519,2695
'002175,2695
'002431,2690
'000792,2687
'600756,2685
'002030,2684
'600988,2683
'600020,2683
'601929,2680
'600291,2678
'002156,2676
'600598,2674
'600186,2667
'002392,2667
'002938,2666
'600846,2659
'000069,2655
'600340,2653
'300324,2653
'002839,2649
'600812,2647
'601601,2642
'000650,2641
'002023,2637
'000795,2636
'600348,2636
'001696,2635
'600874,2634
'002312,2631
'600581,2631
'600074,2627
'002145,2623
'000528,2622
'600498,2616
'000519,2613
'600343,2602
'600284,2599
'002426,2594
'002108,2592
'600512,2592
'002573,2574
'600143,2572
'600122,2569
'600171,2567
'300088,2564
'002276,2563
'600739,2560
'000423,2560
'000039,2558
'002436,2556
'600688,2551
'601997,2543
'600966,2541
'000008,2535
'600893,2527
'002474,2527
'600226,2513
'002950,2506
'600654,2504
'600392,2502
'000738,2499
'000960,2498
'600675,2494
'600072,2488
'603019,2487
'002668,2484
'600662,2484
'000861,2483
'600085,2479
'600666,2477
'300116,2473
'600227,2471
'002939,2470
'300072,2468
'600770,2466
'002102,2463
'002092,2462
'600162,2461
'000600,2459
'300418,2454
'000518,2454
'601615,2446
'600651,2445
'002945,2441
'601577,2436
'002358,2434
'600311,2430
'601001,2427
'601388,2424
'300251,2424
'002446,2421
'600531,2420
'000402,2411
'600105,2411
'600190,2401
'002151,2396
'601828,2385
'300136,2382
'600127,2380
'002716,2374
'300058,2370
'002067,2369
'002467,2367
'600588,2360
'600660,2359
'000939,2358
'600614,2354
'002447,2350
'300101,2348
'000958,2348
'601990,2347
'600507,2334
'600525,2334
'000718,2331
'000720,2328
'000301,2327
'300008,2327
'002001,2325
'002307,2324
'000777,2320
'000729,2317
'600624,2315
'002665,2315
'002097,2310
'600300,2309
'600555,2309
'600037,2305
'600869,2305
'000800,2301
'600271,2299
'600060,2297
'600206,2293
'600794,2292
'002341,2288
'600467,2286
'000851,2285
'600720,2282
'300750,2280
'601666,2277
'601699,2275
'601636,2275
'603000,2272
'000901,2271
'600084,2268
'002239,2267
'603858,2259
'000997,2256
'002951,2255
'000876,2252
'601012,2245
'000862,2244
'600308,2243
'000070,2241
'002501,2235
'600172,2235
'600970,2233
'002517,2231
'600396,2229
'002052,2229
'000690,2226
'600106,2222
'600011,2221
'002005,2216
'600231,2215
'600926,2209
'600200,2206
'002104,2204
'300433,2200
'002115,2198
'600188,2197
'600240,2194
'000400,2194
'002079,2193
'600751,2192
'600736,2189
'600884,2188
'600409,2187
'000564,2186
'002018,2183
'000545,2183
'600578,2181
'600759,2181
'600266,2181
'600350,2181
'000753,2176
'300124,2176
'000822,2174
'601616,2172
'600827,2170
'000006,2169
'002302,2167
'601002,2167
'600322,2161
'002113,2159
'002486,2158
'002292,2155
'601019,2147
'300297,2145
'600321,2145
'002002,2144
'002273,2144
'600978,2140
'600798,2139
'000548,2138
'600836,2137
'002337,2136
'600643,2131
'600330,2128
'002261,2126
'002226,2126
'600500,2122
'600570,2121
'002596,2114
'002630,2113
'002170,2111
'000762,2108
'002285,2107
'600585,2106
'600418,2103
'600436,2099
'300156,2098
'600198,2091
'601607,2086
'600316,2079
'002218,2070
'002121,2069
'600596,2068
'002437,2065
'600477,2062
'002146,2061
'300352,2060
'300002,2058
'300737,2055
'000585,2049
'600602,2047
'002510,2046
'300292,2043
'002657,2042
'002284,2042
'002542,2041
'600058,2038
