stkcode,headcount
'000725,43915
'601989,24875
'601766,22967
'601899,20843
'600030,20456
'600795,19650
'600050,19497
'601390,18225
'600010,17240
'601857,16339
'601988,15427
'000100,15049
'601668,14912
'600028,14589
'601600,13664
'601985,13584
'601398,12983
'600221,12612
'601169,12387
'601099,12263
'601618,11960
'000630,11500
'601318,11373
'600016,11063
'000413,10998
'601288,10964
'000651,10716
'601258,10594
'600839,10545
'600031,10383
'600157,10348
'601866,10165
'601066,9857
'000157,9787
'000166,9762
'600019,9727
'000001,9645
'601106,9560
'000063,9510
'000709,9466
'601727,9387
'601939,9302
'600022,9228
'601328,8957
'002065,8857
'600111,8834
'601186,8829
'600868,8636
'300059,8629
'600837,8552
'603993,8301
'600307,8214
'601669,8046
'601138,7995
'000629,7955
'600068,7939
'601919,7831
'600518,7817
'600089,7814
'002195,7684
'002230,7542
'600567,7534
'002610,7475
'002024,7473
'600219,7377
'300104,7275
'000858,7230
'600401,7229
'000839,7204
'600635,7190
'000002,7180
'600601,7119
'601377,6957
'600352,6925
'601319,6908
'600008,6853
'601333,6714
'600516,6697
'600018,6675
'000338,6668
'601558,6528
'002500,6490
'600487,6479
'600489,6455
'002131,6413
'000932,6413
'002340,6370
'000540,6294
'600863,6260
'000425,6200
'002797,6180
'000783,6144
'601166,6135
'600887,6037
'601818,6017
'002958,6003
'600808,5985
'600503,5957
'600036,5956
'600025,5884
'600522,5860
'601901,5828
'600705,5799
'002027,5794
'601519,5736
'000727,5689
'601688,5638
'601991,5622
'600170,5571
'002673,5554
'600166,5550
'002600,5499
'600797,5459
'000750,5452
'601018,5442
'600653,5420
'300315,5389
'601088,5349
'600000,5348
'600115,5340
'000825,5316
'600256,5311
'000778,5301
'601880,5279
'600320,5260
'000009,5255
'601588,5249
'600879,5222
'600703,5212
'601918,5210
'601168,5204
'603077,5162
'002415,5160
'600637,5129
'000667,5097
'002926,5087
'002477,5084
'600255,5084
'600369,5074
'601992,5067
'600108,5049
'002456,5046
'601975,5025
'600029,5000
'000875,4996
'601998,4995
'601211,4987
'600100,4970
'600048,4969
'000751,4950
'000066,4944
'600415,4943
'600497,4940
'600690,4925
'000735,4921
'600023,4840
'600895,4821
'300017,4818
'002460,4797
'000060,4792
'000031,4754
'600175,4754
'000333,4724
'002202,4724
'000078,4722
'000776,4715
'000625,4686
'600642,4674
'000768,4663
'002450,4660
'600460,4653
'600909,4644
'600919,4635
'000598,4628
'000723,4607
'600958,4581
'000977,4560
'000563,4556
'002547,4547
'600317,4541
