stkcode,headcount
'000725,45059
'601989,24926
'601766,23014
'601899,20769
'600030,20042
'600795,19721
'600050,19596
'601390,18216
'600010,17282
'601857,16245
'601988,15560
'000100,15002
'601668,14869
'600028,14618
'601600,13739
'601985,13676
'601398,12921
'600221,12623
'601169,12436
'601099,12203
'601618,11924
'000630,11586
'601318,11142
'600016,11073
'601288,10924
'601258,10663
'600839,10655
'000651,10510
'600157,10453
'601866,10174
'600031,10007
'000157,9817
'000413,9810
'000166,9790
'600019,9770
'601106,9606
'601727,9546
'000001,9528
'000063,9506
'000709,9476
'600022,9256
'601066,9223
'600868,9152
'601939,9049
'601328,9028
'002065,8926
'600111,8833
'601186,8569
'300059,8435
'600837,8369
'603993,8298
'600307,8265
'601138,8165
'000629,8073
'601669,8018
'600089,7911
'600068,7899
'601919,7861
'002610,7570
'600567,7558
'002230,7528
'600352,7505
'600518,7496
'002195,7486
'002024,7486
'600219,7338
'000858,7250
'300104,7243
'600401,7229
'000839,7206
'600601,7143
'600635,7038
'600008,6906
'601377,6882
'601319,6862
'601333,6740
'000338,6706
'600018,6601
'000002,6573
'600487,6567
'601558,6556
'002958,6546
'002131,6540
'600516,6510
'002340,6501
'002500,6461
'600489,6455
'000540,6350
'600863,6335
'000932,6335
'002797,6244
'600887,6134
'601818,6112
'000783,6099
'000425,6071
'601166,6027
'600808,5981
'600025,5967
'000727,5935
'601901,5868
'600705,5838
'600036,5799
'601991,5624
'601519,5585
'002673,5565
'601018,5553
'600170,5543
'600522,5530
'002027,5514
'601688,5500
'000750,5489
'600653,5474
'300315,5451
'600797,5442
'600000,5422
'002600,5356
'601088,5334
'601918,5314
'000825,5314
'000778,5307
'601880,5304
'600503,5297
'002456,5287
'600320,5270
'600256,5261
'601588,5251
'600166,5242
'300017,5231
'603077,5228
'600115,5227
'600879,5225
'000009,5199
'601975,5192
'000667,5156
'002926,5156
'600637,5151
'000875,5130
'600255,5130
'601168,5100
'601992,5095
'002415,5084
'600703,5083
'600108,5058
'600369,5056
'600100,5026
'601998,5009
'601211,4974
'600690,4966
'000751,4963
'000066,4961
'600415,4957
'600029,4925
'002460,4913
'600460,4892
'600497,4875
'600023,4859
'000060,4836
'000031,4811
'000078,4809
'002202,4801
'000625,4797
'000977,4772
'002477,4758
'000735,4726
'002450,4723
'600642,4704
'600919,4690
'600909,4676
'000768,4673
'600875,4655
'000598,4632
'000563,4592
'000776,4576
'600317,4559
'002936,4550
'000683,4523
'601212,4518
'600048,4517
'601005,4511
'000333,4493
'600958,4455
'600895,4453
'600820,4439
'600547,4423
'601872,4392
'600776,4379
'000682,4369
'600886,4367
'600485,4354
'600039,4345
'601179,4336
'601898,4322
'600755,4316
'601608,4310
'600109,4301
'002446,4301
'000723,4297
'600006,4295
'002505,4294
'000830,4227
'600017,4222
'002031,4177
'601890,4172
'002294,4157
'601006,4140
'002405,4135
'002465,4128
'601111,4128
'600276,4124
'002292,4098
'002466,4089
'600435,4087
'300024,4078
'600118,4075
'601108,4030
'600873,4018
'000897,4017
'601718,4007
'600362,4007
'000930,4004
'000983,4003
'002185,4000
'600252,3987
'600959,3982
'600187,3974
'600737,3973
'600871,3960
'600309,3922
'600604,3920
'600816,3916
'000917,3910
'601229,3902
'600282,3890
'000882,3883
'601800,3882
'300185,3879
'002176,3876
'600027,3865
'601000,3864
'000807,3862
'601216,3846
'600169,3844
'000005,3829
'601010,3827
'600210,3815
'600150,3807
'600297,3802
'000656,3798
'000767,3789
'002310,3779
'600624,3769
'601375,3757
'600104,3726
'600901,3692
'600572,3674
'600033,3656
'600928,3652
'000758,3630
'600577,3630
'000717,3620
'000027,3616
'600789,3616
'000878,3612
'601838,3611
'002498,3609
'600177,3606
'002948,3592
'600151,3589
'600220,3565
'000636,3564
'000886,3559
'000680,3554
'000021,3547
'000898,3542
'300027,3539
'600495,3531
'002008,3502
'601118,3481
'601009,3480
'601607,3472
'002130,3469
'603799,3458
'600196,3456
'002280,3456
'600528,3453
'600711,3449
'600881,3440
'000488,3433
'002266,3422
'000652,3420
'600496,3420
'601008,3417
'600726,3411
'600015,3389
'002241,3376
'601611,3371
'000050,3360
'600021,3355
'000686,3354
'002177,3353
'601878,3337
'000516,3327
'600664,3322
'000931,3321
'601881,3318
'600606,3312
'600804,3308
'600550,3307
'000571,3299
'601228,3298
'000933,3296
'600103,3271
'601555,3271
'000572,3262
'002385,3259
'002506,3258
'601016,3258
'600584,3255
'600175,3248
'002129,3242
'002013,3239
'002407,3216
'600666,3216
'600410,3213
'000816,3213
'600595,3212
'000410,3211
'002089,3189
'000959,3188
'600717,3185
'000520,3182
'000883,3172
'300079,3172
'600428,3171
'601933,3170
'600072,3162
'600380,3156
'600425,3150
'600583,3147
'002736,3142
'000415,3140
'000547,3137
'601011,3125
'002183,3119
'601628,3110
'600649,3107
'002547,3106
'600153,3081
'601162,3075
'600569,3069
'002491,3059
'601700,3053
'600999,3047
'600777,3045
'002463,3039
'600611,3036
'000616,3031
'600498,3027
'002004,3023
'603000,3022
'000507,3020
'300070,3013
'002217,3002
'002155,2997
'600269,2995
'000793,2992
'002236,2991
'601198,2988
'600549,2986
'002565,2986
'300111,2985
'000592,2985
'601298,2984
'600698,2978
'000831,2970
'600586,2968
'002421,2959
'601326,2959
'601958,2947
'000729,2946
'601128,2944
'601788,2939
'000970,2932
'002663,2929
'600446,2928
'600794,2925
'600208,2921
'600331,2920
'000988,2907
'600399,2899
'600326,2897
'300623,2895
'600846,2889
'002497,2880
'600125,2873
'600728,2872
'600158,2861
'000623,2853
'000958,2840
'601200,2839
'600900,2829
'002252,2824
'000627,2824
'600110,2823
'000877,2823
'002526,2817
'000670,2816
'600284,2811
'600176,2805
'603019,2801
'000012,2788
'002489,2787
'600677,2786
'000559,2783
'601929,2769
'601117,2760
'000519,2757
'600565,2755
'600652,2755
'001696,2754
'600812,2749
'002471,2746
'600063,2746
'600977,2745
'002210,2743
'600026,2742
'002002,2739
'002739,2733
'002161,2731
'002049,2726
'002342,2725
'300750,2722
'000159,2722
'000528,2720
'600811,2719
'002256,2718
'600655,2709
'000937,2705
'600020,2702
'000806,2701
'000728,2700
'600405,2697
'002030,2697
'600581,2696
'002431,2690
'000973,2687
'002023,2685
'000518,2684
'002307,2665
'600744,2664
'002118,2661
'000800,2657
'600388,2656
'600988,2644
'002017,2638
'600130,2632
'000401,2631
'000423,2622
'002573,2618
'600360,2615
'600490,2607
'600660,2607
'300072,2604
'601997,2598
'600291,2598
'600893,2597
'600143,2593
'002474,2591
'002496,2589
'601598,2585
'600186,2574
'600867,2569
'002392,2565
'600133,2565
'600343,2564
'600614,2563
'600074,2562
'000792,2557
'002426,2555
'600512,2553
'002145,2549
'002263,2548
'600348,2548
'600531,2547
'000070,2533
'600271,2529
'000008,2522
'002154,2521
'000960,2514
'002447,2510
'600598,2506
'002312,2506
'600308,2503
'002092,2501
'000039,2500
'600392,2498
'000795,2498
'600688,2497
'002429,2496
'000069,2493
'002276,2490
'600662,2483
'002467,2477
'000738,2477
'002115,2476
'600206,2475
'600588,2470
'002839,2464
'600011,2460
'600190,2455
'300355,2454
'600736,2451
'300077,2451
'600555,2446
'002175,2439
'600675,2435
'600874,2434
'600654,2434
'300287,2433
'002108,2432
'300136,2428
'002302,2426
'600519,2422
'300088,2419
'000650,2412
'600966,2411
'600756,2396
'600507,2396
'002436,2391
'000402,2389
'600718,2389
'600667,2387
'600884,2386
'601860,2384
'601001,2372
'600086,2366
'600970,2362
'000861,2358
'600739,2354
'600037,2353
'600085,2350
'600770,2350
'002151,2346
'601601,2343
'600775,2340
'600396,2340
'600651,2339
'002102,2336
'600162,2329
'600084,2327
'600106,2325
'300251,2323
'600200,2323
'600122,2321
'000859,2318
'300418,2318
'002594,2317
'000720,2316
'000536,2316
'600171,2315
'002288,2313
'002716,2313
'000777,2312
'600340,2304
'600311,2303
'600409,2302
'300433,2301
'600127,2294
'600300,2292
'300008,2290
'300324,2289
'002067,2285
'600517,2284
'600570,2282
'000939,2280
'000718,2278
'000301,2276
'600862,2275
'601388,2271
'601666,2267
'000566,2267
'601828,2267
'600720,2263
'300110,2262
'300058,2261
'000600,2259
'601577,2256
'002542,2256
'600585,2249
'600685,2248
'002249,2247
'601002,2244
'600418,2242
'601949,2239
'600525,2238
'600467,2231
'002501,2231
'000690,2230
'600759,2224
'002156,2223
'600105,2222
'002097,2218
'600240,2216
'600596,2214
'000862,2213
'000822,2212
'601636,2211
'601699,2209
'600227,2209
'600926,2207
'600060,2205
'002517,2202
'603858,2200
'002341,2196
'002636,2195
'002939,2194
'600978,2192
'002261,2191
'002337,2188
'600172,2186
'002099,2179
'002113,2177
'300116,2170
'600266,2169
'002018,2168
'002668,2166
'000981,2164
'600800,2162
'600183,2162
'002437,2156
'600226,2153
'002052,2148
'600798,2146
'601019,2144
'300352,2142
'600500,2141
'600199,2133
'002239,2133
'000564,2131
'600321,2128
'002245,2128
'002104,2127
'002630,2125
'300297,2123
'000901,2122
'000006,2113
'600322,2112
'600869,2111
'000400,2110
'600578,2107
'002226,2104
'002945,2102
'600350,2099
'600827,2099
'002005,2098
'000997,2097
'600064,2096
'600035,2095
'000558,2094
'300098,2091
'000876,2089
'000059,2089
'000753,2089
