stkcode,headcount
'000725,45039
'601989,23645
'601766,22928
'601899,20769
'600795,20106
'600030,19627
'600050,19406
'601390,17802
'600010,17777
'601857,15991
'601668,15949
'601988,15771
'000100,14741
'601600,13968
'600028,13930
'601985,13520
'601398,13424
'601099,13075
'601169,12361
'600221,12330
'601318,12174
'601618,12140
'000630,11972
'000651,11539
'601288,11288
'600839,11048
'601258,11043
'600157,10937
'000001,10774
'600016,10747
'000063,10334
'601866,10186
'000157,10090
'600019,10081
'002065,10063
'000413,9907
'000166,9882
'601106,9843
'000709,9770
'600868,9534
'601939,9469
'600022,9387
'600031,9309
'600111,9221
'601727,9086
'601066,8656
'600307,8589
'601328,8493
'601138,8390
'603993,8317
'600837,8118
'601669,8115
'600089,8073
'601186,8065
'000629,8027
'002024,8016
'601919,8005
'002230,7958
'600068,7847
'300059,7811
'600219,7527
'600518,7521
'600601,7429
'002610,7392
'300104,7255
'600401,7227
'600008,7194
'601377,7190
'601319,7184
'000839,7163
'000002,7048
'600567,7046
'600635,6998
'600797,6813
'002131,6761
'000425,6745
'600018,6725
'601558,6635
'002340,6580
'600025,6572
'601166,6560
'002797,6543
'600887,6529
'600489,6527
'600516,6513
'601333,6508
'002195,6493
'000540,6454
'600863,6419
'000727,6295
'000858,6267
'600487,6193
'000783,6169
'600036,6085
'601818,6041
'600170,5924
'601901,5919
'600808,5831
'002600,5830
'000338,5727
'601991,5672
'002673,5622
'600705,5611
'601918,5552
'600522,5530
'601018,5530
'000778,5530
'600653,5508
'600503,5478
'000750,5430
'300315,5407
'600115,5401
'002926,5397
'600000,5388
'002460,5371
'601519,5366
'601880,5362
'600320,5360
'600255,5338
'600690,5304
'000009,5290
'000825,5279
'600166,5246
'601992,5241
'300017,5225
'002027,5217
'601588,5211
'600029,5209
'000667,5205
'601168,5190
'601088,5169
'600256,5166
'600100,5132
'601998,5128
'002450,5126
'002936,5113
'000751,5102
'601211,5072
'600637,5067
'000875,5054
'600415,5039
'600369,5036
'600879,5017
'000625,4996
'600497,4992
'000333,4953
'600642,4916
'600023,4909
'600919,4903
'601688,4903
'600895,4892
'000031,4881
'600703,4837
'603077,4815
'600108,4770
'600909,4746
'000598,4737
'000735,4722
'601212,4721
'002415,4721
'600048,4702
'000060,4697
'000977,4682
'600460,4678
'000682,4677
'600317,4652
'000768,4633
'600820,4614
'000563,4572
'600886,4559
'601005,4526
'600776,4523
'601179,4513
'601872,4512
'002456,4480
'601108,4474
'600816,4473
'601608,4470
'000078,4469
'000776,4466
'600928,4459
'601111,4439
'600958,4427
'002505,4423
'600755,4403
'002477,4402
'000932,4399
'000683,4378
'600485,4353
'002466,4348
'601898,4319
'600604,4314
'600309,4293
'000897,4289
'600547,4271
'600039,4256
'002031,4241
'600017,4204
'000656,4203
'000066,4169
'300024,4164
'600187,4160
'603799,4159
'600109,4158
'002185,4154
'600362,4128
'600873,4115
'600435,4104
'601229,4092
'601216,4086
'600118,4068
'600959,4039
'600252,4037
'002465,4034
'000983,4006
'601006,3999
'000917,3998
'600210,3977
'000930,3977
'002405,3947
'000807,3946
'601010,3937
'601718,3934
'300185,3930
'601375,3910
'000882,3906
'600104,3895
'600297,3895
'600169,3894
'002500,3892
'000767,3889
'601890,3888
'000005,3884
'601838,3861
'600901,3856
'002498,3847
'002948,3845
'002008,3836
'600282,3836
'601000,3826
'600027,3821
'601933,3808
'000830,3770
'601009,3767
'601800,3740
'600352,3716
'600033,3707
'000758,3700
'600276,3694
'000670,3686
'600577,3679
'600151,3659
'000680,3652
'600737,3642
'300027,3634
'000027,3626
'600176,3619
'600606,3618
'601118,3618
'600496,3614
'002129,3583
'002506,3578
'600196,3575
'000878,3569
'600177,3566
'002280,3563
'600006,3559
'600495,3558
'002176,3543
'600220,3531
'601228,3496
'601975,3490
'600550,3484
'002310,3477
'600711,3467
'000886,3466
'600726,3464
'000636,3455
'002241,3426
'000050,3422
'600015,3416
'000931,3415
'600021,3414
'002266,3385
'000717,3383
'600871,3378
'601162,3378
'000933,3377
'600881,3367
'600150,3366
'601878,3350
'600875,3340
'000898,3325
'601611,3312
'002385,3305
'600698,3293
'000816,3285
'002407,3284
'600789,3283
'600595,3282
'600103,3278
'000959,3277
'600528,3275
'601628,3271
'601016,3271
'600999,3269
'600584,3268
'600380,3263
'600583,3261
'002736,3246
'002421,3234
'000686,3230
'600717,3226
'000021,3226
'000883,3222
'601700,3216
'000410,3214
'000571,3212
'600428,3193
'600153,3160
'601011,3160
'000572,3159
'601298,3157
'600425,3150
'600649,3150
'000652,3149
'000415,3131
'600175,3120
'000547,3118
'000401,3105
'600611,3095
'600777,3077
'600569,3073
'600331,3071
'000970,3064
'000516,3058
'000520,3057
'600269,3056
'300111,3055
'601958,3053
'000507,3053
'000728,3052
'600549,3047
'300079,3046
'002497,3042
'000616,3040
'601881,3037
'000592,3036
'600677,3034
'300070,3029
'002049,3024
'601128,3021
'002202,3013
'601008,3012
'000793,3009
'002155,3002
'601788,3001
'600804,2996
'600026,2981
'000623,2980
'000488,2978
'002004,2975
'002526,2963
'600490,2956
'601326,2947
'600446,2934
'601198,2929
'600326,2920
'002175,2908
'601929,2904
'600572,2902
'600405,2900
'600399,2898
'600586,2895
'000806,2892
'600664,2888
'002183,2888
'000877,2882
'002217,2878
'601555,2876
'600158,2875
'600900,2871
'600728,2870
'000559,2869
'002130,2864
'600125,2859
'601200,2857
'002463,2854
'002013,2852
'000627,2848
'002252,2840
'000988,2839
'000012,2839
'002663,2827
'002547,2819
'002573,2811
'002236,2805
'000795,2799
'600655,2798
'600388,2787
'000831,2786
'601117,2785
'000973,2784
'600226,2776
'002471,2766
'002177,2763
'002342,2761
'002161,2756
