stkcode,headcount
'000725,44128
'601989,25112
'601766,23084
'601899,20707
'600795,19908
'600030,19784
'600050,19459
'601390,18162
'600010,17308
'601857,16246
'601988,15770
'601668,15144
'000100,15114
'600028,14494
'601985,13731
'601600,13687
'601398,13364
'600221,12665
'601169,12421
'601099,12290
'601618,11968
'000630,11570
'000651,11421
'601288,11275
'601318,11181
'600016,11026
'600839,10695
'601258,10590
'600157,10259
'601866,10176
'000157,9909
'000166,9824
'600019,9743
'000001,9738
'601106,9636
'000413,9622
'600031,9513
'000709,9481
'601727,9287
'601066,9285
'600022,9225
'601939,9207
'601328,9162
'000063,9157
'600868,9068
'002065,8940
'600111,8827
'601186,8552
'300059,8371
'603993,8302
'600837,8297
'600307,8280
'000629,8106
'601669,8056
'600089,7947
'601138,7942
'600068,7925
'601919,7884
'002610,7690
'002024,7578
'600518,7558
'002230,7490
'002195,7432
'600567,7395
'600219,7343
'600401,7229
'000858,7214
'000839,7197
'300104,7194
'600601,7156
'002958,6913
'600635,6904
'601377,6894
'600018,6878
'600008,6876
'601319,6836
'601333,6702
'600352,6617
'601558,6554
'002500,6501
'002131,6493
'600516,6489
'600489,6478
'600487,6425
'002340,6409
'000540,6393
'600863,6359
'002797,6311
'000002,6298
'000338,6295
'601818,6206
'600887,6151
'601166,6118
'000425,6083
'000783,6067
'000932,6066
'600705,6030
'600025,5986
'600808,5956
'601901,5876
'000727,5831
'600036,5771
'002673,5753
'601519,5696
'601991,5654
'601018,5557
'000750,5524
'600170,5523
'002027,5517
'600000,5500
'600797,5448
'600653,5423
'601688,5422
'600522,5382
'002600,5378
'300315,5375
'601880,5354
'000778,5327
'600503,5314
'601088,5309
'601975,5301
'601918,5283
'600320,5281
'601588,5274
'600256,5261
'000825,5245
'600166,5241
'603077,5234
'600115,5214
'600879,5203
'600369,5202
'000009,5199
'000875,5196
'002926,5161
'000667,5161
'600637,5136
'600255,5117
'601992,5096
'002477,5096
'600108,5089
'000078,5075
'601168,5069
'600100,5062
'601998,5061
'002456,5035
'600415,4993
'601211,4991
'002460,4981
'000751,4978
'300017,4966
'002415,4942
'000066,4941
'000031,4924
'600690,4919
'600029,4900
'600023,4894
'600497,4863
'000625,4843
'600703,4839
'000060,4837
'002450,4804
'000563,4747
'000977,4744
'600642,4714
'600919,4701
'000735,4692
'600909,4688
'000768,4685
'000598,4656
'002202,4650
'600460,4578
'600317,4572
'002936,4565
'601212,4530
'601005,4502
'000683,4494
'000776,4492
'600895,4441
'600958,4440
'000333,4440
'600820,4428
'601872,4424
'600039,4414
'600886,4402
'600048,4381
'002505,4363
'600547,4357
'600485,4354
'000682,4337
'601179,4332
'601608,4328
'601898,4301
'600109,4294
'600755,4257
'600017,4203
'600776,4171
'000930,4171
'002031,4168
'601890,4164
'000723,4156
'601006,4145
'600435,4127
'601111,4112
'300024,4082
'601718,4068
'002292,4055
'600118,4046
'000897,4044
'002466,4042
'601108,4038
'002294,4035
'002465,4017
'600252,4017
'000830,4010
'600873,4004
'600276,4000
'600027,3998
'002185,3988
'600187,3985
'600816,3979
'600959,3970
'600150,3965
'600604,3961
'000983,3953
'600871,3949
'600362,3947
'601229,3945
'600789,3906
'600282,3901
'600737,3899
'300185,3899
'000882,3888
'600309,3886
'601800,3876
'000656,3871
'000917,3867
'601000,3855
'601216,3851
'600169,3851
'000767,3845
'000807,3842
'600210,3839
'601010,3832
'000005,3817
'601375,3785
'600006,3778
'002405,3762
'600624,3744
'600928,3664
'002310,3654
'600104,3653
'600901,3647
'000717,3641
'601607,3637
'600033,3627
'600577,3610
'600875,3605
'002498,3602
'002176,3599
'600177,3593
'002948,3590
'000027,3585
'601838,3579
'002130,3572
'601008,3572
'600220,3570
'000680,3564
'300027,3561
'600151,3559
'000898,3553
'000021,3546
'600495,3532
'000886,3522
'000758,3516
'002008,3514
'601009,3513
'000878,3505
'600196,3504
'600572,3496
'601118,3484
'000571,3477
'600726,3476
'600528,3473
'002280,3469
'603799,3461
'601611,3452
'600711,3451
'000636,3440
'000652,3438
'002266,3436
'600881,3422
'600021,3399
'601878,3396
'600496,3395
'600015,3372
'601881,3371
'000572,3370
'002506,3360
'002177,3356
'600664,3346
'600550,3333
'000516,3329
'601228,3322
'002241,3312
'000931,3311
'600606,3302
'601555,3296
'601700,3274
'000933,3272
'002385,3243
'000883,3227
'600103,3222
'000520,3219
'601016,3209
'000816,3206
'002129,3201
'600175,3200
'000959,3197
'002013,3196
'600595,3193
'600804,3192
'600428,3191
'002407,3187
'600717,3151
'601933,3151
'601628,3145
'600380,3137
'002183,3130
'000488,3129
'600425,3122
'600649,3121
'601011,3116
'600999,3115
'600583,3113
'601298,3111
'000050,3107
'002736,3105
'600584,3104
'600072,3102
'000547,3098
'000410,3093
'000686,3082
'600569,3065
'002547,3065
'600153,3063
'000415,3055
'600446,3050
'600611,3047
'600410,3041
'300079,3036
'601162,3032
'000592,3030
'000507,3027
'600698,3020
'002004,3019
'000616,3017
'601326,3000
'300070,2997
'000670,2993
'300111,2990
'000793,2989
'600269,2989
'600549,2980
'000831,2977
'601128,2975
'002155,2975
'600777,2962
'601198,2960
'601788,2960
'002421,2947
'600586,2938
'300623,2937
'600331,2936
'601958,2934
'002663,2929
'002217,2927
'600208,2924
'002491,2916
'002497,2913
'603000,2901
'600728,2894
'002252,2893
'002463,2892
'000970,2889
'600399,2888
'002256,2885
'600326,2880
'600158,2863
'600900,2862
'002236,2857
'600125,2848
'001696,2831
'000877,2829
'601200,2824
'002565,2817
'000623,2814
'000729,2813
'600812,2809
'000012,2799
'600498,2799
'002526,2798
'601929,2790
'600652,2789
'600284,2788
'002489,2785
'002496,2782
'000806,2777
'601117,2775
'000559,2775
'600677,2773
'600026,2761
'600794,2761
'600565,2759
'002471,2757
'002739,2751
'000627,2747
'000518,2746
'002030,2740
'600063,2740
'002342,2739
'600744,2731
'600176,2731
'000988,2731
'000528,2729
'000519,2728
'000159,2723
