stkcode,headcount
'000725,45201
'601989,23659
'601766,22914
'601899,20794
'600795,20123
'600030,19491
'600050,19358
'600010,17857
'601390,17777
'601857,15980
'601668,15966
'601988,15751
'000100,14891
'601600,13991
'600028,13943
'601985,13540
'601398,13399
'601099,13003
'601169,12377
'600221,12358
'601318,12258
'601618,12187
'000630,12095
'000651,11468
'601288,11280
'600839,11102
'601258,11099
'600157,11057
'000001,10809
'600016,10744
'000063,10490
'002065,10326
'601866,10196
'600019,10064
'000157,10058
'000413,9955
'601106,9880
'000166,9852
'000709,9804
'600868,9564
'601939,9482
'600022,9407
'600111,9286
'600031,9231
'601727,9042
'601066,8755
'600307,8616
'601328,8514
'601138,8486
'603993,8351
'601669,8128
'600837,8104
'600089,8085
'000629,8039
'601186,8020
'002230,8018
'601919,8003
'002024,7981
'600068,7844
'300059,7748
'600518,7690
'600219,7569
'002610,7494
'600601,7377
'601319,7343
'300104,7314
'600401,7227
'600008,7212
'601377,7199
'000839,7062
'600567,7060
'000002,7031
'002131,6978
'600635,6932
'600797,6837
'600018,6752
'601558,6667
'000425,6649
'600516,6636
'601166,6613
'600025,6603
'002797,6588
'002340,6583
'002195,6543
'600489,6529
'601333,6504
'000540,6454
'600887,6449
'600863,6428
'000858,6374
'000727,6373
'600487,6216
'000783,6215
'600036,6206
'601818,6037
'002600,5964
'601901,5943
'600170,5908
'600808,5845
'601991,5676
'002673,5670
'000338,5649
'601519,5619
'600705,5611
'600115,5577
'601918,5576
'600522,5571
'601018,5554
'000778,5529
'000750,5510
'600653,5501
'600503,5494
'002460,5453
'300315,5449
'002926,5430
'600000,5409
'300017,5390
'601880,5381
'600029,5374
'600320,5354
'600255,5351
'000009,5342
'000825,5272
'600690,5261
'601992,5258
'600166,5242
'002027,5237
'000667,5209
'601588,5194
'601168,5189
'600256,5173
'600100,5150
'601088,5146
'601998,5138
'000751,5120
'002936,5112
'600369,5065
'000875,5064
'601211,5057
'600879,5056
'600415,5049
'002450,5034
'600637,5026
'600497,5013
'000625,4958
'600919,4926
'600023,4902
'600642,4897
'000031,4890
'000333,4863
'600703,4862
'603077,4840
'601688,4835
'600909,4791
'601212,4789
'000977,4787
'600108,4786
'000735,4779
'600776,4773
'000598,4740
'600895,4735
'600048,4732
'000060,4720
'600928,4714
'002415,4712
'000768,4657
'000682,4649
'600317,4648
'601111,4636
'600820,4599
'601608,4598
'600886,4560
'000563,4556
'601179,4551
'002477,4541
'002456,4538
'601108,4533
'601005,4530
'601872,4513
'000078,4485
'002505,4480
'000776,4480
'600460,4473
'000932,4464
'600755,4460
'600958,4432
'002466,4419
'000683,4401
'600816,4389
'600485,4353
'000897,4326
'601898,4321
'600039,4283
'002031,4275
'603799,4272
'600547,4260
'002185,4230
'000656,4223
'300024,4209
'600017,4207
'000066,4182
'600109,4167
'600362,4143
'600187,4139
'600435,4129
'600873,4125
'600309,4119
'600118,4116
'601216,4103
'601229,4091
'002465,4067
'600252,4065
'600959,4032
'000983,4001
'601006,3990
'000807,3976
'000930,3975
'601010,3974
'601890,3967
'601718,3954
'000917,3953
'300185,3947
'002498,3944
'002405,3942
'601375,3942
'000882,3936
'600297,3931
'600210,3928
'002500,3919
'600169,3910
'000767,3909
'002948,3906
'000005,3889
'600901,3876
'601838,3871
'002008,3869
'600282,3860
'601000,3826
'600027,3813
'601933,3780
'600104,3773
'601009,3769
'600604,3749
'600033,3723
'601800,3720
'000758,3720
'600577,3712
'600276,3691
'600151,3676
'600352,3654
'300027,3649
'601118,3638
'000027,3637
'600737,3635
'600606,3626
'600496,3624
'002506,3615
'600176,3608
'000680,3607
'002280,3606
'600196,3594
'002176,3589
'000878,3580
'002129,3575
'600495,3566
'600177,3566
'600006,3561
'600220,3556
'601975,3541
'601228,3511
'000830,3500
'002310,3495
'600711,3495
'600550,3489
'600726,3482
'000886,3478
'000636,3477
'600021,3421
'600015,3408
'601878,3405
'000717,3404
'002241,3396
'600789,3393
'600871,3392
'600584,3388
'002266,3385
'000933,3385
'000931,3382
'600150,3378
'600881,3365
'002407,3356
'601162,3351
'600875,3348
'601611,3347
'000898,3347
'000050,3345
'600999,3339
'000670,3335
'002385,3332
'000816,3315
'002421,3308
'601700,3307
'600595,3303
'600103,3290
'600380,3290
'000959,3282
'600528,3276
'601016,3273
'000686,3273
'600698,3267
'002736,3263
'601628,3261
'000571,3258
'600583,3257
'000021,3257
'600717,3231
'601298,3227
'000883,3226
'000410,3221
'000401,3196
'600428,3192
'601011,3190
'600425,3183
'000652,3176
'300079,3175
'600153,3165
'000547,3162
'600175,3154
'000572,3144
'000415,3119
'000728,3096
'600649,3096
'002049,3093
'600777,3090
'600569,3078
'300111,3071
'000516,3069
'600549,3067
'000520,3064
'601788,3064
'600269,3063
'002497,3062
'300070,3059
'600331,3057
'000507,3056
'000793,3053
'601958,3048
'000970,3046
'600611,3046
'601881,3036
'000616,3035
'601008,3022
'601128,3020
'000877,3020
'000592,3019
'600804,3013
'002155,3011
'002252,3010
'002202,3008
'600572,3007
'000623,3000
'600446,2988
'000488,2978
'601929,2976
'002004,2973
'601326,2971
'600326,2969
'002217,2965
'601865,2959
'000806,2958
'601198,2954
'600026,2942
'600728,2939
'002175,2930
'600490,2929
'600677,2926
'002526,2912
'600586,2910
'600399,2909
'600664,2908
'600900,2895
'601555,2895
'002183,2895
'002463,2891
'002594,2888
'002573,2878
'600405,2876
'000559,2876
'002130,2876
'000988,2868
'600158,2865
'002547,2859
'600125,2853
'601200,2848
'000012,2848
'000831,2845
'000627,2844
'002663,2828
'002013,2827
'000795,2801
'002161,2792
'002236,2791
'600388,2774
'000973,2774
'601117,2770
'600208,2767
'600110,2767
'002342,2763
'600406,2757
'600655,2755
'002491,2751
'002739,2750
'600063,2749
'600410,2749
'601860,2746
'002471,2735
'000536,2733
'600652,2732
'002489,2730
'600811,2730
'600744,2728
'002177,2727
'600565,2723
'600133,2721
'002636,2718
'600977,2714
'000937,2713
'600130,2710
'600519,2702
'600360,2694
'002474,2694
'002263,2693
'601598,2690
'600343,2689
'002431,2683
'002256,2681
'600988,2680
'002154,2678
'600226,2674
'600020,2668
'000792,2664
'002023,2664
'002392,2658
'601601,2657
'000423,2652
'600598,2652
'000069,2650
'600581,2649
'002017,2644
'001696,2642
'600086,2641
'600183,2639
'002089,2638
'600348,2634
'300077,2634
'002113,2631
'600812,2629
'600291,2625
'002030,2617
'000528,2616
'600392,2614
'600651,2614
'600186,2613
'300355,2609
'603000,2604
'600074,2598
'600846,2597
'000859,2593
'000650,2587
'600718,2587
'002108,2587
'600874,2582
'002429,2575
'600340,2573
'002839,2570
'002312,2565
'300287,2560
'600512,2557
'600688,2552
'600667,2551
'300324,2551
'000519,2549
'600143,2543
'600396,2540
'002426,2537
'600498,2529
'002145,2526
'601997,2525
'002276,2525
'000039,2524
'002288,2514
'600662,2514
'600966,2511
'600739,2509
'002950,2506
'000738,2504
'600284,2497
'600122,2497
'600654,2492
'600893,2492
'002156,2490
'600624,2490
'600675,2489
'600072,2488
'600171,2485
'000008,2480
'002542,2478
'600227,2475
'600756,2475
'300088,2475
'000960,2472
'603019,2466
'000861,2461
'600085,2458
'002436,2451
'600162,2433
'002102,2423
'000600,2422
'002446,2421
'600770,2413
'002092,2413
'601001,2413
'600720,2409
'000402,2407
'000518,2407
'600311,2390
'600531,2389
'300418,2385
'600064,2384
'600660,2383
'600127,2371
'300072,2367
'300251,2366
'600190,2357
'002067,2354
'002939,2352
'600666,2346
'000301,2335
'601388,2335
'601828,2333
'002716,2328
'000718,2327
'002307,2324
'300136,2324
'002151,2319
'000876,2319
'600105,2317
'601577,2316
'000958,2312
'000720,2310
'600588,2308
'002938,2307
'002467,2303
'000939,2303
'000729,2301
'300116,2293
'601636,2292
'000777,2288
'600300,2285
'600507,2284
'600794,2281
'600467,2277
'000800,2275
'002945,2273
'002097,2270
'600555,2264
'300058,2264
'601666,2257
'600084,2257
'002951,2255
'600037,2252
'600596,2249
'601699,2249
'600060,2245
'002358,2242
'002285,2240
'601990,2232
'000901,2232
'000070,2227
'002001,2225
'600271,2222
'600308,2222
'603858,2220
'002002,2218
'600106,2218
'600970,2216
'600926,2213
'000690,2212
'300008,2210
'600011,2207
'600206,2206
'002239,2204
'002302,2204
'600614,2198
'002668,2192
'600231,2189
'600759,2188
'002447,2185
'300750,2183
'000997,2182
'600350,2182
'002486,2180
'600200,2180
'600869,2177
'002501,2176
'601012,2176
'600827,2175
'000822,2175
'600035,2169
'600188,2167
'002341,2165
'600585,2163
'600736,2163
'600409,2162
'600266,2161
'002104,2160
'600525,2159
'000566,2159
'002018,2159
'002005,2158
'600884,2157
'002517,2156
'600578,2155
'601002,2154
'000558,2154
'002052,2152
'002121,2151
'000006,2150
'000851,2149
'600322,2147
'601607,2144
'000753,2143
'600978,2140
'600321,2139
'002437,2136
'600862,2134
'600751,2128
'000545,2125
'600836,2123
'002337,2123
'000548,2122
'300101,2118
'600798,2115
'600500,2115
'000862,2115
'600240,2111
'601019,2110
'000762,2110
'002665,2110
'002011,2109
'000564,2108
'300124,2108
'600172,2107
'600643,2102
'600418,2097
'000400,2094
'002292,2093
'601615,2092
'300433,2084
'600198,2082
'600436,2074
'002157,2070
'002226,2061
'600316,2058
'000555,2051
'600330,2051
'600290,2045
'002115,2045
'600570,2041
'002079,2039
'000868,2035
'002170,2035
'300156,2033
'300297,2031
'600058,2030
'002261,2029
'300352,2024
'000585,2016
'002495,2013
'002284,2011
'000541,2011
'600477,2008
'000568,2005
'300737,1994
'600630,1994
'002510,1990
'600545,1989
'002146,1988
'002245,1986
'601949,1985
'002273,1984
'002596,1981
'601633,1979
'600602,1977
'000059,1975
'000016,1975
'002448,1974
'002056,1973
'601616,1966
'601058,1962
'300002,1962
'600824,1961
'300292,1957
'002550,1956
'000903,1950
'002178,1950
'300026,1949
'000936,1948
'000420,1948
'000838,1946
'002540,1944
'000591,1944
'600740,1938
'600303,1938
'002218,1936
'000018,1935
'000971,1934
'000900,1931
'002249,1929
'601808,1928
'002657,1926
'600903,1922
'600117,1913
'600216,1911
'000799,1910
'601163,1909
'002106,1905
'600784,1904
'002334,1903
'000829,1903
'600067,1898
'000036,1894
'600408,1892
'600685,1892
'600730,1892
'600775,1890
'300253,1885
'600713,1881
'601107,1881
'600747,1878
'600877,1874
'600098,1872
'000503,1871
'002073,1871
'002019,1868
'600673,1868
'002078,1866
'600123,1865
'600963,1861
'601518,1861
'002535,1856
'002413,1852
'002224,1851
'000981,1851
'600704,1850
'600488,1850
'600800,1848
'002326,1847
'600783,1846
'300098,1845
'300296,1845
'600888,1839
'002075,1834
'002390,1831
'000837,1829
'600571,1828
'600936,1827
'600537,1826
'000895,1826
'002689,1823
'000905,1822
'002118,1822
'002269,1822
'600765,1819
'002695,1819
'002630,1818
'600864,1817
'601069,1816
'601225,1813
'600760,1811
'000687,1804
'300170,1800
'600312,1797
'002701,1795
'600536,1794
'002359,1793
'002281,1791
'600160,1790
'002093,1789
'001979,1782
'300431,1781
'000040,1777
'000587,1777
'000969,1773
'002400,1772
'300137,1771
'002142,1769
'002807,1769
'600880,1768
'002294,1768
'002237,1767
'600997,1766
'000561,1766
'600426,1763
'600199,1761
'600076,1758
'600782,1755
'300003,1755
'601952,1755
'002488,1754
'600332,1753
'601068,1751
'601336,1751
'002060,1750
'000589,1749
'000672,1746
'600787,1745
'000068,1745
'600131,1744
'000543,1743
'300014,1743
'600527,1742
'002432,1741
'300044,1740
'002099,1738
'600069,1738
'002402,1736
'000088,1736
'002424,1736
'000980,1733
'600066,1730
'002555,1729
'600701,1729
'300197,1727
'600458,1724
'000099,1723
'002523,1723
'600079,1721
'600867,1716
'600502,1715
'002139,1715
'002554,1715
'600056,1713
'000693,1710
'300353,1710
'300152,1710
'002611,1708
'000498,1707
'600354,1707
'300066,1706
'600807,1706
'000615,1705
'002148,1704
'603128,1704
'601928,1702
'600249,1701
'600707,1699
'600313,1699
'600397,1697
'000407,1697
'300762,1693
'002329,1692
'601311,1691
'601619,1685
'002064,1685
'000422,1683
'002516,1680
'600986,1680
'000539,1680
'002063,1676
'002043,1673
'600546,1673
'002168,1672
'000659,1671
'300085,1670
'600057,1669
'600594,1668
'600582,1665
'000998,1664
'000836,1658
'000055,1657
'000557,1655
'000786,1655
'002508,1654
'600073,1650
'000089,1650
'000935,1648
'002070,1646
'300055,1644
'002233,1643
'601968,1643
'601966,1643
'600439,1641
'000514,1641
'002622,1638
'600292,1637
'601606,1635
'002428,1634
'002619,1634
'600674,1634
'600438,1633
'600758,1633
'000802,1633
'600366,1633
'000426,1630
'000599,1630
'601188,1628
'600268,1628
'600526,1624
'600339,1624
'000791,1623
'600391,1622
'600676,1621
'600277,1619
'601777,1616
'002564,1616
'000158,1614
'002181,1611
'601360,1610
'300367,1609
'000601,1606
'000965,1602
'002297,1602
'300038,1600
'601218,1600
'000912,1598
'002533,1597
'600533,1596
'002565,1594
'600743,1593
'600908,1593
'600853,1591
'002305,1590
'002100,1590
'300139,1589
'002163,1589
'300090,1588
'600967,1588
'000509,1588
'000029,1586
'002122,1586
'300303,1586
'000826,1585
'002169,1584
'600825,1584
'600589,1583
'000530,1582
'002650,1580
'000521,1578
'000963,1577
'601222,1576
'000554,1575
'002504,1574
'300310,1574
'600626,1573
'000760,1573
'600139,1573
'600261,1565
'000966,1564
'002277,1563
'600112,1562
'000506,1562
'000712,1557
'600517,1557
'002128,1555
'002182,1554
'300043,1552
'600218,1551
'000926,1550
'000538,1549
'600351,1547
'600433,1547
'600535,1547
'000677,1545
'002512,1545
'600236,1545
'600621,1543
'300383,1543
'002697,1541
'600773,1540
'002222,1540
'002642,1540
'002162,1539
'002369,1538
'603169,1535
'002191,1535
'000510,1535
'002325,1534
'300370,1534
'600376,1532
'600509,1528
'002141,1526
'603766,1522
'600491,1522
'601908,1521
'000517,1520
'600116,1517
'600383,1516
'000698,1515
'601789,1513
'002433,1512
'002378,1510
'600466,1510
'000573,1510
'600481,1509
'000938,1509
'002190,1507
'000957,1507
'600663,1506
'002604,1506
'600279,1506
'300048,1505
'000721,1497
'600075,1497
'300131,1496
'002123,1495
