stkcode,headcount
'000725,44592
'002958,26164
'601989,23630
'601766,22879
'601899,20668
'600795,20031
'600030,19231
'600050,19120
'601390,17723
'600010,17596
'601857,15904
'601668,15790
'601988,15730
'000100,14459
'601600,13907
'600028,13761
'601985,13447
'601398,13303
'601099,12720
'601169,12327
'600221,12213
'601618,12070
'000630,11864
'601318,11605
'601288,11181
'601258,10899
'600839,10880
'000651,10863
'600157,10701
'600016,10673
'000001,10512
'601866,10144
'600019,10031
'000063,10017
'000157,9980
'601106,9816
'000413,9797
'000166,9765
'002065,9757
'000709,9744
'600868,9421
'600022,9323
'601939,9260
'600111,9091
'601727,9015
'600031,8793
'600307,8521
'601328,8422
'601138,8311
'601066,8310
'603993,8176
'601669,8099
'600089,8029
'000629,8007
'601919,7964
'600837,7962
'002024,7912
'601186,7803
'600068,7750
'002230,7729
'300059,7507
'600219,7467
'600601,7331
'002610,7235
'600401,7228
'600518,7218
'600008,7133
'300104,7071
'601377,7062
'000839,6968
'600567,6948
'601319,6944
'600635,6815
'600797,6637
'600018,6616
'601558,6605
'000002,6564
'002340,6501
'600025,6497
'600489,6490
'601333,6485
'601166,6463
'002131,6439
'000425,6420
'000540,6403
'002797,6401
'600863,6394
'600516,6370
'002195,6198
'000783,6123
'000727,6055
'600487,6022
'600887,6013
'601818,6003
'600036,5863
'600170,5846
'601901,5845
'000858,5832
'600808,5803
'601991,5655
'600705,5563
'000778,5516
'601018,5502
'601918,5481
'600653,5461
'000338,5441
'600503,5438
'600522,5420
'002673,5373
'300315,5347
'600000,5344
'600320,5317
'601880,5302
'000750,5300
'600255,5290
'002926,5284
'002600,5268
'000009,5265
'000825,5262
'600115,5216
'601588,5195
'000667,5182
'601168,5170
'601992,5158
'601088,5113
'600166,5107
'600256,5104
'002027,5101
'601998,5091
'000751,5091
'600100,5091
'600029,5036
'002936,5029
'600415,5013
'600637,5011
'000875,5000
'601211,4992
'600690,4980
'601519,4960
'600369,4945
'000625,4931
'600497,4930
'600879,4903
'600023,4893
'000031,4863
'002450,4859
'600919,4854
'600642,4850
'300017,4832
'002460,4825
'603077,4778
'600108,4756
'000598,4709
'601688,4706
'600703,4695
'600909,4668
'000060,4662
'000977,4641
'600317,4631
'000735,4631
'601212,4611
'000768,4608
'600820,4591
'002456,4587
'600886,4551
'000333,4548
'601872,4500
'601005,4466
'002415,4462
'601179,4450
'000078,4420
'000776,4406
'600895,4405
'600958,4403
'000563,4375
'002505,4361
'600485,4353
'601608,4331
'000683,4322
'601898,4296
'600755,4283
'601111,4261
'000897,4238
'002477,4232
'600816,4221
'000682,4208
'002031,4200
'600547,4198
'600039,4166
'600017,4161
'600048,4148
'600460,4139
'000656,4138
'601108,4121
'300024,4121
'002466,4098
'600873,4096
'000932,4085
'600362,4069
