stkcode,headcount
'000725,46129
'002958,26214
'601989,23699
'601766,23091
'601899,20723
'600795,20026
'600030,19618
'600050,19372
'601390,18020
'600010,17672
'601857,16095
'601668,16050
'601988,15848
'000100,14983
'601600,13920
'600028,13889
'601985,13826
'601398,13532
'601099,12941
'601169,12454
'600221,12279
'601618,12189
'000630,11922
'601318,11903
'000651,11483
'601288,11341
'600839,11197
'601258,10876
'600016,10808
'600157,10792
'000001,10606
'000063,10251
'601866,10122
'600019,10059
'002065,10007
'000157,9964
'000413,9853
'000166,9853
'601106,9809
'000709,9735
'600868,9494
'600022,9335
'601939,9318
'600031,9274
'601066,9265
'600111,9189
'601727,9070
'600307,8520
'601328,8499
'603993,8419
'601138,8315
'002195,8220
'600089,8190
'601669,8148
'002024,8127
'300059,8085
'000629,8041
'601919,8016
'601186,8007
'600837,7960
'600068,7914
'600518,7910
'002230,7836
'600601,7515
'600219,7499
'601319,7470
'000839,7335
'002610,7309
'600567,7307
'600401,7229
'300104,7201
'600008,7165
'600635,7139
'601377,7103
'002131,6663
'601558,6641
'600018,6609
'002797,6601
'601166,6584
'600489,6560
'000425,6547
'002340,6502
'601333,6497
'600516,6466
'600025,6461
'000540,6441
'000002,6436
'600863,6403
'000727,6393
'600887,6290
'600487,6256
'000783,6135
'601818,6123
'000858,6067
'600797,6050
'600808,5947
'600036,5920
'601901,5872
'600170,5839
'002600,5803
'000750,5792
'601519,5783
'002027,5777
'600705,5676
'601991,5675
'000338,5600
'601018,5600
'000778,5590
'600522,5573
'002673,5515
'600653,5492
'600503,5489
'601918,5468
'601880,5419
'300017,5413
'600000,5413
'300315,5379
'000009,5365
'600320,5346
'002926,5330
'000825,5321
'600255,5298
'601588,5297
'601992,5292
'600256,5289
'600166,5288
'600108,5267
'000977,5220
'601168,5215
'600637,5195
'000667,5194
'002456,5193
'600115,5165
'600690,5147
'601998,5145
'601088,5132
'000751,5108
'000735,5106
'600100,5090
'601211,5082
'600879,5079
'600415,5043
'000625,5035
'600369,5034
'002936,5012
'600497,5006
'000875,5004
'000683,4974
'600029,4961
'002460,4951
'600023,4929
'002450,4917
'600919,4915
'000563,4904
'600895,4895
'000031,4869
'601688,4844
'600642,4835
'603077,4802
'601212,4800
'000682,4797
'600703,4776
'002415,4761
'600909,4736
'000598,4736
'600317,4706
'000060,4685
'000066,4652
'000768,4646
'600820,4587
'002477,4587
'600460,4573
'000333,4573
'600928,4571
'600816,4554
'600886,4540
'601608,4514
'600755,4511
'601872,4499
'601179,4495
'000078,4491
'601005,4489
'600958,4488
'000776,4428
'002505,4358
'600485,4354
'600604,4341
'600624,4327
'601898,4310
'600048,4302
'000897,4296
'600109,4282
'600776,4281
'600547,4277
'601111,4276
'601000,4268
'300024,4258
'600039,4257
'002031,4238
'600017,4235
'601108,4229
'002185,4203
'002466,4149
'000932,4145
'000930,4131
'600362,4121
'601229,4116
'600435,4115
'000656,4109
'600873,4109
'600959,4108
'601718,4095
'600187,4081
'002465,4072
'600118,4064
'601006,4058
'000983,4029
'600104,4028
'002405,4021
'600210,3998
'000917,3995
'600252,3993
'603799,3983
'002500,3977
'601375,3943
'000807,3941
'600176,3941
'600027,3941
'601010,3940
'000670,3940
'300185,3936
'000005,3916
'600309,3911
'000767,3904
'601890,3899
'600169,3897
'600352,3875
'002292,3868
'601216,3866
'000882,3860
'002948,3841
'600901,3836
'601800,3816
'600177,3796
'601838,3795
'000636,3790
'600282,3779
'002498,3765
'000758,3718
'002008,3696
'600151,3694
'600033,3693
'002129,3690
'002176,3685
'601933,3685
'000027,3667
'601009,3656
'000830,3654
'600276,3638
'000680,3637
'601118,3635
'600577,3635
'600737,3603
'600196,3601
'300027,3600
'600006,3598
'000878,3585
'002506,3579
'600495,3578
'600606,3569
'002280,3569
'600496,3562
'600297,3556
'002310,3541
'000886,3534
'601228,3532
'600550,3523
'601975,3521
'002241,3511
'600711,3498
'000021,3497
'600220,3481
'000572,3455
'600726,3442
'002407,3431
'600015,3428
'000898,3428
'600425,3426
'600150,3413
'000571,3408
'600021,3407
'601611,3402
'000717,3394
'600881,3390
'002266,3385
'000933,3371
'600871,3370
'601298,3357
'600584,3354
'000931,3350
'600875,3344
'002385,3313
'601878,3302
'000877,3298
'601016,3286
'600698,3286
'600583,3286
'600717,3284
'600380,3281
'600528,3274
'000652,3269
'600649,3265
'600103,3264
'000959,3264
'600595,3262
'600999,3255
'002130,3254
'000816,3253
'000883,3249
'000050,3222
'600572,3218
'002421,3214
'601628,3209
'000415,3199
'601011,3194
'000410,3193
'601326,3190
'000793,3186
'000686,3186
'600175,3183
'600428,3181
'601162,3180
'000507,3178
'600153,3172
'601700,3171
'000806,3166
'002736,3163
'600326,3148
'000547,3136
'000520,3129
'600611,3126
'300070,3117
'600777,3112
'601881,3108
'300111,3091
'002049,3090
'600569,3084
'000516,3078
'600410,3075
'000592,3073
'600664,3069
'300079,3058
'601128,3052
'000616,3049
'600789,3045
'000488,3041
'601958,3038
'600549,3027
'002155,3027
'600269,3026
'600331,3022
'000970,3022
'002013,3021
'600804,3016
'601008,3015
'000728,2995
'002526,2985
'601788,2983
'002004,2982
'000623,2981
'600446,2979
'601929,2976
'600728,2965
'002252,2949
'002547,2947
'002202,2940
'600158,2939
'002183,2930
'601198,2927
'600026,2919
'601555,2918
'600846,2916
'002497,2910
'600586,2895
'002463,2892
'600072,2888
'600399,2886
'002342,2879
'601200,2873
'002302,2866
'000012,2865
'002217,2861
'000559,2860
'600125,2856
'002175,2856
'000973,2854
'000627,2854
'002307,2852
'000401,2848
'002236,2835
'002471,2833
'000988,2819
'600581,2818
'600900,2803
'603000,2802
'002491,2800
'002950,2800
'002663,2799
'600811,2799
'600677,2795
'002573,2790
'000831,2774
'000519,2765
'000528,2764
'600405,2760
'601601,2753
'601117,2751
'600655,2750
'600208,2750
'600388,2749
'601860,2739
'002739,2737
'002474,2733
'000792,2728
'600110,2728
'600744,2719
'000937,2712
'600063,2712
'600660,2709
'600490,2708
'002161,2708
'600020,2705
'002030,2704
'002256,2703
'600565,2703
'600133,2701
'000423,2699
'002636,2694
'002263,2693
'002489,2690
'600360,2688
'600171,2687
'002431,2678
'600988,2672
'002177,2662
'600874,2659
'002023,2654
'002392,2642
'600652,2639
'600348,2630
'600977,2628
'600130,2627
'601598,2624
'001696,2621
'600291,2621
'002154,2620
'600812,2618
'600662,2617
'002089,2615
'600598,2613
'000536,2612
'600666,2606
'600074,2599
'300765,2599
'600512,2598
'300077,2593
'600086,2585
'000069,2584
'000008,2581
'600186,2578
'300355,2574
'600143,2569
'600498,2568
'000729,2567
'002108,2566
'002429,2562
'000650,2558
'002017,2555
'600343,2552
'002113,2549
'002839,2548
'600893,2544
'000859,2544
'000039,2542
'600688,2539
'600199,2538
'002312,2536
'600966,2535
'000795,2530
'600718,2518
'002276,2514
'600085,2513
'600739,2510
'601997,2506
'300287,2505
'600519,2504
'600392,2503
'600651,2501
'002145,2497
'600531,2494
'002426,2494
'600720,2492
'002156,2492
'601607,2479
'600271,2479
'000738,2473
'600667,2471
'600654,2467
'300088,2465
'600183,2457
'000518,2456
'600675,2453
'000861,2451
'600756,2447
'000960,2446
'600970,2444
'600037,2435
'300251,2434
'600227,2422
'600226,2421
'600162,2420
'002288,2418
'002092,2417
'600284,2412
'600396,2411
'000600,2404
'601001,2403
'600588,2401
'002002,2401
'600770,2397
'603019,2395
'600122,2391
'002939,2386
'600340,2383
'300418,2382
'000402,2379
'002716,2377
'600190,2376
'002102,2376
'600064,2371
'600011,2369
'600311,2367
'002436,2367
'300324,2364
'600084,2364
'600127,2363
'601577,2362
'600300,2358
'002542,2358
'300072,2355
'002446,2349
'000958,2348
'000566,2344
'000777,2341
'000800,2338
'300136,2333
'000720,2332
'002945,2332
'002467,2328
'600105,2322
'600798,2318
'002067,2318
'600555,2314
'601388,2313
'002594,2312
'000301,2310
'000718,2307
'601636,2300
'600736,2300
'600585,2293
'600884,2290
'600794,2282
'000939,2280
'601828,2278
'300116,2276
'600060,2275
'600406,2275
'002151,2272
'002097,2272
'002554,2271
'600862,2267
'002488,2265
'300058,2255
'002951,2252
'300750,2251
'601666,2251
'600308,2248
'601990,2246
'600467,2245
'600630,2243
'600206,2243
'601699,2240
'000862,2240
'600759,2233
'002501,2232
'600409,2225
'600106,2223
'000564,2222
'000006,2220
'300352,2218
'000690,2217
'601012,2217
'002018,2216
'000851,2212
'002668,2204
'000558,2204
'600507,2204
'000876,2200
'603858,2199
'000070,2199
'002447,2197
'002437,2197
'600200,2196
'300156,2189
'002001,2187
'002517,2187
'600188,2184
'300008,2180
'600926,2180
'600035,2177
'600827,2176
'600596,2174
'600525,2174
'002239,2170
'000997,2169
'600350,2165
'600266,2164
'002052,2159
'000822,2159
'600614,2157
'601002,2156
