stkcode,headcount
'000725,44467
'601989,24790
'601766,22953
'601899,20850
'600030,20365
'600795,19631
'600050,19508
'601390,18189
'600010,17200
'601857,16323
'601988,15424
'000100,15196
'601668,14863
'600028,14581
'601600,13635
'601985,13566
'601398,13048
'600221,12588
'601169,12384
'601099,12108
'601618,11935
'000630,11473
'601318,11452
'600016,11097
'601288,11000
'000413,10810
'000651,10765
'601258,10565
'600839,10564
'600031,10326
'600157,10287
'601866,10203
'000157,9759
'000166,9730
'600019,9716
'000001,9679
'601106,9580
'601727,9501
'000709,9463
'000063,9323
'601939,9283
'600022,9215
'600868,9164
'601328,8952
'002065,8843
'601186,8809
'600111,8804
'300059,8585
'600837,8473
'601066,8462
'603993,8265
'600307,8210
'601669,8046
'000629,7948
'600068,7916
'601138,7834
'601919,7830
'600089,7783
'002195,7699
'002230,7561
'600567,7530
'002610,7464
'002024,7460
'600518,7369
'600219,7352
'300104,7328
'600401,7229
'000002,7204
'000839,7166
'600601,7111
'600635,7086
'000858,7012
'601377,6932
'600008,6860
'601319,6845
'600352,6808
'600516,6761
'601333,6710
'000338,6683
'600018,6543
'601558,6528
'002500,6463
'600489,6426
'002131,6388
'000932,6375
'600487,6358
'002340,6337
'000540,6282
'600863,6218
'601166,6166
'000425,6157
'002797,6155
'000783,6104
'600887,6022
'601818,5985
'002600,5983
'600808,5983
'600036,5938
'002958,5933
'600025,5892
'601901,5820
'600503,5768
'600522,5756
'600705,5746
'000727,5740
'002027,5664
'601688,5616
'601991,5615
'600166,5567
'600170,5567
'601519,5557
'002673,5531
'600797,5471
'600653,5419
'000750,5414
'601018,5372
'300315,5363
'600000,5347
'601088,5339
'600115,5337
'000825,5312
'000778,5285
'600256,5270
'601880,5255
'601588,5254
'600320,5240
'600703,5239
'000009,5232
'002415,5230
'601918,5226
'601168,5176
'600879,5175
'603077,5150
'600637,5123
'002456,5122
'600255,5077
'000667,5073
'002926,5070
'601992,5059
'600100,5052
'600108,5052
'601998,5021
'000735,5017
'601975,5013
'600369,5011
'000875,4997
'600029,4996
'600048,4981
'600175,4975
'601211,4965
'000751,4944
'600415,4935
'600690,4919
'002477,4916
'300017,4916
'600497,4914
'000066,4875
'600023,4834
'002505,4783
'002460,4776
'000060,4760
'000333,4734
'000031,4731
'000078,4708
'000625,4703
'002202,4700
'000683,4690
'000776,4687
'600642,4671
'600895,4666
'600460,4666
'000723,4664
'002450,4632
'000768,4628
'000598,4626
'600919,4622
'600909,4611
'600958,4557
'000977,4554
'600317,4532
'000563,4525
'601005,4476
'600547,4461
'600820,4428
'002936,4427
'601212,4424
'600886,4419
'600604,4400
'600755,4365
'601872,4360
'600485,4354
'601111,4336
'600039,4330
'600875,4323
'601179,4304
'600276,4301
'600109,4293
'002547,4288
'601898,4287
'601608,4253
'000682,4225
'600017,4201
'002405,4195
'002465,4145
'601890,4139
'601006,4121
'601108,4118
'002031,4116
'600776,4114
'600150,4089
'600435,4060
'300024,4057
'600873,4042
'600118,4035
'600309,4031
'002466,4025
'600006,4020
'601718,4001
'000830,3986
'600187,3985
'600252,3978
'000897,3974
'002294,3964
'600959,3963
'000930,3957
'600871,3953
'600362,3944
'002185,3929
'601229,3916
'600282,3915
'000917,3908
'600737,3905
'000983,3905
'300772,3898
'002498,3891
'000005,3882
'601800,3876
'603799,3872
'600816,3860
'600169,3854
'000807,3846
'000680,3842
'000882,3841
'600624,3835
'300185,3832
'601010,3817
'002385,3810
'002292,3799
'600027,3798
'601000,3797
'600210,3791
'601216,3780
'000767,3755
'601375,3754
'002310,3751
'000656,3711
'002446,3698
'002176,3662
'600033,3633
'600901,3598
'600572,3584
'000717,3583
'000027,3580
'000758,3579
'600577,3579
'600177,3578
'601011,3573
'600151,3565
'000636,3547
'000886,3541
'600220,3518
'601009,3512
'000878,3507
'300027,3507
'000898,3507
'601838,3503
'000021,3492
'600104,3486
'002948,3473
'600495,3472
'002280,3472
'601555,3462
'600528,3461
'600928,3457
'600196,3455
'601118,3451
'600297,3438
'000686,3430
'002241,3424
'002008,3423
'600496,3411
'600789,3406
'600881,3405
'601607,3401
'000488,3397
'600711,3388
'600726,3377
'002130,3374
'000652,3369
'601881,3354
'600015,3354
'000516,3345
'601700,3327
'000571,3327
'600606,3324
'601008,3316
'601611,3311
'600021,3309
'002266,3296
'600759,3291
'601878,3278
'600664,3277
'000931,3273
'002013,3256
'601228,3256
'600550,3248
'600103,3236
'002506,3230
'002407,3215
'000592,3214
'000816,3199
'601016,3198
'002177,3198
'601933,3190
'000572,3189
'600583,3187
'000933,3183
'600153,3177
'000547,3172
'600595,3165
'000959,3163
'002736,3160
'600584,3157
'002129,3155
'600717,3154
'600428,3149
'000883,3148
'600649,3140
'600380,3136
'600425,3135
'000520,3125
'600072,3106
'000415,3102
'600410,3087
'000410,3078
'601628,3075
'002471,3062
'000050,3057
'002183,3053
'600804,3024
'600999,3023
'600777,3021
'601198,3018
'600611,3012
'600569,3009
'300079,3007
'002739,3006
'601162,3002
'002004,3000
'000616,2986
'300070,2983
'002463,2976
'002155,2973
'600269,2973
'300111,2969
'603019,2969
'601298,2968
'000507,2966
'601958,2965
'600586,2961
'600208,2957
'601128,2957
'002491,2957
'600549,2949
'600794,2947
'001696,2939
'002236,2936
'601788,2935
'600446,2934
'600977,2929
'000793,2928
'000831,2927
'002421,2921
'000650,2917
'601326,2914
'002217,2914
'600698,2903
'002089,2903
'600176,2903
'600158,2893
'600728,2889
'002663,2876
'002497,2875
'000729,2875
'002002,2871
'603000,2869
'600326,2867
'600331,2867
'002252,2866
'600110,2865
'600498,2860
'600399,2860
'002049,2839
'600125,2836
'601200,2832
'002565,2821
'600666,2813
'000877,2813
'000401,2799
'600900,2798
'000988,2797
'000012,2795
'000528,2792
'300623,2788
'000970,2785
'000973,2780
'601117,2778
'601929,2772
'000623,2765
'000559,2761
'600652,2749
'000937,2748
'002489,2743
'600775,2742
'002526,2738
'002118,2736
'600063,2735
'600677,2730
'000670,2724
'600360,2723
'600026,2723
'002161,2722
'600284,2721
'600988,2720
'000728,2715
'600811,2708
'600581,2705
'600846,2703
'600812,2702
'600020,2690
'000519,2689
'000958,2686
'600655,2680
'000627,2676
'600186,2676
'002342,2667
'600565,2659
'002431,2656
'002307,2652
'600388,2650
'002030,2649
'000159,2647
'600744,2641
'002210,2638
'000423,2634
'000518,2629
'600490,2627
'000069,2623
'600405,2623
'000070,2613
'002256,2602
'002023,2599
'300292,2591
'600143,2586
'600074,2586
'600271,2583
'600893,2580
'600588,2579
'000792,2574
'002436,2570
'000859,2568
'002573,2566
'600756,2562
'000960,2559
'002467,2559
'300072,2554
'600531,2552
'002392,2548
'600867,2546
'600133,2544
'002263,2539
'002474,2538
'600130,2538
'600758,2537
'300750,2532
'002429,2531
'002312,2530
'002276,2527
'601997,2524
'600343,2520
'600291,2520
'000806,2520
'601598,2516
'600348,2510
'002092,2510
'002154,2504
'600688,2501
'000039,2499
'002017,2492
'600598,2491
'002145,2484
'600660,2482
'000795,2481
'002302,2480
'600086,2479
'002668,2473
'600392,2472
'600308,2472
'601001,2470
'000536,2462
'000008,2462
'300355,2455
'600512,2452
'000738,2451
'002426,2450
'600662,2450
'600570,2445
'600970,2444
'300136,2441
'600675,2435
'600190,2430
'000836,2429
'600966,2427
'600874,2426
'002447,2420
'600614,2417
'000800,2413
'600340,2411
'600667,2410
'300116,2410
'600654,2408
'600519,2407
'600555,2407
'600963,2403
'600011,2399
'300077,2396
'600507,2393
'000402,2393
'002175,2391
'002839,2388
'300088,2386
'002249,2376
'300287,2373
'601860,2365
'002108,2361
'000753,2360
'600585,2355
'600718,2349
'600105,2345
'000861,2344
'600037,2344
'300418,2343
'002716,2342
'600739,2341
'600862,2340
'002630,2339
'600770,2328
'600085,2328
'002151,2326
'600884,2320
'600396,2320
'600106,2316
'600060,2314
'002288,2308
'002496,2307
'600162,2305
'300251,2299
'000862,2299
'000939,2298
'600409,2298
'600300,2293
'601601,2291
'600122,2289
'600127,2278
'002102,2277
'000301,2276
'600200,2275
'000718,2272
'600736,2272
'002067,2270
'000690,2267
'601666,2267
'000777,2267
'601949,2267
'600651,2262
'600084,2259
'000876,2257
'600206,2257
'000566,2256
'000720,2251
'300058,2250
'600685,2247
'601777,2246
'002554,2246
'600311,2239
'601636,2239
'000822,2237
'601828,2233
'600171,2228
'600467,2226
'300324,2223
'601388,2222
'002341,2216
'002517,2212
'002542,2210
'600720,2208
'300008,2205
'601577,2197
'603858,2195
'002097,2195
'002939,2189
'000600,2185
'002501,2184
'002115,2182
'000059,2179
'002636,2179
'600926,2178
'002156,2178
'000997,2171
'300352,2169
'600978,2169
'600198,2167
'600227,2166
'002018,2160
'601002,2152
'300433,2151
'002337,2151
'600172,2146
'600525,2144
'600596,2139
'600266,2131
'601990,2128
'600418,2128
'601699,2127
'000564,2123
'600199,2117
'000900,2116
'600064,2116
'002104,2115
'601019,2110
'600322,2107
'600226,2107
'002596,2107
'600798,2101
'300297,2101
'300773,2100
'600578,2099
'600500,2096
'002594,2095
'000006,2094
'002437,2093
'002239,2093
'600321,2093
'600827,2092
'002005,2091
'002261,2087
'002226,2087
'600350,2086
'600536,2086
'600035,2082
'000400,2082
'300156,2080
'002486,2079
'300098,2077
'002146,2076
'002113,2074
'600303,2072
'600330,2071
'000558,2069
'000548,2067
'000981,2066
'000901,2065
'002358,2057
'002052,2051
'002170,2051
'002945,2050
'600869,2047
'600316,2047
'600240,2047
'600406,2035
'600183,2034
'600218,2032
'000545,2032
'600643,2028
'600783,2020
'000903,2011
'000936,2008
'000762,2008
'000016,2001
'300768,1999
'601012,1996
'002099,1992
'000503,1987
'600188,1981
'002390,1980
'002285,1979
'300026,1977
'000799,1977
'002448,1976
'600836,1975
'000036,1974
'000851,1973
'600058,1972
'000585,1967
'002657,1966
'600713,1966
'600056,1963
'002245,1961
'600630,1958
'600408,1957
'600751,1957
'300253,1956
'002540,1956
'002157,1955
'600740,1955
'600488,1951
'002495,1950
'600888,1945
'002359,1945
'601107,1943
'300101,1940
'002056,1938
'600073,1938
'000541,1937
'002334,1936
'300002,1935
'000018,1932
'600436,1932
'002555,1931
'600231,1929
'600517,1929
'600160,1926
'000040,1925
'000555,1924
'600268,1924
'600545,1923
'000837,1918
'601633,1914
'300003,1912
'002510,1911
'000905,1909
'600477,1909
'000760,1909
'002284,1905
'000969,1905
'002550,1901
'600704,1896
'000829,1894
'002011,1890
'600730,1888
'000838,1884
'600824,1874
'300068,1873
'601615,1873
