stkcode,headcount
'000725,46194
'002958,26214
'601989,24375
'601766,23135
'601899,20786
'600795,20014
'600030,19784
'600050,19452
'601390,18078
'600010,17691
'000100,16354
'601668,16208
'601857,16173
'601988,15916
'600028,14073
'601600,13899
'601985,13831
'601398,13675
'601099,12895
'601169,12496
'600221,12291
'601618,12200
'601318,12023
'000630,11914
'000651,11675
'601288,11458
'600839,11224
'601258,10884
'600016,10846
'600157,10795
'000001,10660
'000063,10216
'601866,10109
'600019,10088
'000157,9952
'601106,9901
'002065,9876
'000413,9861
'000166,9802
'000709,9727
'600868,9540
'601939,9431
'600031,9389
'600022,9363
'600111,9170
'601727,9032
'601066,9015
'601328,8542
'600307,8504
'603993,8423
'601138,8287
'601669,8150
'300059,8150
'600089,8143
'601186,8085
'002024,8070
'000629,8069
'600837,8016
'601919,8004
'002195,7951
'600068,7920
'600518,7903
'002230,7800
'600219,7498
'000839,7480
'600601,7436
'601319,7427
'300104,7401
'600567,7350
'600401,7229
'002610,7198
'600635,7183
'600008,7129
'601377,7126
'601558,6671
'002340,6645
'601166,6645
'002131,6634
'600489,6626
'600018,6590
'000425,6543
'002797,6542
'000002,6519
'601333,6481
'600516,6444
'000540,6439
'600025,6433
'600863,6399
'000727,6320
'600887,6306
'600487,6219
'601818,6165
'000783,6116
'000858,6102
'600797,5986
'600036,5967
'600808,5965
'002027,5929
'601901,5847
'600170,5835
'600705,5691
'000338,5675
'000750,5667
'601991,5665
'002600,5652
'600522,5619
'000625,5616
'601519,5611
'601018,5575
'000778,5561
'600653,5491
'600503,5474
'002673,5470
'600000,5447
'601918,5445
'601880,5410
'300017,5389
'600320,5389
'600108,5367
'600879,5365
'300315,5364
'000977,5329
'000009,5325
'000825,5323
'601992,5299
'601588,5292
'600256,5289
'600255,5287
'002926,5282
'600166,5263
'601088,5228
'601168,5206
'600637,5187
'600415,5185
'000667,5179
'600690,5166
'002456,5162
'601998,5154
'600115,5152
'601211,5111
'000751,5109
'600100,5090
'600369,5064
'600497,5029
'000875,5024
'002936,5001
'600029,4989
'000735,4952
'600023,4938
'600895,4935
'601688,4923
'002460,4917
'002450,4914
'600919,4905
'000031,4844
'000683,4842
'000768,4828
'601212,4820
'600642,4815
'600703,4797
'603077,4792
'002415,4781
'000598,4746
'000563,4701
'600909,4696
'000060,4680
'600317,4677
'000682,4656
'601608,4620
'000333,4620
'002477,4599
'600460,4581
'600820,4579
'000066,4548
'600755,4515
'600886,4501
'600958,4491
'601872,4491
'601005,4489
'000078,4480
'601179,4479
'600928,4454
'600604,4438
'000776,4425
'600816,4411
'600048,4389
'600485,4354
'002505,4349
'600776,4339
'601898,4326
'000897,4317
'600039,4296
'600435,4288
'601111,4282
'600547,4278
'600109,4251
'002031,4232
'600017,4224
'002185,4223
'300024,4222
'601718,4214
'601000,4206
'601108,4190
'002465,4174
'600118,4159
'601229,4152
'600362,4137
'000932,4135
'600873,4133
'000930,4116
'600624,4114
'600959,4099
'002466,4091
'601006,4077
'000656,4074
'600104,4067
'601890,4061
'600187,4059
'000917,4052
'002405,4044
'000983,4023
'300185,3993
'600252,3991
'600176,3977
'000670,3973
'000807,3965
'600027,3963
'603799,3956
'600210,3953
'002500,3945
'600169,3923
'601010,3922
'000005,3922
'601375,3904
'000767,3901
'002292,3890
'600177,3881
'600309,3875
'600282,3872
'601216,3869
'000882,3854
'601800,3848
'600901,3827
'002948,3821
'601838,3797
'002498,3761
'002008,3750
'600151,3728
'600352,3723
'002129,3699
'000758,3698
'002176,3697
'601933,3694
'600033,3687
'601009,3676
'000021,3675
'000027,3668
'600006,3648
'600577,3642
'601118,3639
'600276,3623
'600220,3620
'000680,3620
'600495,3612
'600196,3611
'600737,3602
'300027,3589
'000830,3581
'002506,3580
'600606,3576
'600496,3574
'601611,3562
'000878,3561
'002280,3555
'000636,3554
'002310,3537
'601975,3523
'000886,3520
'601326,3514
'300003,3503
'600550,3499
'601228,3490
'600711,3483
'002241,3478
'000898,3467
'600015,3433
'600726,3429
'600297,3428
'002013,3421
'000931,3403
'600150,3397
'002407,3397
'600881,3396
'600021,3395
'002385,3393
'000793,3388
'002266,3387
'600331,3384
'000717,3378
'000933,3377
'600584,3372
'000571,3368
'600698,3364
'600871,3362
'600875,3345
'000572,3337
'600572,3320
'000547,3319
'601298,3316
'600410,3302
'000652,3301
'601008,3300
'600528,3297
'600208,3289
'600380,3286
'601628,3282
'601016,3273
'600425,3272
'601878,3268
'600103,3268
'600717,3265
'600583,3262
'600595,3259
'000959,3257
'002130,3248
'000410,3248
'600649,3246
'600999,3244
'000883,3237
'000816,3237
'000806,3209
'002421,3196
'600428,3193
'600175,3193
'601011,3187
'000415,3178
'300079,3170
'601162,3169
'600153,3169
'000050,3163
'000686,3154
'000877,3147
'002736,3144
'601700,3127
'002049,3123
'000507,3121
'300070,3119
'000520,3118
'600611,3113
'600326,3113
'600777,3112
'002155,3096
'601881,3092
'000516,3088
'600569,3080
'600664,3078
'000592,3074
'300111,3074
'000488,3067
'600789,3060
'000616,3059
'600549,3046
'601958,3042
'600269,3037
'601128,3036
'002307,3032
'600804,3023
'000970,3014
'601555,2985
'002004,2985
'000519,2983
'601788,2975
'000623,2961
'000728,2953
'600677,2947
'002547,2940
'002202,2939
'600446,2933
'002526,2933
'002183,2932
'600125,2922
'002252,2921
'600586,2916
'002342,2916
'600728,2915
'600158,2909
'002497,2909
'600026,2909
'601198,2901
'601929,2901
'600399,2896
'601200,2885
'002463,2884
'002217,2880
'000012,2871
'002471,2866
'002236,2864
'600846,2861
'000559,2848
'002429,2840
'000627,2835
'601601,2829
'000988,2822
'600072,2814
'600811,2810
'000831,2807
'000973,2794
'002663,2791
'000401,2783
'600063,2781
'600900,2770
'002491,2767
'600110,2762
'000528,2760
'600655,2757
'600388,2757
'002030,2750
'002023,2749
'002573,2747
'600405,2742
'601117,2739
'002161,2738
'600744,2737
'600565,2737
'002175,2736
'600581,2734
'600020,2734
'002739,2728
'002302,2722
'000423,2715
'600660,2714
'600988,2710
'000937,2701
'600360,2698
'600133,2697
'002636,2695
'002263,2691
'002474,2691
'000792,2683
'002489,2682
'600490,2672
'002431,2669
'001696,2655
'002177,2653
'601860,2649
'002256,2647
'002392,2645
'600598,2643
'600652,2638
'002154,2632
'600977,2631
'600812,2629
'601598,2627
'600348,2627
'600130,2624
'600171,2623
'600893,2620
'002437,2618
'600512,2615
'603000,2613
'600074,2606
'600271,2603
'600190,2603
'600874,2603
'002089,2596
'300765,2596
'000008,2584
'600662,2581
'600291,2576
'600186,2576
'000738,2576
'300077,2575
'600086,2574
'000729,2574
'000650,2573
'600143,2572
'300355,2563
'000536,2563
'600498,2562
'600343,2552
'600519,2550
'000069,2550
'002108,2546
'600688,2545
'600392,2542
'600739,2541
'600756,2541
'000039,2540
'600085,2533
'600966,2532
'300287,2526
'002312,2524
'002446,2522
'000795,2521
'603019,2515
'600718,2508
'600531,2506
'002276,2506
'002839,2506
'600206,2501
'002017,2500
'601607,2496
'601997,2495
'002113,2494
'002145,2478
'002156,2477
'600654,2476
'002426,2474
'600667,2469
