stkcode,headcount
'000725,45211
'601989,23753
'601766,23033
'601899,20995
'600795,20042
'600030,19853
'600050,19600
'601390,17873
'600010,17013
'601988,15993
'601857,15915
'601668,15690
'601600,14372
'600028,14057
'000100,13663
'601985,13627
'601398,13020
'601318,12481
'601169,12456
'600221,12263
'601099,11728
'601618,11712
'000651,11549
'000630,11545
'000063,11206
'601288,11178
'000001,10989
'600016,10902
'601866,10385
'000157,10315
'000413,10284
'600019,10156
'601258,10095
'600839,10032
'000709,9997
'600111,9714
'000166,9655
'600157,9581
'601106,9524
'601939,9415
'600868,9409
'600031,9366
'600022,9320
'601138,9317
'600307,9309
'601727,9112
'603993,8648
'601328,8618
'000629,8303
'601669,8238
'601186,8157
'601919,8110
'600068,8053
'002024,7938
'600837,7818
'600089,7746
'300104,7715
'601319,7640
'601377,7614
'600518,7494
'300059,7365
'600601,7357
'600219,7290
'600008,7252
'600401,7226
'002797,7149
'002230,7115
'000839,7108
'000540,7095
'600018,7077
'002610,6959
'000425,6933
'000002,6900
'600516,6859
'600025,6857
'002340,6847
'600635,6841
'600567,6834
'000858,6778
'601558,6751
'601166,6743
'600489,6589
'601333,6517
'600863,6507
'002926,6494
'000783,6422
'002936,6399
'601901,6385
'002195,6333
'600487,6309
'000750,6271
'600887,6161
'002948,6038
'600808,6010
'600036,5978
'601818,5945
'600170,5885
'002673,5841
'601918,5800
'600705,5734
'601991,5730
'600522,5651
'000778,5623
'600653,5607
'000338,5562
'000825,5521
'600115,5485
'601992,5466
'300315,5459
'601880,5454
'600000,5447
'000727,5424
'601018,5420
'600503,5414
'601168,5319
'600320,5305
'000009,5298
'000667,5298
'000735,5297
'600166,5284
'601088,5270
'600100,5235
'600256,5234
'601588,5209
'600029,5165
'000751,5165
'600919,5155
'600369,5147
'600415,5126
'600497,5116
'002450,5103
'000031,5043
'002131,5032
'601211,4999
'603077,4962
'000875,4960
'600879,4957
'600255,4955
'600023,4926
'601998,4921
'002460,4917
'000625,4859
'600909,4856
'600642,4847
'600108,4847
'600637,4846
'000060,4788
'000776,4745
'600690,4743
'000333,4742
'000598,4738
'002600,4712
'000768,4654
'600820,4649
'600317,4640
'601872,4640
'601005,4594
'002415,4568
'600886,4546
'601898,4524
'002027,4521
'600776,4509
'601688,4506
'600755,4501
'002456,4497
'600048,4430
'600901,4426
'600958,4424
'002477,4410
'600703,4409
'002466,4396
'000683,4387
'600039,4372
'600485,4352
'600895,4346
'601066,4295
'300024,4280
'600460,4274
'600873,4269
'000066,4265
'000050,4258
'000977,4256
'000078,4251
'601212,4250
'600109,4250
'601179,4245
'601111,4244
'002341,4234
'002500,4229
'002505,4227
'600118,4221
'000983,4214
'600362,4213
'600017,4209
'000656,4195
'601229,4192
'603799,4191
'600547,4178
'002031,4170
'002465,4162
'000930,4145
'000897,4142
'600435,4123
'600252,4117
'601375,4111
'601298,4111
'601009,4101
'000682,4093
'601838,4087
'601108,4058
'002405,4056
'600959,4045
'600187,4038
'600282,4034
'600309,4014
'600210,3997
'000807,3976
'601865,3972
'600151,3954
'601718,3953
'600169,3939
'601000,3920
'000767,3918
'000882,3915
'601700,3894
'000005,3882
'601800,3874
'601118,3854
'300027,3845
'300185,3828
'000758,3822
'002185,3817
'601010,3805
'600352,3780
'601006,3771
'000878,3763
'600276,3762
'600737,3762
'601975,3757
'002129,3751
'002008,3749
'600033,3741
'600577,3729
'000027,3724
'600711,3707
'000932,3690
'601216,3675
'000680,3674
'601933,3673
'000636,3662
'002498,3660
'600006,3645
'000717,3643
'600495,3636
'601228,3634
'300017,3632
'000886,3632
'600606,3630
'600496,3628
'000830,3618
'600027,3617
'600177,3612
'002176,3611
'000563,3580
'600196,3579
'002506,3557
'002310,3556
'000917,3550
'600150,3537
'600871,3528
'600797,3521
'601162,3516
'600550,3511
'000933,3496
'601519,3492
'002547,3490
'601890,3488
'600220,3476
'600726,3476
'002280,3469
'002407,3464
'600528,3457
'000898,3450
'600015,3442
'002266,3438
'000686,3436
'600875,3425
'600881,3409
'002636,3408
'600584,3400
'000415,3384
'002049,3372
'000571,3372
'000931,3370
'601628,3361
'000410,3357
'002241,3354
'601011,3353
'000959,3350
'000816,3350
'600717,3338
'601608,3337
'600021,3336
'601611,3314
'000507,3308
'600103,3306
'600380,3299
'600569,3295
'600583,3290
'000652,3277
'000401,3273
'000021,3260
'600428,3259
'002497,3254
'600698,3253
'002736,3252
'601878,3249
'600649,3245
'000883,3244
'600595,3240
'601881,3233
'002385,3232
'600789,3214
'000616,3198
'000547,3197
'002202,3196
'600153,3194
'601958,3179
'600999,3178
'601128,3164
'600549,3163
'000520,3141
'601198,3137
'300111,3137
'601016,3135
'601577,3134
'600269,3122
'000516,3115
'000623,3096
'000970,3089
'601008,3077
'000592,3077
'600175,3075
'600326,3065
'601788,3056
'600611,3049
'600026,3045
'002065,3042
'002155,3039
'002939,3038
'000973,3036
'000728,3032
'002463,3020
'002938,3020
'002089,3019
'600399,3017
'600677,3010
'000536,2998
'000012,2988
'002004,2982
'002839,2974
'000488,2973
'600490,2971
'600586,2970
'600777,2962
'002183,2960
'000670,2957
'600158,2954
'600125,2932
'002217,2932
'000572,2927
'000627,2927
'601555,2923
'002130,2920
'600900,2914
'600104,2911
'600176,2899
'600572,2898
'600804,2897
'300070,2894
'000559,2892
'600664,2890
'601326,2882
'002342,2872
'601200,2870
'600565,2870
'600388,2863
'000877,2857
'000793,2851
'600291,2850
'600977,2846
'000831,2845
'002491,2831
'600208,2830
'000937,2827
'002489,2819
'600816,2813
'600130,2798
'002161,2795
'601117,2792
'600405,2792
'600655,2788
'600581,2787
'002431,2786
'002288,2785
'600598,2784
'002739,2781
'600988,2774
'000806,2764
'000792,2760
'600133,2756
'600614,2747
'002471,2736
'000988,2729
'600063,2727
'600811,2724
'000519,2721
'002392,2719
'600846,2719
'600110,2712
'001696,2709
'002263,2693
'002256,2690
'600348,2684
'000039,2683
'600812,2683
'000650,2672
'000069,2670
'600531,2669
'002446,2668
'600744,2666
'600183,2665
'002429,2661
'600392,2659
'600874,2659
'600519,2656
'300077,2652
'600074,2648
'002236,2643
'002154,2642
'002023,2639
'002030,2638
'600331,2638
'002108,2637
'600360,2636
'600410,2629
'600666,2626
'002177,2620
'600020,2619
'000423,2618
'300355,2598
'000859,2594
'600343,2588
'601997,2586
'600143,2582
'600186,2581
'002276,2579
'300079,2579
'600966,2579
'600340,2579
'601615,2578
'600086,2577
'002663,2576
'002594,2575
'000528,2574
'600105,2571
'002573,2566
'600652,2562
'002252,2559
'600688,2557
'600507,2556
'002312,2554
'600718,2553
'600085,2552
'601929,2550
'300324,2546
'600662,2544
'002426,2543
'000738,2542
'600654,2533
'600122,2527
'600226,2526
'600162,2522
'002421,2519
'600624,2518
'600446,2512
'000402,2501
'600720,2497
'600284,2496
'600675,2496
'600728,2493
'600893,2493
'600425,2492
'300251,2487
'600512,2485
