stkcode,headcount
'000725,45215
'002958,25863
'601989,25850
'601766,23232
'601899,20788
'600795,19936
'600030,19880
'600050,19544
'601390,18169
'600010,17582
'601857,16290
'601668,15957
'601988,15939
'000100,15658
'600028,14336
'601985,13920
'601600,13864
'601398,13853
'601099,12724
'601169,12528
'600221,12329
'601618,12171
'000630,11861
'601318,11593
'601288,11381
'000651,11164
'600016,10894
'600839,10880
'601258,10779
'600157,10719
'000001,10208
'601866,10074
'600019,10060
'000063,9967
'000157,9929
'000166,9837
'000413,9806
'601106,9764
'600031,9695
'000709,9637
'601066,9531
'601939,9469
'002065,9370
'600022,9326
'600868,9312
'600111,9211
'601727,9040
'603993,8645
'601328,8594
'300059,8537
'601138,8454
'600307,8437
'601186,8261
'601669,8096
'600089,8062
'600837,8061
'000629,8054
'002024,8012
'601919,8004
'600068,7950
'002195,7908
'002230,7871
'300104,7681
'601319,7640
'600518,7630
'600219,7503
'000839,7385
'600601,7337
'600567,7327
'002131,7324
'600401,7229
'002610,7201
'600635,7124
'002500,7114
'600008,7061
'601377,7028
'601333,6709
'000540,6694
'600516,6677
'002340,6667
'002797,6638
'601558,6621
'600489,6576
'600018,6568
'601166,6485
'600487,6416
'000425,6393
'600863,6369
'000002,6203
'601818,6180
'600025,6175
'000727,6174
'000783,6153
'000858,6148
'600808,6016
'600887,5991
'601519,5929
'002027,5916
'600797,5905
'601901,5893
'600705,5831
'600036,5817
'600170,5748
'000338,5748
'601991,5665
'000750,5615
'601018,5551
'600000,5529
'000778,5494
'600522,5490
'002673,5484
'601880,5473
'600503,5470
'600653,5448
'300017,5445
'002600,5441
'300315,5384
'601918,5381
'000625,5375
'601588,5368
'601088,5352
'600879,5327
'600320,5309
'000825,5302
'002926,5302
'000009,5275
'000066,5239
'600255,5233
'600166,5229
'601992,5224
'601168,5210
'600108,5205
'600256,5197
'600637,5189
'601688,5170
'000667,5159
'601998,5150
'000060,5147
'600369,5100
'600415,5087
'000751,5087
'600115,5071
'600100,5054
'000031,5042
'002460,5041
'000977,5038
'000875,5024
'601211,5006
'600497,4996
'000735,4990
'000563,4978
'002450,4968
'600460,4933
'600023,4929
'600690,4916
'600029,4854
'600919,4853
'002936,4847
'002456,4829
'600703,4825
'603077,4818
'000768,4811
'000598,4758
'600642,4756
'600776,4750
'600895,4710
'600909,4705
'601212,4685
'000683,4661
'600317,4652
'002415,4612
'000776,4594
'601608,4585
'002477,4573
'000682,4510
'601005,4500
'600820,4495
'600886,4493
'600958,4481
'601179,4467
'601872,4438
'000078,4433
'600352,4414
'600928,4414
'600755,4400
'002505,4368
'600547,4367
'600485,4355
'600816,4342
'000333,4337
'600604,4320
'600048,4318
'002185,4296
'600104,4296
'601898,4292
'600017,4278
'600109,4273
'600039,4249
'000932,4239
'300024,4232
'600435,4227
'002031,4208
'601108,4203
'002466,4180
'002465,4172
'000807,4165
'600118,4155
'601718,4146
'600362,4137
'000897,4136
'600873,4134
'000656,4124
'601229,4109
'601006,4096
'603799,4081
'600027,4079
'600187,4039
'000983,4037
'600252,4036
'601890,4031
'000930,4023
'600959,4020
'300185,4012
'002405,4010
'000670,3973
'002292,3969
'601111,3955
'600309,3952
'601375,3952
'000917,3948
'002008,3942
'601000,3929
'002202,3928
'600210,3918
'000830,3907
'601010,3900
'601216,3894
'600169,3878
'000767,3872
'000882,3864
'000005,3861
'600282,3859
'600276,3836
'600624,3830
'600176,3828
'601800,3811
'600711,3772
'002948,3770
'600901,3769
'601975,3749
'601838,3742
'000636,3737
'002498,3735
'600177,3733
'600220,3714
'600006,3689
'000758,3680
'600033,3679
'002310,3679
'600151,3663
'600577,3648
'000878,3642
'002176,3640
'000021,3631
'601009,3629
'601611,3616
'601933,3608
'600664,3605
'600572,3603
'000027,3595
'000680,3590
'600737,3587
'002506,3576
'601118,3575
'300027,3551
'600495,3546
'000652,3545
'600196,3544
'002280,3533
'000886,3533
'002130,3523
'601298,3520
'002129,3512
'000898,3506
'601881,3498
'300079,3485
'002266,3475
'600496,3470
'002241,3461
'601228,3459
'000931,3455
'000717,3440
'600606,3438
'601008,3424
'600015,3421
'600425,3416
'601700,3415
'600726,3412
'000571,3399
'600550,3392
'600881,3391
'000933,3378
'600875,3377
'600871,3356
'600021,3354
'002407,3347
'600150,3341
'600528,3331
'600595,3316
'002385,3303
'601162,3286
'600103,3277
'000507,3272
'601628,3252
'002013,3243
'000816,3242
'601011,3240
'000959,3238
'600380,3235
'600410,3232
'601878,3227
'000547,3221
'600717,3221
'600428,3211
'000883,3209
'601016,3207
'600649,3206
'600583,3202
'000516,3200
'600584,3199
'000572,3197
'000415,3187
'000520,3183
'600999,3182
'600175,3176
'000410,3173
'600153,3172
'002421,3166
'000488,3162
'002736,3161
'601326,3158
'002491,3153
'000686,3150
'600072,3144
'000050,3129
'600789,3128
'600698,3128
'000877,3100
'600777,3089
'600569,3086
'600331,3081
'000616,3069
'601128,3068
'000723,3064
'000793,3064
'601555,3061
'300111,3057
'300070,3051
'600208,3049
'601788,3049
'600549,3048
'600611,3046
'600804,3044
'002547,3041
'000831,3040
'002155,3039
'002252,3036
'600326,3031
'000592,3031
'002004,3026
'600269,3019
'601958,3018
'000970,3004
'603000,2992
'600297,2984
'600446,2974
'002463,2962
'601198,2949
'000806,2942
'600586,2938
'600846,2938
'002236,2931
'000623,2926
'000519,2922
