stkcode,headcount
'000725,43356
'601989,23536
'601766,22754
'601899,21036
'600795,20008
'600050,19577
'600030,17895
'601390,17655
'600010,16289
'601988,15925
'601857,15848
'601668,14834
'601600,14247
'600028,13908
'601985,13545
'000100,13404
'601398,12755
'601169,12346
'601318,12200
'600221,12167
'601618,11670
'000651,11425
'000630,11217
'000001,10836
'601288,10784
'600016,10746
'601099,10365
'000157,10319
'601866,10272
'000413,10154
'600019,10115
'601258,10007
'600839,9961
'000709,9895
'000063,9739
'601106,9534
'601138,9531
'600157,9488
'600031,9458
'600868,9392
'600111,9336
'601939,9262
'600307,9200
'601727,9062
'600022,9033
'000166,8559
'601328,8472
'603993,8432
'000629,8210
'601919,8094
'601669,8045
'002024,7997
'600068,7968
'601186,7850
'600089,7777
'300104,7730
'601319,7427
'600518,7355
'600601,7307
'600837,7301
'600008,7251
'600401,7225
'600219,7148
'601377,7129
'600018,7085
'002230,7003
'600025,6926
'000425,6908
'002340,6815
'600567,6806
'000858,6803
'600635,6793
'600516,6770
'000839,6769
'601558,6746
'002610,6745
'601166,6651
'000002,6640
'600489,6580
'000540,6557
'600863,6547
'002926,6495
'601333,6483
'002797,6382
'002936,6355
'300059,6341
'600487,6205
'002948,6098
'600887,6086
'000783,6052
'601901,5985
'600808,5953
'601818,5824
'600036,5814
'600170,5808
'601918,5804
'601991,5738
'600705,5682
'002195,5682
'600115,5658
'600653,5595
'000778,5593
'000338,5541
'600522,5490
'600503,5479
'601018,5416
'601992,5398
'000825,5392
'002673,5374
'002450,5368
'601066,5350
'300315,5344
'600029,5329
'600000,5323
'600320,5323
'601168,5312
'601880,5305
'000667,5301
'000009,5300
'000735,5272
'600166,5271
'600256,5270
'000750,5258
'600100,5246
'601588,5189
'601088,5116
'600415,5084
'000751,5066
'600919,5044
'000031,5027
'600497,4986
'600023,4943
'000625,4925
'000875,4923
'600879,4896
'603077,4889
'600642,4868
'600255,4863
'600108,4853
'601998,4849
'600637,4798
'002460,4782
'000598,4753
'000333,4733
'600690,4724
'000768,4709
'002131,4703
'601872,4663
'600820,4648
'000060,4616
'601211,4600
'600317,4597
'002456,4563
'600703,4556
'600369,4522
'601005,4492
'600909,4471
'601111,4465
'600755,4461
'601898,4455
'600886,4441
'002027,4406
'002600,4397
'600901,4359
'002477,4358
'000683,4352
'600485,4352
'600039,4319
'002466,4317
'601212,4302
'002415,4300
'600048,4279
'600873,4278
'600958,4266
'000977,4257
'000776,4239
'601179,4227
'600118,4221
'600460,4209
'000078,4207
'300024,4191
'000930,4185
'000727,4184
'000066,4182
'600017,4173
'002465,4155
'002031,4148
'601688,4146
'600895,4140
'000656,4139
'600435,4120
'002505,4116
'000897,4116
'002405,4114
'600252,4113
'600547,4111
'000682,4092
'600362,4082
'000983,4080
'600959,4066
'600309,4059
'601229,4037
'600187,4034
'601865,4007
'002500,3998
'603799,3970
'600210,3966
'601718,3957
'002185,3954
'600109,3953
'601009,3951
'601298,3933
'600282,3925
'600169,3921
'000882,3912
'000807,3900
'000767,3893
'600776,3890
'601118,3873
'601838,3862
'000050,3847
'300027,3834
'000005,3824
'601010,3792
'300185,3763
'601975,3760
'601000,3757
'600737,3755
'601006,3752
'601108,3744
'600033,3743
'600711,3735
'600352,3712
'601800,3689
'601228,3687
'002498,3680
'601375,3678
'000027,3674
'600151,3662
'601933,3660
'600006,3660
'600276,3651
'600577,3647
'002176,3647
'000886,3641
'000680,3639
'000636,3631
'600495,3621
'000878,3611
'600177,3609
'000758,3603
'600606,3600
'601519,3597
'600027,3560
'600150,3554
'002129,3548
'000917,3546
'300759,3542
'600871,3524
'002506,3513
'000830,3508
'600550,3490
'600496,3479
'601890,3475
'000717,3472
'000563,3468
'601216,3459
'600726,3458
'002407,3450
'300017,3444
'600584,3440
'600220,3439
'002266,3426
'600797,3419
'002938,3410
'002280,3406
'000931,3403
'600875,3402
'601700,3389
'600881,3384
'600528,3383
'601628,3381
'000933,3381
'002497,3375
'600015,3357
'601608,3356
'002310,3354
'000898,3353
'000816,3350
'600021,3349
'002241,3342
'000571,3325
'000507,3324
'002049,3315
'601011,3308
'600717,3300
'600103,3294
'000410,3287
'000959,3286
'600196,3286
'000021,3284
'600428,3275
'601162,3267
'600380,3265
'600583,3256
'601611,3256
'600698,3254
'600595,3247
'000686,3242
'600649,3240
'000883,3233
'000652,3229
'600569,3225
'600789,3214
'000547,3202
'000401,3185
'601958,3183
'000415,3179
'002385,3171
'600153,3154
'300111,3132
'002202,3129
'000520,3124
'601198,3115
'600269,3108
'601128,3104
'600026,3100
'000616,3098
'601016,3093
'600183,3084
'600677,3081
'002736,3076
'601008,3074
'000592,3073
'600490,3062
'000970,3057
'000516,3052
'600549,3037
'002547,3034
'601577,3032
'002065,3027
'600326,3024
'600175,3022
'000012,3020
'002155,3018
'600399,3015
'600611,3004
'000973,2995
'002004,2983
'002217,2980
'002939,2977
'600586,2975
'600158,2961
'000623,2953
'600125,2945
'601881,2943
'000670,2940
'000572,2910
'002183,2908
'000488,2906
'600664,2892
'601200,2890
'002089,2889
'600614,2888
'002288,2887
'601326,2883
'000559,2879
'600988,2870
'601788,2869
'002130,2869
'600388,2866
'002342,2859
'600104,2858
'300070,2851
'000627,2844
'600598,2842
'600777,2833
'000728,2833
'600604,2832
'600977,2830
'600804,2829
'600565,2825
'601555,2823
'002161,2811
'002489,2805
'600655,2793
'002463,2791
'000937,2787
'000806,2784
'002431,2782
'600405,2780
'002739,2779
'000877,2772
'601117,2771
'600900,2765
'000793,2760
'600208,2754
'600133,2750
'600110,2749
'001696,2749
'600130,2746
'600816,2737
'600105,2735
'000792,2730
'002491,2726
'601615,2723
'002256,2719
'300077,2719
'002471,2718
'601878,2718
'600811,2712
'600846,2709
'002023,2709
'600291,2706
'002236,2701
'600812,2681
'600063,2681
'002263,2678
'000932,2672
'600744,2669
'000831,2667
'002177,2659
'002392,2656
'000988,2656
'002426,2653
'000039,2651
'600360,2646
'002154,2642
'000069,2638
'600074,2637
'600348,2634
'600874,2630
'600531,2620
'600340,2617
'000519,2616
'002108,2611
'600410,2610
'002663,2604
'300355,2603
'600999,2599
'000862,2598
'600581,2591
'600331,2591
'600519,2589
'002945,2585
'600343,2579
'002594,2578
'600162,2576
'002008,2574
'600966,2569
'002446,2569
'600143,2567
'002839,2564
'000423,2563
'002573,2559
'002312,2557
'601929,2557
'600688,2556
'000738,2554
'600652,2550
'002030,2550
'000528,2549
'600122,2548
'600654,2544
'002252,2543
'600020,2538
'600718,2538
'600662,2537
'300079,2532
'600186,2522
'600720,2514
'000518,2505
'600085,2505
'600666,2505
'002276,2503
'601828,2497
'000650,2493
'601997,2492
'600284,2487
'600675,2486
'002474,2486
'603019,2485
'600392,2484
'002102,2480
'600512,2473
'002421,2466
'000402,2465
'002092,2464
'000600,2462
'002145,2456
'300088,2453
'002067,2453
'600311,2451
'601990,2451
'600072,2450
'002429,2445
'000960,2443
'600728,2441
'002151,2440
'000861,2438
'600893,2436
'600770,2433
'600127,2433
'300251,2432
'002716,2430
'600190,2421
'002307,2419
'601001,2417
'600624,2416
'600446,2401
'000800,2401
'300136,2399
'000720,2395
'600498,2392
'600171,2387
'002013,2387
'000795,2381
'002436,2379
'002949,2378
'600525,2377
'600425,2374
'000777,2372
'000718,2369
'600300,2367
'600188,2363
'600555,2362
'002001,2362
'300418,2356
'300116,2349
'000958,2347
'601636,2344
'601699,2340
'600176,2329
'000301,2315
'002156,2299
'600084,2299
'600396,2298
'600206,2292
'600970,2291
'600739,2291
'600037,2288
'601601,2287
'002097,2281
'000008,2277
'300750,2274
'600467,2271
'002115,2270
'601666,2263
'002005,2263
'600086,2259
'600106,2250
'600794,2248
'600884,2248
'600759,2246
'600409,2244
'600308,2244
'000876,2243
'600667,2243
'000997,2235
'300072,2234
'002052,2219
'000545,2217
'000690,2216
'000006,2214
'601388,2209
'600588,2207
'002170,2203
'603858,2200
'002337,2198
'002002,2194
'002302,2193
'002486,2191
'000939,2188
'000729,2185
'002596,2184
'300761,2184
'600827,2183
'000753,2183
'600578,2179
'601002,2179
'002104,2177
'000901,2177
'000822,2176
'002285,2175
'600266,2175
'000548,2173
'600321,2172
'600756,2171
'601019,2163
'300292,2154
'002079,2153
'600536,2152
'600322,2150
'600500,2149
'002018,2147
'600231,2146
'600350,2146
'300737,2146
'600418,2146
'600798,2145
'002526,2143
'002447,2138
'600200,2136
'002249,2135
'600978,2135
'300433,2134
'600198,2128
'600926,2127
'000868,2125
'002226,2121
'300058,2119
'002467,2117
'600740,2112
'000762,2111
'300101,2108
'600596,2106
'000558,2086
'600316,2083
'601069,2083
'000555,2076
'002501,2076
'600585,2068
'600436,2068
'002510,2067
'002113,2065
'600227,2065
'002261,2065
'601860,2064
'600862,2063
'002542,2061
'000541,2056
'002239,2054
'600903,2051
'600058,2050
'600643,2049
'600330,2045
'002146,2045
'002056,2042
'002175,2037
'002284,2032
'000059,2030
'300156,2027
'300287,2027
'600630,2024
'600660,2024
'000585,2023
'600035,2022
'600824,2007
'600736,2002
'601336,2000
'300296,1998
'601949,1997
'000070,1995
'002011,1992
'600011,1991
'002106,1989
'600064,1988
'600098,1987
'600303,1985
'002448,1982
'000903,1979
'001979,1975
'600477,1974
'601633,1973
'600783,1971
'002540,1968
'600172,1967
'300297,1966
'600545,1966
'300324,1965
'002292,1964
'600651,1964
'600836,1964
'002326,1963
'600751,1961
'002695,1959
'600685,1958
'600408,1955
'300044,1954
'000400,1953
'000564,1953
'600784,1950
'002689,1947
'000088,1947
'002019,1946
'000851,1945
'601808,1943
'600117,1938
'600507,1930
'600602,1928
'601058,1928
'002390,1927
'600877,1923
'000799,1921
'002583,1916
'600760,1914
'000900,1914
'002139,1912
'600975,1911
'300026,1911
'601163,1909
'600537,1908
'600226,1908
'002245,1905
'601952,1905
'000036,1905
'000829,1898
'000566,1895
'600216,1888
'000018,1886
'600747,1885
'601012,1883
'000016,1881
'600458,1879
'000837,1876
'601107,1872
'600800,1870
'600704,1869
'000420,1869
'000838,1868
'000503,1866
'600713,1865
'600060,1864
'002665,1861
'300008,1859
'600123,1859
'002060,1858
'300352,1855
'002237,1854
'601607,1853
'601598,1853
'600730,1852
'000905,1849
'600271,1849
'000587,1848
'600240,1846
'603128,1845
'002148,1845
'600572,1845
'002273,1843
'300134,1842
'000561,1840
'002495,1839
'601518,1834
'002334,1827
'002218,1825
'000591,1824
'002118,1823
'600079,1821
'002554,1819
'002078,1818
'000687,1818
'600936,1816
'002142,1814
'000568,1813
'600707,1811
'600673,1809
'000536,1808
'600426,1808
'000969,1808
'600963,1807
'300253,1804
'600067,1803
'600765,1802
'600488,1800
'002017,1799
'600880,1799
'600888,1798
'002432,1795
'600491,1794
'000802,1793
'600199,1791
'300014,1789
'600313,1789
'002269,1787
'300137,1785
'000040,1785
'002075,1782
'002807,1779
'002701,1773
'000936,1773
'002523,1772
'600570,1770
'002224,1770
'300431,1767
'300002,1767
'600160,1767
'000998,1762
'601616,1762
'000543,1758
'000055,1757
'002413,1755
'000509,1755
'600354,1753
'002657,1753
'600807,1752
'300066,1752
'002329,1749
'000589,1747
'600787,1745
'600701,1745
'002064,1739
'600527,1737
'600076,1735
'603000,1732
'600397,1729
'300189,1728
'002400,1728
'002074,1727
'601966,1726
'002424,1726
'000786,1721
'002550,1720
'000099,1717
'600073,1716
'002093,1715
'600867,1711
'000693,1711
'000498,1710
'601225,1709
'000422,1707
'300055,1701
'000514,1700
'002516,1699
'600546,1699
'300256,1698
'600056,1696
'601968,1695
'002099,1695
'000407,1693
'000912,1693
'300131,1692
'600997,1691
'600758,1690
'600502,1689
'601619,1687
'601360,1687
'600526,1685
'002121,1684
'000557,1684
'600734,1682
'601218,1681
'300003,1681
'600325,1679
'601068,1675
'002281,1672
'600277,1672
'600571,1668
'600869,1667
'000615,1667
'600406,1667
'600057,1665
'600393,1665
'600439,1664
'300098,1664
'600116,1661
'002178,1660
'002043,1660
'600775,1657
'600594,1657
'603169,1656
'002235,1656
'600676,1655
'002305,1654
'000601,1653
'600292,1652
'002517,1649
'600674,1649
'601606,1648
'600312,1647
'002070,1646
'300303,1643
'000935,1640
'002182,1640
'600582,1637
'600825,1636
'000659,1634
'300152,1631
'601777,1631
'601928,1628
'300353,1627
'002122,1627
'002163,1624
'300333,1623
'000599,1623
'600339,1621
'601188,1619
'002611,1612
'000926,1612
'002384,1612
'002168,1611
'002128,1610
'002141,1609
'600366,1609
'600351,1609
'002668,1605
'600996,1603
'600853,1602
'000539,1602
'600967,1601
'002650,1600
'000089,1597
'000506,1597
'600533,1596
'002277,1595
'600864,1595
'300038,1594
'000510,1594
'002428,1594
'600743,1593
'601908,1591
'000672,1589
'600552,1589
'000791,1588
'000029,1588
'000938,1588
'300383,1581
'300304,1581
'002535,1579
'002325,1578
'600268,1576
'600626,1569
'600249,1568
'002294,1565
'600075,1564
'600782,1563
'600773,1561
'600684,1560
'000554,1557
'000521,1557
'000712,1556
'002157,1553
'002297,1551
'002191,1551
'000957,1550
'002369,1548
'600433,1547
'000573,1546
'600466,1545
'002152,1545
'300043,1544
'002622,1544
'000980,1543
'002451,1543
'600279,1543
'002073,1542
'000698,1541
'000721,1541
'000966,1541
'600838,1541
'000760,1540
'002570,1538
'002162,1538
'600280,1537
'600663,1537
'002476,1537
'603220,1536
'600332,1535
'000622,1534
'000581,1534
'600069,1531
'600478,1530
'600236,1529
'002100,1525
'600261,1525
'002433,1524
'002137,1521
'600621,1520
'002619,1519
'002770,1513
'002406,1512
'002083,1512
'000533,1510
'002607,1510
'600517,1509
'600908,1509
'600237,1508
'002437,1503
'002496,1503
'002181,1503
'002457,1502
'000612,1501
'000826,1500
'601869,1499
'600090,1498
'600831,1496
'600230,1495
'002359,1495
'002068,1494
'600823,1494
'002604,1493
'002253,1493
'000159,1492
'300009,1489
'600855,1489
'300128,1489
'002233,1485
'600589,1485
'002300,1482
'300170,1482
'600159,1480
'600610,1479
'600372,1479
'002222,1478
'000895,1477
'603766,1477
'002361,1477
'600509,1476
'600260,1476
'000529,1474
'000965,1472
'601003,1471
'600376,1471
'300168,1471
'600246,1469
'002378,1467
'600628,1467
'000823,1465
'300376,1464
'002697,1464
'002504,1462
'000517,1460
'000789,1458
'000963,1457
'001965,1456
'002167,1456
'601208,1456
'002123,1455
'002508,1453
'600368,1452
'300310,1452
'300247,1452
'000790,1452
'000158,1450
'002051,1450
'000019,1449
'601101,1448
'600815,1447
'600391,1447
'002166,1444
'601158,1441
'300197,1440
'600691,1439
'002603,1438
'000058,1438
'002339,1438
'600192,1437
'002408,1434
'002318,1434
'000859,1433
'002402,1433
'002110,1432
'600687,1431
'600805,1431
'603259,1431
'000677,1430
'002243,1430
'600986,1428
'600609,1427
'002533,1427
'600207,1426
'002081,1425
'002362,1424
'000949,1423
'000723,1423
'300135,1423
'300090,1422
'002733,1422
'300107,1422
'600741,1419
'603126,1415
'000731,1415
'002564,1414
'600979,1413
'600139,1413
'300465,1413
'002588,1411
'000010,1409
'600499,1409
'300177,1408
'600699,1408
'600383,1406
'600535,1406
'000726,1406
'601366,1404
'300367,1404
'600333,1401
'002210,1401
'600251,1400
'600095,1397
'000701,1397
'600708,1395
'000836,1395
'000595,1394
'600576,1394
'601233,1394
'002306,1393
'600929,1390
'300758,1388
'002303,1386
'300377,1386
'000538,1384
'002190,1383
'002197,1383
'002308,1382
'600917,1380
'300102,1378
'002279,1378
'002387,1377
'002638,1376
'600480,1376
'600438,1375
'000812,1375
'000733,1375
'002353,1372
'000856,1371
'600112,1371
'002041,1368
'002601,1367
'600395,1366
'600061,1366
'002509,1366
'600293,1365
'300359,1363
'300760,1362
'601500,1361
'600149,1361
'000426,1360
'000666,1360
'600939,1359
'600633,1358
'600353,1358
'300110,1358
'002063,1356
'600558,1353
'000584,1350
'000609,1350
'002635,1350
'600810,1350
'002946,1350
'600121,1349
'603300,1348
'000899,1346
'002283,1346
'002314,1346
'002076,1346
'000955,1344
'002636,1343
'002642,1342
'600082,1342
'002271,1341
'000780,1340
'600665,1338
'601222,1338
'600218,1337
'002444,1337
'300083,1336
'000918,1336
'600508,1335
'300048,1334
'002354,1334
'000655,1334
'002383,1332
'300129,1332
'603712,1331
'000801,1330
'300299,1330
'000552,1329
'603618,1329
'300676,1327
'000833,1326
'600995,1326
'002494,1325
'000068,1325
'000971,1324
'300527,1324
'603693,1323
'600722,1322
'000848,1320
'300178,1319
'000820,1319
'002481,1315
'002528,1315
'000756,1315
'600597,1314
'000565,1313
'000928,1313
'000996,1311
'600289,1310
'002555,1310
'600695,1309
'002452,1308
'002246,1308
'002022,1307
'002038,1306
'002658,1306
'002132,1306
'002585,1305
'300020,1305
'600363,1304
'600891,1304
'600501,1301
'000416,1301
'002680,1300
'600559,1299
'603118,1299
'600645,1298
'000685,1298
'000927,1298
'002639,1295
'600678,1295
'600066,1294
'002352,1293
'600290,1293
'300755,1293
'002512,1293
'600168,1292
'300010,1292
'002479,1290
'600866,1290
'600355,1288
'000739,1287
'002386,1287
'000620,1284
'600702,1284
'300075,1284
'300216,1283
'600993,1282
'300364,1281
'000638,1281
'600359,1281
'000722,1280
'002006,1280
'002223,1279
'601717,1278
'000061,1278
'600212,1277
'002630,1277
'600222,1277
'002654,1276
'600580,1275
'600780,1274
'600933,1273
'002681,1273
'300053,1272
'600078,1272
'600059,1272
'300274,1271
'600481,1268
'000782,1268
'601678,1267
'002556,1265
'601015,1264
'300015,1263
'300273,1262
'600650,1262
'002364,1261
'000409,1261
'600052,1261
'600004,1259
'600470,1259
'300307,1259
'002033,1257
'002649,1256
'002169,1256
'300085,1254
'002502,1254
'600288,1253
'603366,1253
'002782,1251
'300006,1250
'300263,1248
'600358,1247
'002229,1246
'002007,1246
'002439,1243
'600634,1243
'300139,1243
'300741,1243
'600185,1241
'002160,1238
'000532,1238
'600641,1237
'600462,1237
'002087,1237
'600876,1236
'002264,1236
'300181,1235
'603299,1235
'600223,1234
'002298,1233
'002069,1233
'600119,1233
'002232,1230
'002255,1230
'002366,1230
'300028,1229
'002158,1226
'600239,1225
'600120,1224
'600275,1223
'600298,1222
'002702,1222
'000850,1221
