stkcode,headcount
'000725,44100
'601989,24918
'601766,22952
'601899,20786
'600030,20033
'600050,19776
'600795,19680
'601390,18205
'600010,17273
'601857,16262
'601988,15426
'000100,15075
'601668,14803
'600028,14603
'601600,13674
'601985,13621
'601398,12768
'600221,12598
'601169,12394
'601099,12074
'601618,11893
'000630,11547
'601318,11210
'600016,11047
'601288,10823
'600157,10704
'601258,10660
'600839,10603
'000651,10557
'601866,10146
'000413,10088
'600031,9931
'000157,9797
'000166,9752
'600019,9751
'601106,9568
'000001,9547
'601727,9502
'000709,9473
'000063,9443
'601066,9309
'600022,9237
'601939,9145
'601328,8954
'002065,8910
'600868,8818
'600111,8775
'601186,8617
'300059,8480
'600837,8365
'601138,8365
'603993,8265
'600307,8251
'000629,8081
'601669,8005
'600068,7906
'601919,7849
'600089,7834
'600352,7650
'002195,7582
'002610,7581
'002230,7555
'600567,7539
'002024,7458
'600518,7457
'000839,7399
'600219,7366
'600401,7229
'300104,7226
'600601,7136
'000858,7127
'600516,7058
'600635,6951
'601319,6904
'601377,6898
'600008,6881
'000002,6740
'601333,6723
'000338,6681
'600487,6659
'601558,6550
'600018,6496
'002340,6489
'002131,6472
'002500,6451
'600489,6441
'000932,6404
'600863,6374
'000540,6359
'002958,6204
'002797,6193
'000425,6119
'000783,6074
'600887,6072
'601166,6015
'600522,6002
'601818,5990
'600808,5975
'600025,5919
'601901,5813
'600705,5805
'600036,5793
'000727,5763
'601991,5620
'601688,5570
'601519,5566
'002673,5556
'002027,5547
'600170,5541
'600503,5538
'000750,5460
'601018,5450
'600653,5444
'600797,5441
'600166,5405
'300315,5394
'601088,5368
'601168,5361
'600000,5360
'000825,5324
'000009,5313
'600256,5312
'000778,5309
'601880,5290
'601918,5279
'600320,5269
'601588,5246
'603077,5219
'600879,5216
'600115,5163
'600637,5144
'002926,5122
'002600,5114
'002456,5113
'600255,5099
'000667,5088
'601992,5082
'601975,5056
'000875,5053
'002415,5051
'600108,5045
'600369,5025
'600100,5000
'600690,4993
'000723,4975
'601998,4969
'601211,4969
'000066,4958
'600703,4956
'000751,4950
'600415,4934
'600029,4877
'300017,4855
'600023,4853
'600497,4848
'002477,4839
