stkcode,headcount
'000725,45634
'002958,26156
'601989,24077
'601766,23117
'601899,20743
'600795,19943
'600030,19701
'600050,19493
'601390,18063
'600010,17603
'601668,16172
'601857,16165
'601988,15936
'000100,15750
'600028,14244
'601600,13846
'601398,13760
'601985,13695
'601099,12754
'601169,12508
'600221,12290
'601618,12158
'601318,11912
'000630,11772
'000651,11644
'601288,11517
'600839,10924
'600016,10820
'601258,10783
'600157,10743
'000001,10597
'000063,10354
'601866,10075
'600019,10074
'000157,9893
'601106,9760
'000413,9748
'000166,9747
'000709,9669
'002065,9608
'601939,9504
'600868,9365
'600031,9357
'600022,9287
'600111,9066
'601727,8994
'601066,8816
'601328,8569
'600307,8487
'603993,8305
'601138,8222
'601669,8099
'600089,8070
'601186,8059
'601919,8055
'300059,8045
'002024,8008
'600837,7992
'000629,7944
'600068,7911
'002195,7840
'002230,7769
'600518,7724
'600219,7465
'600601,7367
'000839,7362
'600567,7335
'600401,7230
'002610,7199
'300104,7141
'601377,7115
'600008,7078
'601319,7027
'600635,6961
'601558,6625
'601166,6622
'600018,6587
'601333,6565
'000002,6555
'002131,6510
'600489,6496
'002340,6481
'000425,6435
'002797,6410
'000540,6370
'600516,6369
'600863,6368
'600487,6342
'600025,6307
'601818,6191
'000727,6179
'600887,6158
'000858,6118
'000783,6079
'600808,5972
'600797,5937
'002027,5888
'600036,5886
'601901,5792
'600170,5786
'000338,5707
'601991,5663
'601880,5633
'601018,5626
'600705,5625
'000750,5609
'600522,5497
'000778,5489
'600000,5480
'600653,5453
'002673,5440
'002600,5419
'600503,5415
'601918,5394
'601519,5375
'601588,5367
'000625,5365
'600320,5328
'600108,5314
'300315,5312
'601088,5294
'002926,5289
'000825,5276
'600166,5240
'000009,5238
'600255,5236
'601992,5227
'600256,5201
'601168,5173
'300017,5169
'600690,5167
'000667,5157
'000977,5142
'601998,5140
'600637,5134
'600115,5129
'600879,5092
'600415,5080
'000751,5078
'601211,5065
'600100,5046
'600029,5025
'600369,5025
'000875,4998
'600497,4978
'002460,4952
'600023,4932
'601688,4915
'002936,4898
'002456,4879
'600919,4871
'002415,4861
'000031,4854
'000735,4838
'002450,4826
'600703,4818
'600317,4817
'600642,4780
'603077,4775
'600460,4758
'000598,4748
'000683,4719
'600352,4706
'000563,4678
'601212,4660
'000768,4654
'600909,4651
'000060,4647
'000333,4603
'002477,4570
'600895,4527
'600820,4518
'601608,4504
'600886,4487
'600958,4485
'601005,4475
'601872,4473
'000066,4471
'000078,4469
'600048,4449
'000776,4445
'601179,4444
'600755,4397
'600485,4355
'002505,4346
'600017,4345
'000682,4331
'601898,4303
'600776,4274
'601111,4267
'600039,4240
'002031,4223
'600816,4207
'002185,4198
'000897,4195
'601108,4175
'600873,4171
'601718,4164
'601229,4153
'000932,4151
'600109,4150
'601000,4149
'300003,4139
'300024,4125
'600547,4123
'002465,4108
'600928,4105
'600435,4093
'601006,4082
'600362,4067
'600104,4066
'000930,4062
'002466,4058
'002405,4049
'600959,4046
'600252,4040
'600187,4026
'000656,4025
'600118,4018
'300185,4006
'000983,4002
'600027,3994
'002500,3987
'601890,3956
'000807,3917
'600604,3910
'600176,3906
'000830,3905
'601010,3891
'600282,3890
'603799,3884
'000767,3876
'600309,3873
'600210,3870
'000917,3868
'600169,3867
'000005,3864
'601375,3837
'601216,3828
'000882,3816
'600624,3812
'600177,3807
'002292,3773
'600901,3772
'601838,3768
'002008,3759
'601800,3753
'600220,3745
'002948,3737
'002498,3721
'600033,3675
'601933,3668
'601009,3663
'002176,3661
'000758,3659
'600151,3648
'000027,3630
'601118,3619
'600577,3619
'601228,3614
'002129,3608
'600276,3603
'600006,3597
'000636,3592
'600737,3589
'000680,3587
'000652,3587
'600196,3583
'600496,3575
'300027,3570
'002241,3541
'002506,3541
'000886,3531
'000021,3523
'601008,3521
'600495,3516
'000878,3507
'002310,3507
'002280,3505
'002266,3502
'600664,3501
'600572,3499
'600606,3494
'000898,3494
'600881,3458
'600726,3431
'600711,3422
'600550,3422
'601611,3415
'600015,3408
'601975,3391
'000670,3389
'000717,3368
'600021,3366
'002385,3363
'601298,3348
'600150,3341
'600871,3340
'000571,3331
'600875,3316
'002407,3315
'000933,3312
'601628,3301
'600584,3300
'000931,3296
'600595,3287
'600528,3278
'601326,3277
'600297,3272
'600583,3270
'600717,3263
'600103,3250
'600425,3248
'600999,3240
'000507,3240
'000959,3238
'000816,3238
'600380,3235
'000572,3234
'600698,3225
'000883,3223
'601016,3218
'002013,3218
'000516,3213
'601878,3211
'600410,3209
'000547,3186
'600153,3179
'600789,3171
'600649,3170
'600428,3168
'000410,3167
'000050,3157
'002736,3155
'000520,3148
'600175,3147
'002421,3144
'601011,3139
'300079,3137
'000415,3135
'002049,3118
'000793,3105
'000686,3100
'600777,3091
'002130,3088
'600569,3065
'300111,3063
'000877,3062
'002004,3060
'600331,3058
'601700,3050
'601881,3049
'601162,3049
'601128,3044
'600611,3044
'000488,3039
'300070,3034
'000592,3029
'600208,3017
'600269,3015
'601958,3014
'002155,3014
