stkcode,headcount
'000725,46239
'601989,23755
'601766,22941
'601899,20986
'600030,20757
'600795,20119
'600050,19454
'600010,18353
'601390,17844
'601668,16105
'601857,15969
'601988,15812
'000100,15352
'601600,14209
'601099,14197
'600028,13974
'601985,13561
'601398,13236
'000630,12894
'600221,12386
'601169,12355
'601618,12321
'600839,11964
'600157,11878
'601318,11859
'600928,11718
'601258,11311
'601288,11271
'000651,11169
'000001,10851
'600016,10762
'000063,10621
'000413,10323
'601866,10228
'000157,10170
'000166,10148
'600868,10099
'601106,10058
'600019,10056
'000709,9818
'600031,9546
'601066,9534
'600022,9481
'601939,9442
'600111,9361
'601138,9062
'601727,9012
'601319,8799
'600307,8775
'603993,8576
'600837,8522
'601328,8508
'000629,8264
'300059,8227
'601669,8167
'002230,8129
'601186,8033
'002024,8025
'601919,8022
'600068,7911
'600518,7771
'600089,7679
'600219,7619
'601377,7601
'002610,7600
'300104,7593
'600601,7561
'000727,7397
'600401,7227
'600567,7219
'000839,7213
'600008,7165
'002797,7125
'600018,6975
'600635,6906
'000002,6863
'000425,6810
'002340,6798
'601558,6754
'600025,6703
'002195,6672
'601166,6662
'000540,6614
'600489,6603
'000858,6590
'600516,6587
'601333,6524
'002600,6475
'000783,6461
'600887,6459
'600863,6418
'600487,6211
'002131,6171
'601901,6137
'600036,6025
'601818,5975
'600170,5957
'600808,5936
'000750,5915
'002926,5902
'600503,5817
'002673,5751
'601519,5736
'601991,5699
'000338,5681
'600522,5673
'002936,5666
'601918,5651
'600255,5645
'600705,5600
'000778,5584
'600653,5526
'300315,5478
'000009,5456
'600369,5439
'601880,5436
'600115,5434
'600320,5397
'601018,5392
'000825,5383
'600000,5366
'601992,5338
'000977,5308
'000667,5279
'600166,5273
'000751,5266
'600256,5252
'601168,5252
'601588,5230
'600100,5228
'600029,5214
'601211,5202
'000563,5185
'601212,5180
'600690,5165
'601688,5157
'002450,5150
'601088,5148
'600909,5142
'600415,5090
'600497,5075
'601998,5047
'600816,5043
'000875,5036
'600879,5034
'603077,5018
'002027,5017
'000735,5008
