stkcode,headcount
'000725,43623
'601989,24612
'601766,23005
'601899,20872
'600030,20392
'600795,19615
'600050,19544
'601390,18213
'600010,17273
'601857,16347
'601988,15446
'000100,15076
'601668,14883
'600028,14608
'601600,13612
'601985,13551
'601398,13109
'600221,12565
'601169,12436
'601618,11954
'601099,11873
'601318,11463
'000630,11431
'600016,11102
'601288,11062
'000651,10725
'601258,10585
'600839,10479
'000413,10450
'600031,10287
'600157,10225
'601866,10108
'600019,9790
'000157,9725
'000166,9689
'600868,9603
'601106,9566
'000001,9560
'601727,9457
'000709,9454
'000063,9419
'601939,9302
'600022,9220
'601328,8940
'601186,8840
'600111,8834
'002065,8762
'600837,8689
'300059,8511
'601066,8287
'600307,8232
'603993,8211
'601669,8059
'000629,7939
'600068,7934
'601919,7818
'600089,7785
'601138,7679
'002195,7637
'300104,7595
'600567,7531
'002230,7478
'002024,7440
'002610,7396
'600219,7350
'600518,7268
'600401,7231
'000002,7228
'000858,7140
'000839,7123
'600601,7105
'601377,6954
'600635,6920
'601319,6884
'600008,6853
'601333,6714
'000338,6688
'600516,6556
'600352,6554
'600018,6536
'601558,6520
'002797,6457
'600489,6418
'002500,6414
'600487,6347
'002131,6343
'002340,6341
'000932,6328
'000540,6257
'600863,6149
'000425,6144
'601166,6136
'600808,6056
'000783,6039
'601818,6022
'600887,5984
'600036,5923
'600025,5875
'002958,5819
'601901,5781
'600522,5769
'600705,5734
'002027,5693
'000727,5670
'601991,5610
'600503,5600
'601688,5594
'600170,5584
'002600,5580
'600797,5568
'600166,5541
'002673,5520
'601519,5450
'000750,5414
'600653,5400
'600115,5382
'600000,5349
'601018,5349
'000825,5336
'601588,5334
'601088,5323
'300315,5320
'000778,5280
'601880,5267
'600256,5232
'002415,5225
'600100,5222
'000009,5221
'600320,5221
'601918,5179
'600703,5173
'601168,5168
'600879,5151
'600637,5118
'603077,5111
'600255,5110
'002456,5083
'601992,5074
'002926,5074
'601998,5047
'600108,5046
'000667,5041
'600029,5012
'000875,5004
'600369,5000
'601211,4979
'601975,4966
'600048,4963
'600690,4952
'000751,4932
'600415,4923
'000735,4906
'000977,4884
'600497,4854
'600023,4837
'000066,4809
'000333,4807
'300017,4797
'002460,4764
'600175,4761
'000060,4742
'002202,4719
'000031,4716
'000625,4699
'002505,4687
'000776,4678
'000078,4665
'600642,4664
'600460,4622
'000598,4619
'002477,4618
'600919,4617
'000768,4597
'002450,4595
'600909,4593
'600958,4540
'600317,4538
'000683,4520
'000723,4509
'601005,4488
'600895,4461
'000563,4432
'600820,4426
'600886,4426
'600547,4422
'601111,4421
'002936,4399
'601212,4390
'601872,4370
'600755,4368
'600485,4354
'600039,4324
'601179,4297
'601898,4281
'002547,4276
'600109,4245
'600875,4234
'600276,4216
'601608,4201
'000682,4198
'600017,4183
'601006,4149
'002405,4133
'002465,4133
'002031,4093
'601890,4079
'600150,4061
'000830,4043
'600873,4042
'601108,4034
'300024,4033
'601718,4032
'600776,4030
'600435,4030
'600118,4010
'600309,3992
'002466,3983
'600006,3976
'600187,3975
'000897,3967
'600362,3959
'600252,3958
'600959,3945
'600871,3940
'002294,3935
'601229,3934
'000930,3928
'600816,3927
'600737,3917
'601800,3912
'002185,3908
'300772,3898
'600604,3886
'000005,3873
'000807,3865
'000917,3865
'600282,3855
'600169,3851
'600027,3849
'300185,3828
'000882,3825
'000983,3819
'002498,3817
'601000,3816
'002292,3816
'601010,3805
'603799,3795
'600210,3771
'000680,3771
'601216,3768
'000767,3753
'601375,3744
'000656,3686
'002310,3660
'600624,3624
'000758,3623
'600033,3621
'002446,3602
'600104,3594
'600901,3581
'601555,3580
'000027,3572
'600177,3571
'600577,3568
'000717,3561
'600572,3558
'000686,3556
'002385,3550
'601009,3541
'600151,3535
'000886,3532
'002176,3530
'000898,3522
'000636,3520
'600297,3520
'002008,3509
'601838,3506
'600220,3503
'300027,3496
'000878,3480
'601011,3479
'600928,3469
'000021,3468
'600495,3452
'600196,3451
'002948,3449
'600528,3440
'601118,3433
'002280,3414
'600496,3392
'002089,3392
'600881,3390
'000516,3389
'000050,3380
'601607,3378
'600726,3373
'600711,3370
'600015,3363
'601008,3363
'000652,3359
'000488,3338
'600789,3338
'002130,3336
'601881,3334
'600606,3315
'601611,3299
'600021,3297
'002266,3278
'002241,3274
'601228,3267
'000931,3252
'002013,3251
'000571,3250
'600550,3244
'601878,3243
'600103,3232
'601933,3230
'000816,3216
'601016,3203
'002407,3199
'600664,3198
'000933,3180
'600595,3179
'002177,3177
'002506,3176
'000959,3170
'600583,3160
'600804,3159
'600717,3154
'000547,3150
'002736,3140
'000883,3134
'600428,3132
'601700,3128
'600153,3127
'002129,3124
'600380,3121
'000592,3115
'000520,3115
'600410,3113
'000415,3108
'600777,3107
'601628,3105
'600649,3103
'000572,3093
'600425,3088
'000410,3070
'600584,3059
'600072,3033
'002183,3029
'300079,3021
'000650,3021
'600999,3015
'601162,3013
'002236,3002
'600569,3000
'601128,2995
'600611,2993
'002004,2988
'603019,2987
'002471,2977
'000616,2972
'300070,2971
'600269,2970
'601198,2966
'601958,2964
'300111,2955
'002463,2949
'002155,2948
'000507,2948
'600586,2946
'601788,2942
'600208,2932
'600549,2924
'002421,2922
'000831,2921
'000793,2916
'600446,2914
'601298,2913
'600977,2907
'002491,2902
'002739,2899
'601326,2899
'600698,2893
'002565,2890
'600176,2887
'600498,2881
'002217,2880
'600759,2877
'001696,2874
'600158,2873
'600326,2871
'000729,2858
'600331,2856
'600399,2855
'002497,2853
'600110,2847
'600728,2846
'002663,2845
'600125,2834
'601200,2824
'603000,2799
'000970,2794
'000988,2794
'000012,2789
'000877,2780
'600900,2779
'000792,2777
'601117,2771
'002049,2771
'002252,2767
'000528,2764
'000159,2759
'000559,2753
'600581,2743
'000623,2742
'601929,2739
'000401,2735
'000973,2733
'600271,2732
'600666,2731
'002002,2731
'002489,2730
'600846,2728
'600652,2727
'000670,2726
'000937,2719
'600063,2717
'002526,2716
'600026,2714
'000728,2710
'600794,2709
'600677,2702
'600811,2700
'600775,2696
'600812,2691
'600655,2687
'600284,2686
'600020,2665
'000519,2663
'600360,2663
'002118,2663
'000627,2662
'600988,2661
'002307,2654
'600565,2654
'002161,2649
'002342,2647
'600388,2647
'002431,2638
'300058,2633
'002030,2628
'600744,2624
'600588,2617
'600133,2613
'000423,2611
'600405,2605
'000069,2604
'000536,2603
'000958,2598
'600490,2594
'600074,2592
'600667,2578
'600143,2573
'002256,2571
'000518,2566
'002573,2566
'600893,2565
'002023,2563
'600186,2549
'000960,2540
'002017,2540
'300623,2538
'600867,2536
'600130,2535
'600531,2534
'601615,2533
'002392,2531
'002263,2530
'601997,2528
'600756,2523
'600660,2513
'601598,2509
'600688,2506
'600343,2506
'002276,2504
'002154,2501
'002474,2498
'600291,2496
'002467,2495
'002092,2492
'300750,2490
'600392,2481
'600308,2478
'002429,2477
'600348,2476
'000039,2474
'000806,2472
'002436,2471
'002312,2469
'300072,2468
'600598,2468
'002302,2456
'000008,2455
'002145,2454
'000795,2448
'000738,2447
'600519,2443
'300355,2439
'002668,2439
'600512,2436
'600675,2434
'002210,2433
'600662,2430
'600970,2430
'300292,2425
'600340,2423
'300136,2420
'601860,2420
'300287,2414
'600190,2412
'600874,2408
'600011,2407
'002839,2404
'002426,2404
'600654,2403
'600086,2399
'000070,2396
'000402,2391
'600555,2390
'002447,2379
'600966,2378
'600507,2378
'601001,2375
'600570,2371
'600963,2370
'300088,2370
'300077,2365
'600585,2351
'600409,2350
'002108,2347
'600718,2343
'000836,2342
'000861,2340
'600085,2340
'600739,2338
'600171,2334
'600037,2333
'600884,2331
'600770,2319
'002261,2317
'000753,2317
'000800,2315
'600162,2314
'002288,2313
'600106,2310
'601601,2309
'002151,2307
'600614,2306
'002175,2304
'300418,2303
'601949,2299
'600758,2297
'600396,2294
'002716,2293
'600651,2293
'000859,2292
'600300,2291
'600862,2290
'000876,2289
'000939,2287
'600122,2286
'600127,2277
'600060,2277
'000301,2275
'300116,2274
'300251,2273
'002102,2267
'002359,2265
'002249,2264
'000718,2262
'000720,2262
'600105,2259
'002067,2257
'600736,2257
'600200,2255
'000690,2252
'000777,2252
'601636,2246
'601012,2245
'002496,2242
'600467,2242
'600206,2236
'601666,2230
'600311,2228
'603858,2227
'601828,2226
'600084,2221
'600198,2221
'000822,2219
'601577,2216
'601388,2216
'002341,2207
'002097,2203
'600172,2201
'600926,2196
'002630,2195
'002501,2194
'002636,2191
'600720,2191
'600322,2191
'000997,2188
'002939,2187
'002542,2182
'600685,2179
'000862,2177
'000600,2172
'300324,2171
'002517,2170
'300008,2163
'600227,2162
'002115,2157
'002156,2156
'600831,2144
'600978,2144
'002337,2143
'002018,2143
'600525,2138
'601990,2136
'600418,2136
'600478,2130
'000059,2126
'600266,2122
'601699,2114
'002596,2112
'000564,2112
'300768,2111
'000566,2110
'601002,2109
'300352,2104
'300433,2104
'601019,2103
'300773,2100
'002104,2096
'000006,2095
'600578,2094
'002005,2092
'601777,2092
'600199,2090
'600596,2088
'002226,2087
'002239,2087
'002594,2084
'600321,2083
'000400,2083
'600827,2081
