stkcode,headcount
'000725,45159
'601989,23744
'601766,22842
'601899,20755
'600795,19978
'600050,19626
'600030,19134
'601390,17727
'600010,16625
'601857,15841
'601988,15805
'601668,15651
'601600,14151
'600028,13964
'000100,13570
'601985,13483
'601099,13221
'601398,12907
'601169,12385
'600221,12178
'601318,12008
'601618,11882
'600928,11879
'000630,11347
'000651,11335
'601258,11061
'601288,10959
'000001,10786
'600016,10777
'000063,10550
'601866,10269
'000157,10254
'600019,10070
'600839,9936
'601106,9868
'000413,9853
'000709,9841
'000166,9378
'600868,9349
'600031,9348
'601939,9328
'600157,9277
'600111,9211
'600022,9191
'601727,9029
'601138,8831
'600307,8681
'601328,8512
'603993,8314
'601669,8104
'000629,8069
'601919,8051
'002024,7934
'601186,7904
'600518,7903
'600068,7889
'300059,7696
'600837,7656
'600089,7640
'300104,7487
'601377,7338
'002230,7323
'600601,7255
'600401,7227
'600219,7212
'600008,7191
'601319,7156
'600018,7027
'000839,6872
'600567,6853
'000425,6838
'600635,6790
'002610,6787
'600025,6762
'000540,6757
'000002,6754
'601558,6690
'002340,6660
'002797,6642
'601166,6628
'000858,6603
'600516,6547
'600489,6511
'601333,6503
'600863,6456
'000783,6276
'002926,6131
'002195,6130
'601066,6086
'600887,6060
'002936,6037
'600487,6031
'601901,5952
'600808,5924
'601818,5910
'600036,5880
'600170,5816
'000750,5765
'601991,5711
'600705,5667
'601918,5666
'000778,5614
'000338,5596
'601992,5558
'600653,5557
'002673,5543
'600522,5443
'600320,5398
'600115,5391
'300315,5386
'601018,5374
'601880,5368
'600000,5367
'000825,5349
'600503,5285
'000667,5277
'600256,5246
'000751,5245
'601168,5231
'000727,5223
'000009,5221
'600166,5217
'601088,5173
'601588,5172
'600100,5160
'600415,5135
'600919,5126
'002131,5114
'600369,5072
'002450,5037
'600029,4976
'600497,4972
'000735,4967
'000031,4962
'600879,4953
'000875,4930
'601211,4915
'600255,4904
'600023,4886
'601998,4868
'603077,4844
'600642,4812
'600637,4811
'000625,4809
'600108,4809
'002948,4774
'600690,4757
'000060,4703
'000598,4699
'600909,4681
'601519,4662
'000768,4632
'002460,4629
'000333,4629
'600317,4622
'601872,4583
'600820,4577
'002415,4576
'002477,4571
'601005,4532
'600816,4530
'600886,4525
'000078,4469
'000563,4467
'002027,4439
'600048,4434
'600755,4429
'000776,4408
'600703,4396
'601898,4394
'600485,4352
'002456,4350
'000683,4332
'300024,4324
'002600,4307
'601688,4291
'600901,4275
'600039,4270
'600895,4255
'600873,4240
'601212,4203
'601179,4199
'600958,4194
'000656,4184
'002505,4183
'601229,4174
'600017,4170
'002466,4162
'601111,4154
'000897,4141
'600547,4139
'600118,4133
'000066,4114
'000977,4112
'000983,4110
'600435,4100
'002465,4093
'000930,4086
'002031,4076
'002008,4073
'600252,4068
'600362,4048
'000682,4047
'601838,4036
'600460,4029
'600109,4023
'002500,4014
'600169,4013
'600187,4010
'601009,4004
'002405,3985
'600959,3982
'601718,3972
'300185,3951
'000882,3946
'601865,3942
'600282,3930
'600309,3912
'601375,3911
'600210,3911
'603799,3892
'000767,3884
'601108,3882
'000807,3882
'000005,3857
'600776,3830
'601216,3823
'601010,3798
'601006,3794
'600151,3793
'601000,3789
'600352,3778
'000917,3761
'601890,3760
'300027,3749
'000758,3731
'600737,3727
'002185,3717
'601800,3717
'600033,3714
'601118,3714
'601298,3694
'601933,3670
'601608,3669
'600577,3666
'601975,3666
'000878,3662
'300017,3661
'000680,3658
'000027,3655
'002129,3629
'600006,3608
'600177,3589
'600495,3577
'600027,3573
'002498,3571
'600276,3569
'000886,3562
'601228,3560
'000050,3555
'600496,3550
'600606,3548
'600604,3531
'002176,3527
'002506,3521
'600196,3510
'600150,3509
'600711,3499
'600871,3484
'000717,3483
'000830,3472
'600550,3460
'000932,3456
'600726,3449
'002310,3447
'600220,3437
'002266,3425
'600528,3418
'600015,3406
'600881,3402
'002280,3394
'000898,3378
'600797,3377
'002407,3367
