stkcode,headcount
'000725,45668
'002958,26168
'601989,24001
'601766,23103
'601899,20780
'600795,19958
'600030,19680
'600050,19406
'601390,18041
'600010,17647
'601668,16157
'601857,16153
'000100,16018
'601988,15922
'600028,14220
'601600,13850
'601398,13748
'601985,13727
'601099,12797
'601169,12504
'600221,12297
'601618,12150
'601318,12026
'000630,11809
'000651,11725
'601288,11500
'600839,10980
'600016,10814
'601258,10792
'600157,10676
'000001,10636
'000063,10115
'601866,10077
'600019,10065
'000157,9911
'601106,9768
'000413,9763
'000166,9746
'000709,9696
'002065,9666
'601939,9494
'600031,9381
'600868,9377
'600022,9304
'600111,9069
'601727,9010
'601066,8880
'601328,8556
'600307,8491
'603993,8305
'601138,8203
'601669,8099
'600089,8076
'601186,8038
'002024,8010
'000629,7993
'600837,7989
'300059,7987
'601919,7983
'600068,7899
'002195,7871
'600518,7842
'002230,7715
'600219,7475
'600601,7371
'000839,7367
'600567,7338
'600401,7230
'002610,7199
'300104,7185
'601377,7124
'600008,7086
'601319,7062
'600635,6911
'601558,6645
'601166,6632
'000002,6599
'600018,6593
'600489,6528
'002340,6522
'002131,6491
'000425,6488
'601333,6463
'002797,6426
'600516,6404
'000540,6376
'600863,6372
'600025,6358
'600887,6317
'600487,6226
'000727,6215
'000858,6209
'601818,6201
'000783,6070
'600036,5990
'600808,5945
'002027,5883
'600797,5877
'601901,5802
'000338,5794
'600170,5793
'601991,5665
'600705,5646
'000750,5632
'002600,5602
'601018,5602
'601519,5537
'600522,5499
'000778,5495
'600000,5475
'600653,5469
'601880,5450
'002673,5438
'600503,5430
'601918,5399
'000625,5399
'600320,5363
'300017,5350
'300315,5311
'000825,5286
'000977,5280
'601588,5278
'601088,5267
'600108,5265
'600255,5260
'600256,5239
'000009,5233
'002926,5232
'600166,5229
'601992,5223
'600690,5200
'600115,5176
'601168,5167
'000667,5152
'601998,5133
'600637,5124
'600879,5105
'600100,5090
'000751,5089
'600415,5087
'601211,5068
'002460,5055
'600029,5045
'600369,5030
'000875,5003
'600497,4981
'600023,4927
'002456,4926
'002936,4915
'600919,4894
'601688,4867
'002415,4859
'000735,4859
'000031,4850
'002450,4824
'600317,4823
'600642,4789
'600703,4788
'603077,4778
'000683,4753
'000598,4738
'000563,4712
'601212,4676
'002477,4662
'600909,4650
'000768,4649
'000060,4648
'000333,4620
'600895,4588
'600820,4526
'601608,4512
'600886,4483
'600958,4480
'601005,4476
'601872,4475
'000078,4473
'000066,4460
'601179,4452
'600048,4446
'000776,4442
'600755,4417
'000682,4383
'002505,4362
'600485,4354
'600017,4351
'601898,4310
'601111,4305
'600816,4271
'600039,4257
'000897,4256
'002031,4228
'601718,4185
'600460,4184
'600928,4172
'600109,4169
'002185,4164
'600547,4159
'300024,4158
'601229,4143
'601108,4136
'002466,4126
'600873,4125
'600776,4124
'601000,4119
'000932,4108
'300003,4096
'600435,4093
'600104,4081
'000656,4081
'600362,4077
'601006,4070
'600352,4069
'000930,4067
'002465,4061
'600959,4058
'600252,4047
'002405,4038
'600309,4027
'600187,4026
'600118,4020
'300185,4012
'600604,4011
'000983,4009
'603799,3984
'600027,3979
'601890,3940
'000807,3928
'600176,3919
'600624,3905
'601010,3902
'000917,3892
'600282,3882
'000767,3880
'002500,3877
'600169,3875
'000005,3873
'600210,3870
'601375,3842
'600177,3830
'600220,3828
'000882,3827
'601216,3826
'002292,3796
'600901,3777
'601838,3773
'002948,3762
'601800,3752
'002498,3750
'002008,3738
'002176,3702
'600276,3696
'600033,3671
'601933,3670
'000652,3670
'000758,3663
'601009,3661
'002129,3627
'000027,3624
'600577,3620
'601118,3618
'600151,3609
'600196,3604
'600006,3601
'000680,3589
'000636,3583
'600737,3581
'002266,3580
'000830,3566
'300027,3566
'002506,3565
'601228,3556
'600496,3545
'002241,3541
'000886,3539
'000021,3528
'000878,3519
'002280,3519
'600495,3516
'002310,3511
'601975,3486
'600606,3483
'000898,3481
'600572,3475
'600726,3459
'600881,3451
'601611,3444
'600711,3425
'600015,3413
'600150,3406
'600550,3402
'002385,3393
'000670,3386
'600021,3376
'000717,3361
'600698,3349
'600871,3349
'601326,3337
'000571,3333
'000933,3327
'600875,3325
'601008,3319
'600584,3317
'600595,3312
'600583,3308
'600297,3302
'000931,3295
'601298,3293
'600425,3290
'601628,3286
'600528,3282
'002407,3278
'000572,3269
'600410,3269
'600380,3255
'600103,3249
'000816,3249
'000959,3245
'600717,3243
'601016,3242
'600999,3237
'000883,3227
'000516,3222
'601878,3216
'000507,3207
'002013,3206
'600789,3194
'600649,3193
'000410,3188
'000050,3179
