stkcode,headcount
'000725,44363
'601989,25354
'601766,22948
'601899,20780
'600030,19982
'600795,19703
'600050,19694
'601390,18202
'600010,17226
'601857,16234
'601988,15476
'000100,15056
'601668,14825
'600028,14578
'601600,13707
'601985,13642
'601398,12801
'600221,12593
'601169,12393
'601099,12115
'601618,11944
'000630,11569
'601318,11119
'600016,11032
'601288,10842
'000651,10651
'601258,10632
'600839,10629
'600157,10352
'601866,10152
'600031,9993
'000413,9807
'000157,9802
'600019,9775
'000166,9751
'601106,9586
'601727,9562
'000063,9492
'000001,9480
'000709,9472
'601066,9311
'600022,9220
'601939,9099
'601328,8975
'600868,8962
'002065,8896
'600111,8802
'601138,8633
'601186,8550
'300059,8416
'600837,8342
'603993,8291
'600307,8236
'000629,8027
'601669,8011
'600068,7903
'601919,7870
'600089,7860
'600352,7765
'002195,7583
'000839,7547
'600567,7543
'600518,7529
'002230,7519
'002610,7518
'002024,7472
'600219,7348
'300104,7276
'600401,7229
'600601,7134
'000858,7106
'600635,6986
'600008,6894
'601377,6872
'601319,6824
'601333,6725
'600487,6702
'000338,6678
'000002,6672
'601558,6580
'600018,6559
'600516,6501
'002131,6499
'002500,6453
'002340,6451
'600489,6446
'600863,6444
'002958,6372
'000932,6342
'000540,6314
'002797,6199
'000425,6129
'600887,6092
'000783,6060
'600522,6038
'601818,6003
'601166,5971
'600808,5967
'600025,5925
'000727,5859
'601901,5821
'600705,5805
'600036,5790
'601991,5619
'601519,5550
'600170,5548
'002673,5541
'601688,5507
'601018,5503
'002027,5489
'600166,5484
'000750,5469
'600797,5455
'600653,5452
'300315,5421
'600503,5396
'600000,5368
'601088,5330
'000778,5310
'000825,5307
'601880,5306
'002600,5291
'601918,5276
'600320,5272
'601588,5251
'600256,5240
'600115,5231
'600879,5214
'603077,5212
'000009,5185
'002456,5175
'600637,5151
'601975,5141
'002926,5124
'000667,5106
'600255,5104
'000875,5093
'601168,5089
'601992,5088
'600108,5046
'002415,5036
'000066,5022
'600369,5019
'600100,5005
'600690,4997
'300017,4985
'600703,4979
'601998,4964
'601211,4959
'000751,4953
'600415,4942
'600029,4917
'002460,4878
'600497,4869
'600023,4853
'000060,4820
'002477,4805
'000031,4795
'600460,4789
'000078,4778
'600875,4777
'000625,4753
'002202,4746
'000723,4739
'002450,4717
'600642,4690
'000735,4687
'000768,4672
'600919,4656
'600909,4656
'601212,4649
'000977,4635
'000598,4628
'000683,4607
'600048,4575
'000776,4553
'000333,4551
'600317,4544
'000563,4522
'601005,4518
'002936,4511
'600958,4442
'600820,4429
'600547,4426
'600886,4425
'600895,4415
'601872,4368
'600485,4354
'600006,4337
'002505,4335
'000682,4331
'600755,4329
'600039,4323
'601898,4315
'600109,4315
'601179,4312
'601890,4274
'601608,4271
'600776,4263
'002446,4232
'600017,4222
'600435,4157
'002031,4139
'000830,4139
'600276,4137
'601006,4131
'601111,4114
'002465,4110
'002294,4105
'002405,4090
'600118,4069
'300024,4060
'600737,4040
'601108,4036
'002292,4036
'600873,4034
'601718,4006
'000897,4006
'002466,4001
'002185,4000
'000930,3997
'600362,3992
'600150,3974
'600252,3972
'600187,3970
'000983,3964
'600959,3963
'600871,3947
'600309,3914
'000807,3895
'601229,3891
'601800,3879
'000882,3877
'600282,3877
'600816,3875
'300185,3866
'600027,3862
'600169,3853
'600624,3850
'000005,3848
'000917,3848
'600604,3845
'601000,3844
'601010,3819
'601216,3812
'600210,3791
'000767,3787
'000656,3780
'002176,3761
'601375,3736
'002310,3734
'600577,3729
'002498,3680
'600033,3662
'600572,3654
'600901,3646
'000636,3634
'000717,3620
'000027,3608
'600177,3605
'000758,3601
'600151,3583
'000878,3583
'600928,3581
'601838,3567
'600789,3565
'600220,3556
'002948,3555
'000021,3545
'000886,3538
'000680,3538
'300027,3535
'600297,3533
'000898,3524
'600104,3505
'600495,3489
'601008,3486
'603799,3459
'002130,3456
'601118,3453
'601009,3450
'002177,3447
'002008,3446
'002280,3442
'600196,3435
'600881,3434
'600528,3431
'601607,3417
'000488,3413
'600072,3406
'000652,3403
'002385,3400
'600711,3399
'600726,3396
'600496,3396
'600015,3394
'002266,3377
'601611,3356
'000592,3340
'600021,3333
'002241,3328
'600425,3327
'601881,3326
'000686,3324
'000516,3312
'600664,3311
'601878,3310
'600804,3309
'000571,3307
'000931,3306
'600606,3291
'002565,3287
'601228,3282
'002547,3281
'600550,3280
'000572,3268
'002129,3259
'600103,3255
'002013,3253
'002089,3244
'002506,3240
'000933,3238
'002407,3230
'000816,3224
'600175,3222
'601298,3214
'601016,3212
'601555,3209
'600595,3204
'601011,3204
'000050,3201
'001696,3197
'600584,3183
'000959,3177
'600717,3176
'601933,3168
'000520,3163
'000883,3159
'600428,3152
'600380,3149
'002210,3149
'600583,3148
'600410,3142
'000410,3136
'000547,3124
'300079,3121
'600794,3111
'002736,3102
'002183,3102
'600649,3094
'000415,3092
'601628,3086
'600153,3077
'600777,3065
'601198,3056
'600569,3054
'000507,3051
'002463,3040
'601700,3033
'000729,3029
'600611,3026
'600999,3023
'601162,3021
'600759,3018
'000616,3014
'600666,3013
'002004,3010
'002491,3005
'002236,3001
'002155,2997
'603000,2997
'300070,2995
'000958,2993
'600269,2985
'600549,2985
'600498,2985
'300111,2974
'000793,2969
'002217,2968
'600586,2960
'601326,2960
'600698,2959
'000831,2949
'000877,2948
'601958,2946
'601788,2939
'002421,2930
'600326,2927
'600208,2920
'601128,2920
'600446,2914
'600331,2914
'002663,2910
'600399,2892
'002307,2878
'600728,2877
'300623,2873
'600125,2872
'002497,2865
'002252,2860
'000970,2860
'002739,2854
'002118,2847
'600158,2840
'000988,2830
'601200,2830
'600977,2826
'600900,2826
'600176,2816
'000623,2810
'000528,2808
'000670,2792
'000012,2791
