stkcode,headcount
'000725,45548
'601989,23904
'601766,23012
'601899,20840
'600795,20014
'600050,19824
'600030,19503
'601390,17821
'600010,16574
'601668,16034
'601857,15956
'601988,15792
'601600,14143
'601099,14011
'000100,13900
'600028,13891
'601985,13513
'601398,12980
'601169,12323
'600221,12226
'601618,12105
'600928,11859
'601318,11711
'000630,11397
'000651,11097
'601258,11089
'601288,10953
'600016,10749
'000001,10748
'000063,10712
'000157,10234
'000413,10233
'601866,10230
'600839,10165
'601106,10094
'600019,10029
'000709,9817
'000166,9543
'600868,9420
'600031,9388
'600157,9305
'601939,9298
'600111,9281
'600022,9214
'601727,9011
'601138,8821
'600307,8655
'603993,8451
'601328,8417
'601669,8257
'000629,8080
'601919,8072
'601186,8013
'300104,7990
'002024,7968
'600068,7940
'600518,7780
'002230,7740
'600837,7734
'600089,7674
'601319,7660
'300059,7591
'601377,7393
'600601,7339
'600401,7227
'600567,7202
'600219,7182
'600008,7174
'601066,7161
'600018,7041
'000839,6979
'002340,6850
'000425,6820
'002610,6815
'600635,6753
'600025,6728
'000540,6702
'601558,6675
'002797,6652
'601166,6632
'600489,6612
'600516,6571
'000002,6566
'601333,6514
'000858,6463
'002195,6441
'600863,6425
'000783,6392
'600487,6111
'600887,6018
'002926,5956
'601901,5950
'600808,5904
'600036,5877
'601818,5850
'600170,5826
'002936,5770
'601991,5717
'600522,5705
'600705,5678
'000750,5654
'601918,5654
'000778,5609
'000338,5577
'002673,5543
'600653,5505
'300315,5450
'601992,5446
'600320,5413
'600115,5401
'601018,5376
'600000,5372
'601880,5360
'000825,5356
'600503,5348
'000727,5291
'000667,5273
'600256,5252
'000751,5252
'000009,5245
'601168,5222
'600100,5204
'601588,5201
'002131,5165
'600166,5163
'601088,5155
'600415,5140
'000563,5083
'600919,5063
'600029,5044
'600879,5031
'600497,5030
'600369,5020
'000031,5014
'600255,4997
'002450,4995
'601211,4974
'000875,4964
'000735,4948
'601998,4933
'600637,4896
'600023,4880
'600816,4846
'603077,4841
'000625,4836
'600108,4825
'600642,4815
'000060,4797
'002415,4754
'002460,4719
'600690,4708
'000598,4706
'600703,4701
'002477,4698
'000977,4677
'002027,4669
'002456,4658
'600909,4642
'600820,4638
'000333,4626
'000768,4612
'600317,4595
'601872,4574
'600886,4573
'600958,4553
'601005,4525
'000078,4524
'002948,4515
'000776,4510
'601688,4504
'601519,4484
'600755,4413
'600048,4405
'300024,4398
'002600,4393
'601608,4389
'601898,4377
'000683,4363
'601111,4354
'600895,4353
'600485,4352
'600547,4306
'600039,4281
'600873,4275
'000917,4271
'601216,4259
'600901,4251
'002505,4246
'601179,4241
'002466,4203
'600118,4193
'000656,4192
'600362,4187
'600017,4187
'002405,4184
'600435,4182
'000066,4169
'600460,4169
'002031,4168
'002465,4166
'000897,4166
'601212,4153
'000930,4147
'601229,4134
'000682,4122
'000983,4106
'600109,4088
'600187,4084
'600252,4071
'600959,4057
'600169,4048
'600210,4043
'603799,4043
'000882,4024
'300185,4019
'600309,4011
'601718,4002
'601890,3997
'002500,3985
'601838,3979
'600776,3966
'000807,3953
'002185,3933
'601375,3931
'600282,3919
'000005,3910
'601009,3896
'601865,3890
'002273,3876
'000767,3868
'601006,3848
'601108,3839
'601010,3814
'600737,3797
'601000,3789
'300027,3783
'600151,3752
'600352,3751
'601800,3751
'601118,3747
'000758,3735
'002129,3728
'601933,3727
'002008,3725
'600033,3715
'000636,3689
'000878,3687
'000027,3683
'000830,3675
'601975,3657
'000050,3656
'000680,3647
'600577,3647
'600027,3631
'600495,3629
'601298,3623
'600006,3616
'600276,3604
