stkcode,headcount
'000725,46013
'601989,23640
'601766,22913
'601899,20827
'600795,20082
'600030,19895
'600050,19479
'600010,18011
'601390,17814
'601668,16015
'601857,15959
'601988,15834
'000100,15187
'601600,14101
'600028,13932
'601099,13551
'601985,13526
'601398,13217
'000630,12599
'601169,12363
'600221,12296
'600928,12258
'601618,12226
'601318,11898
'600839,11680
'600157,11499
'601288,11239
'000651,11156
'601258,11099
'000001,10799
'600016,10724
'000063,10386
'000413,10248
'601866,10216
'000157,10132
'600019,10061
'601106,9964
'000166,9913
'600868,9790
'000709,9774
'601066,9707
'600031,9518
'601939,9458
'600022,9394
'600111,9196
'601727,9109
'601138,8764
'600307,8682
'601328,8520
'603993,8383
'600837,8331
'601319,8263
'000629,8133
'601669,8127
'601919,8015
'002024,7998
'601186,7970
'600068,7886
'002230,7845
'600089,7798
'300059,7789
'600219,7554
'600518,7535
'600601,7526
'300104,7390
'002610,7372
'601377,7369
'600401,7227
'600008,7171
'600567,7121
'000839,7063
'000002,7051
'600018,6976
'000727,6886
'600635,6856
'002797,6809
'000425,6733
'601558,6692
'002340,6686
'002195,6658
'000858,6652
'600025,6652
'601166,6616
'600489,6568
'601333,6495
'000540,6476
'600887,6470
'600516,6449
'002131,6443
'600863,6395
'002600,6313
'000783,6312
'600487,6247
'600036,6082
'601818,6001
'601901,5993
'600170,5909
'600808,5875
'601519,5760
'601991,5689
'000338,5680
'600522,5659
'002926,5657
'601918,5654
'000750,5646
'600503,5645
'600705,5616
'002673,5578
'000778,5545
'600653,5504
'600255,5481
'601880,5433
'601018,5423
'300315,5419
'002936,5415
'600115,5405
'000009,5386
'600320,5381
'600000,5367
'000825,5329
'601992,5291
'600369,5275
'600166,5244
'000667,5238
'600029,5229
'601168,5215
'601588,5212
'600256,5201
'000751,5193
'600100,5177
'600690,5160
'002450,5144
'601088,5124
'600415,5067
'601211,5061
'601998,5054
'000875,5019
'000977,5019
'601212,5004
'600497,5000
'600879,4993
'002027,4960
'600776,4934
'000031,4931
'600909,4926
'603077,4925
'600637,4924
'000735,4917
'601688,4908
'600919,4899
'000625,4891
'600023,4886
'002415,4881
'600703,4868
'000563,4840
'600642,4809
'000060,4802
'600108,4788
'600816,4730
'000333,4728
'600460,4726
'002460,4717
'600317,4717
'002456,4705
'000598,4695
'600048,4688
'601608,4683
'600820,4620
'601108,4589
'000776,4574
'601005,4554
'601872,4543
'600886,4527
'000768,4519
'002505,4516
'000078,4497
'600958,4493
'601111,4480
'002477,4457
'600755,4444
'000683,4424
'002185,4414
'300024,4384
'300017,4370
'002031,4353
'600485,4352
'601898,4349
'000897,4325
'600547,4287
'600895,4278
'600039,4263
'601179,4237
'000932,4226
'600017,4224
'000066,4219
'600604,4204
'000656,4181
'002948,4180
'600435,4168
'600362,4159
'002465,4155
'600873,4138
'600109,4131
'600309,4126
'601890,4119
'600118,4097
'002008,4088
'002466,4087
'601229,4083
'601010,4064
'000682,4061
'000983,4061
'600252,4045
'601375,4037
'000930,4033
'600959,4033
'603799,4023
'601718,4014
'000882,4006
