stkcode,headcount
'000725,45499
'002958,26214
'601989,23765
'601766,23060
'601899,20756
'600795,20078
'600030,19854
'600050,19382
'601390,17983
'600010,17750
'601857,16062
'601668,16020
'601988,15818
'000100,14690
'601600,13955
'601985,13931
'600028,13877
'601099,13527
'601398,13396
'601169,12374
'600221,12273
'601618,12201
'601318,11946
'000630,11882
'601288,11267
'000651,11195
'600839,11046
'601258,10965
'600157,10916
'600016,10753
'000001,10650
'000063,10170
'601866,10148
'600019,10068
'000157,10007
'002065,9976
'000166,9934
'000413,9867
'601106,9863
'000709,9769
'600868,9475
'600022,9378
'601939,9275
'600111,9255
'601727,9089
'600031,9050
'601066,8982
'600307,8559
'601328,8456
'603993,8349
'601138,8343
'600089,8288
'002195,8230
'600837,8145
'601669,8137
'600518,8120
'000629,8036
'002024,8009
'601919,7995
'300059,7986
'601186,7984
'002230,7903
'600068,7849
'600601,7589
'601319,7531
'600219,7519
'002610,7317
'600567,7305
'600401,7229
'300104,7206
'601377,7202
'600008,7168
'600635,7145
'000839,7141
'600797,6783
'002131,6693
'002797,6675
'600018,6646
'601558,6626
'000002,6620
'600516,6551
'000425,6550
'002340,6534
'600489,6523
'600025,6496
'601166,6494
'601333,6486
'000540,6443
'600863,6426
'000727,6306
'600487,6276
'600887,6206
'000783,6196
'000858,6087
'601818,6065
'601901,5982
'600036,5920
'000750,5905
'600808,5867
'002600,5849
'600170,5844
'002027,5802
'601519,5713
'000338,5703
'600705,5690
'601991,5670
'000778,5612
'600522,5574
'601018,5572
'002673,5541
'601918,5501
'600653,5498
'600503,5465
'300017,5459
'300315,5383
'600000,5383
'600166,5364
'000009,5351
'002926,5342
'601880,5337
'600320,5333
'600255,5332
'000825,5321
'600256,5309
'601168,5238
'601588,5235
'601992,5222
'600115,5221
'000667,5209
'601088,5140
'600100,5134
'601998,5127
'002936,5106
'600369,5104
'601211,5100
'000751,5099
'600690,5091
'000977,5077
'002450,5062
'600029,5042
'600637,5031
'600415,5031
'000875,5025
'002460,5021
'600879,5015
'000625,5010
'600497,4989
'600023,4933
'000735,4915
'601688,4900
'002456,4891
'600919,4889
'000031,4885
'600642,4876
'600703,4844
'603077,4804
'002477,4801
'600895,4786
'600108,4778
'000563,4773
'600909,4747
'000598,4735
'000060,4694
'601212,4650
'600317,4644
'000768,4637
'600816,4614
'000683,4612
'600820,4590
'002415,4587
'600886,4587
'000333,4553
'000066,4552
'600755,4541
'601872,4526
'600958,4512
'601608,4511
'601179,4508
'600928,4495
'000776,4490
'601005,4482
'000078,4472
