stkcode,headcount
'000725,45750
'002958,26002
'601989,24507
'601766,23331
'601899,20950
'600030,20359
'600795,19963
'600050,19636
'601390,18186
'600010,17631
'601857,16319
'601668,16104
'601988,15995
'000100,15746
'600028,14387
'601398,13953
'601600,13937
'601985,13870
'601099,12971
'601169,12560
'600221,12347
'601618,12204
'000630,11889
'601318,11817
'601288,11493
'000651,11163
'600016,10933
'600839,10905
'601258,10803
'600157,10707
'000001,10459
'000063,10267
'600019,10135
'601866,10085
'000166,9951
'000157,9937
'601106,9836
'000413,9789
'601066,9718
'000709,9672
'002065,9613
'601939,9588
'600031,9542
'600868,9346
'600022,9344
'600111,9136
'601727,9050
'603993,8639
'601328,8607
'300059,8478
'600307,8469
'601138,8374
'601186,8252
'600837,8135
'601669,8121
'002024,8107
'600089,8103
'601919,8065
'000629,8046
'002195,8039
'600068,7973
'002230,7853
'600518,7842
'600219,7523
'601319,7398
'600567,7396
'000839,7394
'600601,7377
'600401,7229
'300104,7220
'002610,7200
'601377,7126
'600635,7113
'600008,7094
'002797,6772
'601333,6728
'601558,6650
'601166,6646
'002131,6582
'600018,6581
'002340,6580
'600489,6577
'600516,6518
'000540,6480
'600487,6464
'000425,6454
'600863,6370
'000002,6356
'600025,6234
'601818,6232
'000727,6226
'000783,6166
'000858,6141
'600797,6071
'002027,6069
'600808,6014
'600887,5984
'601901,5952
'600036,5876
'000750,5839
'600170,5814
'601519,5792
'000338,5699
'601991,5682
'600705,5679
'601018,5591
'002673,5585
'600000,5552
'600522,5544
'601880,5538
'000778,5494
'600653,5454
'002926,5448
'600503,5417
'601088,5410
'000625,5408
'601918,5388
'601588,5359
'002600,5340
'300315,5336
'000825,5334
'300017,5322
'600320,5315
'601992,5260
'000009,5254
'600255,5248
'600108,5243
'000977,5241
'601168,5231
'600879,5222
'600256,5217
'600166,5208
'601998,5189
'600637,5188
'600369,5164
'000667,5163
'600690,5133
'601211,5115
'600100,5109
'000751,5098
'600415,5085
'600115,5065
'601688,5064
'600497,5033
'000031,5021
'000875,5021
'002456,4997
'000735,4981
'002460,4979
'600023,4951
'600029,4947
'002450,4940
'002936,4920
'600919,4908
'000066,4884
'600703,4862
'002415,4856
'600460,4828
'603077,4822
'000563,4807
'600642,4778
'600909,4771
