stkcode,headcount
'000725,42892
'601989,23675
'601766,22977
'601899,21084
'600795,20063
'600050,19742
'600030,18606
'601390,17802
'600010,16679
'601988,16099
'601857,15945
'601668,15252
'601600,14337
'600028,14046
'000100,13649
'601985,13638
'601398,13219
'601318,12622
'601169,12498
'600221,12247
'601618,11743
'000651,11663
'000630,11399
'601288,11226
'000001,11089
'600016,10976
'601099,10762
'000063,10626
'601866,10350
'000157,10333
'000413,10276
'600019,10118
'601258,10031
'600839,10009
'000709,9941
'601138,9595
'601106,9575
'601939,9530
'600157,9446
'600031,9436
'600111,9405
'600868,9397
'600307,9235
'000166,9178
'601727,9088
'600022,9081
'601328,8617
'603993,8531
'000629,8261
'601919,8102
'601669,8080
'601186,8078
'002024,8072
'600068,8052
'600089,7817
'300104,7778
'600837,7651
'601319,7520
'600518,7427
'600601,7352
'600008,7277
'601377,7250
'002230,7250
'600401,7226
'600219,7203
'600018,7095
'000839,7086
'002797,6947
'000002,6925
'600516,6923
'000425,6919
'600025,6899
'002610,6869
'002340,6856
'600567,6854
'000858,6825
'601166,6822
'000540,6769
'601558,6762
'002926,6692
'600489,6635
'600635,6596
'002936,6563
'600863,6534
'601333,6516
'600487,6415
'000783,6314
'002948,6312
'601901,6296
'600887,6241
'300059,6169
'601818,5977
'600808,5969
'000750,5950
'600036,5935
'600170,5858
'002195,5852
'601918,5802
'600522,5761
'601991,5741
'002673,5692
'600705,5681
'000338,5631
'000778,5615
'600653,5597
'600115,5595
'601992,5453
'600503,5451
'000825,5445
'600000,5423
'300315,5415
'601018,5413
'601880,5368
'601168,5326
'600320,5324
'000667,5307
'000009,5296
'002450,5283
'600166,5281
'600256,5267
'000735,5252
'601088,5246
'600029,5243
'600100,5238
'601588,5205
'600919,5183
'600415,5130
'000751,5054
'000031,5021
'600497,5002
'600879,4969
'601998,4960
'600023,4946
'000875,4932
'601211,4909
'600255,4900
'002460,4896
'603077,4896
'000625,4886
'600637,4882
'000333,4875
'600642,4864
'600108,4839
'002131,4807
'600690,4807
'600369,4781
'600909,4766
'000598,4755
'000768,4724
'000727,4709
'000060,4705
'601872,4655
'600820,4646
'002477,4618
'002456,4615
'600317,4609
'002027,4592
'600886,4536
'600755,4526
'000776,4526
'600703,4516
'600901,4516
'601898,4508
'601005,4505
'600048,4493
'002415,4467
'601066,4423
'000683,4407
'600958,4368
'002466,4361
'600485,4352
'600039,4345
'601111,4319
'600460,4306
'600873,4291
'000066,4288
'000977,4265
'300024,4263
'601179,4255
'601212,4255
'601688,4253
'600118,4247
'002600,4233
'002465,4226
'000078,4224
'601009,4208
'002500,4206
'600362,4201
'600109,4198
'600547,4198
'601229,4191
'600017,4188
'000930,4183
'002031,4177
'600435,4169
'000656,4166
'000983,4161
'002405,4158
'002505,4153
'000897,4148
'600895,4121
'600309,4113
'600252,4108
'000682,4103
'601838,4096
'600959,4065
'603799,4056
'600210,4039
'600187,4027
'600282,3986
'601865,3978
'601718,3967
'000807,3953
'600169,3952
'601298,3950
'002185,3945
'601108,3934
'000882,3919
'000767,3916
'601375,3906
'600151,3902
'601118,3893
'002341,3880
'000005,3864
'000050,3857
'300027,3845
'000636,3835
'601800,3816
'601000,3805
'601010,3802
'300185,3800
'601006,3787
'600737,3754
'600033,3754
'601975,3751
'600352,3739
'002129,3732
'600276,3723
'600577,3714
'300017,3710
'000027,3692
'002498,3690
'601933,3680
'600606,3678
'600711,3665
'000878,3662
'600006,3657
'000680,3655
'000886,3648
'002176,3645
'600495,3645
'601228,3644
'000758,3636
'600177,3634
'600027,3618
'601216,3609
'000717,3578
'002506,3567
'000830,3566
'600150,3549
'600871,3538
'000917,3518
'600550,3502
'601519,3500
'600496,3499
'600776,3497
'600584,3493
'002310,3479
'601890,3471
'002280,3470
'600015,3465
'600726,3463
'002407,3454
'000563,3453
'600220,3451
'600528,3440
'600797,3437
'600196,3436
'002266,3427
'000933,3422
'600875,3420
'601628,3415
'601162,3410
'000686,3407
'600881,3403
'002049,3402
'000898,3396
'000931,3394
'600021,3370
'000415,3364
'002241,3364
'000571,3354
'000816,3351
'601608,3349
'000932,3341
'000507,3339
'601011,3336
'601577,3334
'000410,3326
'002497,3312
'600717,3309
'600103,3304
'601611,3295
'000959,3293
'000021,3289
'600428,3285
'000401,3277
'600583,3277
'600380,3277
'600698,3276
'000652,3267
'600595,3247
'600649,3243
'000883,3239
'601700,3238
'600569,3235
'000547,3233
'600789,3214
'002547,3213
'002202,3204
'600153,3204
'601958,3195
'601128,3184
'002385,3174
'002736,3172
'002938,3154
'300111,3149
'601016,3143
'000520,3141
'000592,3123
'000616,3122
'002089,3121
'000623,3121
'600269,3117
'600549,3112
'601198,3095
'601008,3088
'000970,3085
'600026,3077
'601881,3064
'600399,3062
'600175,3058
'000516,3054
'002065,3053
'600611,3045
'002939,3041
'600999,3026
'600326,3026
'002217,3018
'600572,3018
'000012,3014
'601878,3013
'002155,3012
'000973,3008
'000728,3004
'600490,3001
'600677,3001
'002004,2989
'000670,2977
'600586,2970
'000488,2965
'600125,2958
'000627,2953
'601788,2950
'600158,2947
'600176,2942
'000572,2936
'600804,2935
'600104,2917
'002130,2916
'002183,2910
'600777,2903
'600900,2902
'000559,2898
'601200,2896
'600388,2895
'601555,2893
'600664,2890
'002463,2885
'300070,2884
'601326,2884
'002491,2865
'002839,2864
'002342,2862
'600977,2852
'600291,2849
'600565,2843
'600130,2836
'000793,2823
'000877,2820
'002489,2820
'600598,2818
'002161,2808
'600655,2807
'600988,2803
'000937,2800
'002288,2795
'601117,2793
'002431,2792
'000806,2788
'600405,2785
'600133,2784
'000831,2779
'002739,2779
'600110,2751
'600208,2747
'000792,2741
'001696,2740
'002471,2737
'600811,2736
'600846,2722
'600531,2721
'600063,2718
'600183,2713
'000069,2710
'600614,2707
'002256,2706
'002023,2704
'002392,2703
'300077,2701
'000039,2698
'600812,2697
'002263,2694
'000988,2691
'600874,2686
'600816,2674
'000519,2669
'600519,2667
'600360,2663
'600744,2661
'600348,2657
'600410,2654
'600074,2650
'002236,2650
'600581,2647
'600105,2645
'002154,2645
'002108,2642
'002594,2638
'002426,2629
'000423,2627
'002030,2627
'002446,2624
'000650,2618
'002008,2615
'300355,2608
'002663,2600
'600143,2599
'600343,2597
'601997,2593
'002177,2593
'600085,2587
'600507,2584
'600340,2584
'600966,2580
'600020,2579
'600652,2575
'600688,2572
'002312,2572
'300079,2571
'002573,2571
'600086,2567
'600392,2563
'000738,2562
'600718,2555
'600662,2553
'600186,2552
'000528,2547
'601929,2546
'600162,2546
'600122,2541
'600654,2541
'600331,2541
'600720,2529
'002276,2527
'601615,2517
'002151,2514
'002474,2511
'603019,2510
'002252,2509
'002421,2507
'300251,2501
'600666,2501
'600893,2497
'600675,2495
'000518,2489
'600284,2488
'600512,2487
'000402,2486
'601828,2482
'600728,2476
'002429,2474
'002092,2467
'002949,2467
'600498,2465
'002102,2463
'000600,2463
'002013,2458
'600770,2454
'300088,2453
'000960,2453
'601001,2451
'002145,2451
'002067,2451
'000861,2449
'600311,2445
'600127,2441
'600739,2440
'300418,2438
'002716,2437
'600425,2431
'600072,2428
'300136,2427
'002307,2419
'002436,2418
'600190,2415
'600188,2405
'300324,2402
'000876,2396
'600624,2395
'600525,2393
'000795,2391
'600555,2388
'002002,2383
'000800,2382
'600171,2380
'000777,2379
'000720,2379
'002001,2375
'000718,2373
'600300,2372
'601636,2372
'002945,2370
'601601,2368
'600446,2366
'000301,2363
'000862,2362
'000958,2360
'601699,2349
'300116,2337
'000008,2336
'002115,2325
'002156,2315
'600084,2309
'600396,2306
'000997,2295
'600970,2293
'600467,2291
'600884,2289
'601666,2285
'600106,2284
'002097,2284
'300072,2281
'600926,2280
'600037,2279
'600409,2277
'600206,2276
'600667,2275
'600308,2273
'601990,2266
'601388,2266
'600226,2260
'600794,2254
'002170,2253
'300750,2251
'600759,2249
'603858,2243
'601860,2242
'000006,2238
'600756,2237
'002104,2235
'000690,2225
'600316,2216
'002113,2215
'002052,2214
'000545,2211
'000822,2211
'000939,2208
'600585,2206
'000729,2205
'600266,2205
'601002,2202
'002337,2202
'600588,2198
'000753,2197
'002285,2196
'600596,2194
'002486,2190
'002302,2189
'002005,2188
'002636,2186
'600231,2185
'000548,2184
'002526,2182
'600827,2182
'600578,2181
'600330,2181
'600604,2175
'600322,2172
'600321,2171
'300433,2170
'300761,2168
'000901,2167
'601019,2166
'002226,2166
'600500,2160
'600350,2159
'600436,2158
'600798,2157
'002467,2156
'002261,2153
'300737,2152
'600200,2146
'600978,2144
'300058,2144
'002447,2144
'002596,2143
'002018,2142
'300101,2140
'600418,2140
'600198,2139
'600740,2137
'600536,2136
'000868,2132
'600660,2129
'601012,2123
'002079,2120
'300292,2119
'000762,2118
'002175,2113
'600011,2110
'002542,2101
'601336,2101
'002146,2099
'000558,2097
'002501,2094
'600227,2089
'002239,2087
'000059,2085
'600862,2079
'002245,2076
'000555,2076
'600058,2067
'600903,2065
'600736,2064
'002510,2056
'601069,2055
'002056,2054
'000541,2054
'000859,2052
'600643,2050
'300287,2045
'600630,2044
'600035,2043
'002284,2034
'600064,2034
'300156,2031
'002326,2028
'000799,2024
'601633,2023
'000585,2022
'002249,2019
'000903,2016
'601949,2014
'600824,2007
'002011,2005
'600760,2000
'300297,1997
'600172,1997
'300296,1995
'001979,1995
'600477,1992
'002448,1989
'002292,1989
'600303,1988
'002540,1988
'000400,1987
'000564,1985
'002106,1984
'600545,1983
'600651,1975
'600836,1974
'600098,1973
'601808,1971
'600784,1969
'000900,1967
'000851,1962
'000426,1958
'002695,1951
'600408,1949
'600117,1948
'600751,1947
'600602,1944
'002142,1938
'600216,1936
'002689,1935
'300026,1934
'002019,1934
'600537,1932
'000088,1931
'002390,1928
'601058,1922
'600685,1921
'600877,1919
'002665,1917
'601952,1916
'300044,1915
'000018,1914
'000036,1911
'601607,1909
'601163,1907
'000838,1904
'000566,1904
'300352,1904
'000829,1904
'000536,1897
'600747,1897
'000016,1897
'601598,1896
'000503,1894
'600123,1893
'000055,1889
'000837,1887
'000591,1886
'600704,1886
'601107,1883
'002118,1883
'000420,1878
'600458,1876
'002157,1876
'002148,1876
'600713,1874
'002807,1869
'600060,1866
'000905,1863
'002495,1861
'600730,1861
'002139,1857
'603128,1856
'000802,1854
'000687,1854
'002273,1854
'300253,1854
'600765,1853
'002218,1847
'600271,1846
'600800,1845
'002060,1839
'601518,1839
'002334,1838
'000561,1834
'600963,1833
'600673,1831
'300431,1827
'002075,1826
'300008,1826
'002237,1826
'000969,1823
'300131,1822
'300137,1821
'000040,1820
'600888,1819
'000587,1818
'600067,1813
'600199,1813
'600488,1811
'600426,1810
'600079,1809
'002358,1809
'000936,1809
'002432,1807
'002554,1805
'002701,1804
'002523,1801
'002017,1799
'600936,1798
'600825,1798
'002269,1795
'000568,1795
'600880,1792
'000786,1791
'600707,1791
'002078,1787
'002281,1786
'002093,1783
'300002,1782
'600160,1779
'300014,1777
'000543,1777
'600975,1777
'601616,1775
'600527,1772
'002400,1772
'002224,1772
'600997,1771
'600313,1768
'600073,1768
'002413,1765
'000589,1764
'600701,1761
'601225,1758
'600807,1756
'000895,1753
'600240,1750
'000509,1746
'002064,1744
'600867,1744
'002329,1743
'300134,1742
'002424,1740
'000498,1739
'600354,1737
'002517,1736
'600406,1736
'600787,1736
'300066,1735
'600076,1734
'000935,1730
'600546,1729
'002099,1729
'600056,1729
'300098,1729
'600397,1728
'300003,1727
'601360,1726
'002550,1725
'000407,1723
'600057,1722
'000422,1717
'002235,1717
'002516,1715
'601968,1714
'000099,1713
'002182,1713
'601966,1712
'000693,1711
'002657,1710
'002535,1708
'600869,1706
'000514,1706
'601218,1706
'002583,1704
'600502,1700
'000070,1699
'601068,1698
'000557,1697
'300055,1697
'000615,1696
'002121,1694
'600116,1693
'600758,1690
'600864,1689
'002043,1687
'002359,1687
'600734,1686
'601619,1686
'300256,1686
'600277,1685
'600439,1684
'000998,1680
'600570,1679
'600325,1676
'600332,1673
'000912,1670
'002565,1670
'002074,1669
'603000,1666
'600674,1666
'600594,1666
'600526,1666
'600292,1665
'002384,1664
'002178,1662
'002305,1661
'601928,1660
'600491,1660
'600783,1657
'300303,1656
'600676,1656
'600582,1654
'000601,1652
'300152,1652
'600312,1651
'002611,1648
'601606,1648
'600775,1646
'002070,1646
'603169,1645
'002141,1643
'000659,1643
'601908,1641
'600268,1640
'600533,1636
'000539,1635
'601777,1634
'000926,1634
'600986,1634
'002168,1633
'300189,1630
'002163,1630
'300038,1629
'000599,1628
'000510,1626
'601188,1626
'002122,1626
'000672,1625
'000938,1619
'002128,1615
'600853,1613
'600249,1611
'603618,1610
'002277,1610
'002650,1609
'600351,1609
'600366,1609
'002294,1608
'600393,1608
'600782,1604
'600908,1603
'000089,1602
'600967,1601
'000712,1600
'002191,1598
'000791,1598
'600979,1598
'002428,1598
'002369,1595
'002325,1593
'300353,1593
'600218,1593
'000506,1590
'600743,1589
'000029,1588
'600339,1587
'600571,1586
'002233,1585
'600626,1584
'300383,1583
'002451,1580
'002152,1577
'000058,1577
'600773,1576
'002457,1576
'002619,1572
'000963,1571
'600280,1571
'600466,1569
'002073,1569
'000760,1567
'002297,1567
'600684,1564
'600075,1564
'600236,1563
'000966,1563
'300304,1562
'002476,1562
'000521,1562
'600135,1561
'002508,1560
'002181,1558
'002137,1556
'600552,1555
'601869,1555
'601208,1552
'000573,1551
'600069,1551
'600663,1551
'002110,1551
'600433,1547
'000698,1546
'000957,1545
'300043,1545
'600260,1544
'600279,1544
'600838,1544
'002622,1542
'600996,1542
'600261,1541
'002162,1541
'000721,1540
'000554,1540
'600090,1539
'000529,1538
'300759,1537
'002433,1536
'000980,1535
'002083,1533
'300168,1529
'000612,1528
'002570,1528
'000581,1528
'002406,1522
'300170,1522
'600478,1521
'300009,1517
'000826,1515
'300376,1514
'002253,1514
'002437,1513
'600230,1513
'600855,1511
'600517,1508
'300310,1506
'300102,1503
'600237,1501
'002100,1501
'000789,1499
'002604,1497
'300333,1497
'600823,1497
'002068,1496
'000159,1496
'600509,1495
'601003,1495
'002496,1489
'600589,1488
'300465,1487
'002361,1486
'600159,1486
'002167,1485
'000517,1484
'600535,1482
'000965,1482
'002408,1482
'603766,1481
'000538,1480
'002222,1479
'600831,1478
'300247,1477
'000533,1477
'002697,1475
'002300,1472
'002378,1472
'002402,1470
'603220,1469
'600372,1469
'600628,1468
'600741,1468
'600376,1468
'600368,1467
'002123,1466
'300090,1465
'600815,1465
'600438,1464
'000416,1464
'000856,1464
'000158,1462
'001965,1460
'002504,1459
'300197,1459
'300107,1458
'600246,1458
'600691,1458
'600610,1457
'000019,1457
'601158,1455
'601101,1454
'002063,1454
'002603,1453
'600805,1451
'000823,1448
'600391,1448
'002166,1447
'300128,1445
'002318,1445
'002339,1444
'002362,1444
'000010,1444
'600207,1443
'000790,1442
'300367,1438
'000677,1437
'002770,1435
'600609,1435
'000836,1434
'300135,1434
'603259,1433
'002564,1432
'600687,1430
'002210,1430
'000949,1430
'603126,1429
'000622,1428
'000726,1428
'600621,1428
'600929,1427
'600383,1426
'002588,1426
'000731,1425
'002051,1424
'002197,1423
'601233,1421
'600061,1420
'600708,1419
'002387,1419
'603300,1419
'002303,1416
'600355,1414
'002638,1412
'000609,1411
'000723,1411
'002279,1410
'600333,1409
'600576,1409
'300177,1407
'600699,1406
'002081,1405
'002607,1404
'600558,1404
'002306,1404
'600633,1403
'600251,1402
'002308,1402
'300359,1400
'601366,1400
'600112,1399
'002190,1398
'600917,1397
'600139,1396
'300377,1396
'300676,1396
'000701,1395
'002668,1395
'600499,1394
'002649,1394
'002654,1392
'002601,1391
'300758,1388
'600293,1386
'600290,1385
'600095,1385
'002642,1382
'600702,1382
'002533,1381
'600695,1380
'600810,1377
'002494,1376
'000733,1376
'002038,1375
'600192,1374
'600480,1374
'600353,1373
'300760,1373
'600395,1373
'600121,1372
'601500,1371
'000552,1369
'002383,1368
'300182,1368
'601222,1368
'300274,1368
'000595,1367
'300110,1367
'600149,1366
'002353,1364
'300129,1364
'600082,1360
'000918,1360
'300083,1360
'600508,1359
'002509,1359
'600891,1359
'002639,1357
'000955,1357
'603712,1357
'000890,1357
'002630,1355
'600939,1354
'000801,1353
'000812,1353
'000899,1351
'000756,1350
'000996,1350
'002283,1350
'000666,1350
'002635,1350
'002041,1349
'000685,1347
'000971,1347
'002354,1347
'600665,1346
'600080,1346
'002076,1345
'000584,1342
'600559,1341
'600733,1341
'002271,1340
'300178,1340
'002444,1340
'000928,1339
'002479,1339
'600678,1338
'600722,1337
'000655,1335
'000848,1334
'600363,1334
'002585,1333
'600995,1332
'002528,1332
'000780,1329
'300048,1329
'300020,1329
'603118,1323
'600289,1323
'002314,1322
'002223,1322
'000565,1322
'002243,1321
'300015,1321
'300075,1318
'600066,1318
'000820,1317
'600597,1317
'002481,1317
'002132,1316
'002022,1316
'601717,1315
'002555,1315
'002658,1313
'002680,1311
'000833,1310
'300364,1310
'002246,1309
'300010,1307
'600866,1307
'603693,1306
'002452,1306
'600650,1305
'600501,1304
'600645,1302
'002229,1299
'002352,1299
'000927,1298
'600168,1298
'300299,1298
'600222,1297
'300216,1297
'600078,1293
'000620,1288
'000739,1287
'000638,1286
'600004,1285
'002087,1284
'002158,1284
'603366,1284
'002386,1284
'600933,1284
'002733,1283
'600335,1282
'600580,1282
'601015,1279
'002439,1279
'600288,1279
'600212,1278
'600481,1277
'600780,1277
'600059,1277
'601678,1276
'600993,1275
'300527,1274
'002006,1274
'000782,1274
'000722,1273
'000061,1273
'002232,1272
'002007,1271
'002169,1271
'002364,1270
'300053,1269
'002946,1269
'300181,1269
'300273,1267
'002264,1267
'002033,1267
'002556,1267
'002502,1264
'600119,1264
'600359,1263
'002055,1261
'300307,1260
'300755,1259
'600470,1259
'600052,1258
'600239,1257
'300201,1257
'600259,1256
'300139,1255
'002298,1254
'000409,1253
'002488,1253
'002681,1252
'002512,1252
'600568,1248
'002782,1245
'600358,1245
'600298,1245
'600641,1244
'002069,1244
'300228,1244
'300741,1243
'600120,1243
'002160,1242
'600876,1242
'600530,1242
'000850,1240
'600634,1239
'603299,1238
'000987,1238
'002628,1237
'002171,1235
'002590,1235
'300113,1233
'300006,1232
'002255,1230
'300618,1230
'300028,1229
'000737,1228
'300222,1227
'600223,1227
'600138,1226
'002702,1226
'300336,1225
'002047,1224
'000532,1224
'600590,1222
'000700,1222
'600275,1220
'600971,1219
'000962,1218
'000657,1218
'600185,1218
'603969,1217
'300085,1216
'002133,1214
'000671,1214
'002589,1214
'002416,1213
'000513,1213
'002470,1212
'603616,1212
'002546,1210
'600830,1210
'600141,1210
'002320,1209
'600229,1209
'300311,1208
'300231,1207
'002091,1207
'000530,1206
'002711,1205
'600982,1204
'000887,1203
'000811,1203
'000810,1203
'000972,1202
'000531,1201
'300198,1200
'000752,1198
'600462,1195
'600390,1195
'002721,1193
