stkcode,headcount
'000725,44339
'601989,25235
'601766,23128
'601899,20651
'600795,19910
'600030,19783
'600050,19496
'601390,18190
'600010,17344
'601857,16244
'601988,15820
'601668,15229
'000100,15170
'600028,14470
'601985,13738
'601600,13687
'601398,13376
'600221,12724
'601169,12450
'601099,12422
'601618,11994
'000651,11897
'000630,11604
'601288,11279
'601318,11253
'600016,11051
'600839,10717
'601258,10609
'600157,10287
'601866,10199
'000157,9996
'000166,9857
'600019,9758
'000001,9742
'000413,9692
'601106,9659
'600031,9482
'000709,9478
'000063,9421
'601066,9394
'601727,9325
'600868,9247
'600022,9247
'601939,9220
'601328,9181
'002065,8977
'600111,8863
'601186,8535
'300059,8363
'603993,8356
'600307,8303
'600837,8198
'000629,8183
'601669,8080
'600089,8050
'601138,8004
'600068,7939
'002610,7898
'601919,7891
'600518,7781
'002230,7555
'002024,7515
'002195,7501
'600567,7434
'600219,7369
'600352,7333
'000858,7331
'300104,7275
'600401,7229
'002958,7202
'000839,7182
'600601,7177
'600635,6947
'600018,6944
'600008,6911
'601377,6897
'601319,6891
'601333,6718
'600516,6570
'002131,6564
'002500,6564
'601558,6563
'600487,6533
'600489,6480
'002340,6471
'000540,6410
'600863,6352
'002797,6351
'000002,6278
'000338,6248
'600887,6227
'000425,6216
'601818,6205
'601166,6144
'000783,6097
'600025,6006
'600705,6000
'600808,5915
'601901,5911
'000727,5880
'600036,5810
'601519,5754
'002600,5715
'002673,5637
'601975,5631
'601991,5630
'000750,5608
'002027,5577
'601018,5567
'600170,5545
'600000,5524
'600797,5477
'601688,5460
'600522,5440
'600653,5437
'300315,5405
'000932,5394
'601880,5347
'000778,5343
'600503,5334
'601088,5329
'601918,5310
'601588,5308
'600320,5305
'600256,5283
'601607,5269
'600115,5269
'603077,5255
'000825,5249
'600879,5238
'000009,5199
'002926,5191
'000078,5166
'600166,5158
'600637,5156
'000667,5156
'600369,5145
'600255,5134
'600108,5114
'601992,5112
'002460,5094
'601168,5077
'601998,5063
'600100,5045
'601211,5035
'000751,4999
'000875,4998
'000066,4970
'600415,4970
'002456,4966
'000625,4940
'002415,4940
'002477,4932
'600029,4918
'000031,4912
'600690,4900
'600023,4899
'600497,4887
'600703,4861
'000060,4852
'300017,4818
'000977,4800
'002450,4798
'600919,4717
'600642,4709
'000598,4702
'600909,4697
'000768,4691
'000563,4673
'002202,4661
'600460,4653
'002936,4594
'600317,4581
'601212,4581
'000735,4548
'000683,4528
'601005,4518
'000776,4510
'600039,4494
'600895,4488
'600958,4469
'600820,4444
'000333,4443
'601872,4435
'000682,4394
'600886,4365
'601608,4361
'600485,4354
'601179,4344
'600547,4338
'601898,4312
'600109,4294
'000830,4289
'600048,4286
'002505,4284
'600755,4282
'600017,4219
'601890,4195
'600776,4187
'002031,4174
'601006,4163
'000930,4160
'000723,4133
'600435,4131
'300024,4116
'002292,4113
'601111,4102
'601718,4089
'600276,4077
'600118,4049
'601108,4046
'600252,4037
'002465,4027
'002466,4024
'000897,4023
'600873,4017
'002185,4010
'600187,3986
'000983,3985
'600959,3984
'600027,3973
'600362,3972
'601229,3965
'600309,3960
'600816,3954
'600789,3949
'600737,3940
'600871,3934
'000882,3920
'000656,3905
'000917,3903
'300185,3903
'600282,3898
'600210,3872
'601000,3864
'600169,3863
'600624,3861
'002405,3852
'601216,3846
'601010,3841
'000807,3836
'000005,3826
'601375,3817
'601800,3815
'600604,3811
'000767,3801
'600104,3765
'600928,3744
'601008,3694
'002310,3679
'002498,3646
'600901,3644
'600572,3643
'600577,3637
'600033,3636
'002948,3627
'002176,3624
'600177,3616
'601838,3612
'000027,3594
'000717,3594
'600220,3594
'000680,3591
'600006,3585
'600196,3584
'600875,3580
'002130,3568
'000636,3566
'600151,3559
'600495,3558
'300027,3558
'002177,3556
'600528,3548
'000021,3546
'000886,3545
'002294,3538
'601009,3538
'002008,3537
'000758,3533
'000878,3533
'601118,3512
'002280,3511
'002506,3505
'603799,3460
'600881,3460
'000652,3459
'600711,3455
'000898,3451
'601881,3450
'601611,3444
'002266,3437
'600726,3424
'000516,3409
'601878,3401
'600664,3399
'600015,3393
'600496,3382
'000572,3378
'000571,3364
'600021,3362
'601228,3342
'000931,3335
'002241,3331
'600150,3330
'600606,3325
'600550,3315
'000933,3281
'601555,3273
'002547,3263
'000520,3259
'600175,3257
'002385,3252
'600103,3250
'002129,3249
'601016,3241
'002407,3224
'002013,3216
'600595,3210
'000959,3207
'600428,3206
'601298,3206
'000816,3202
'600072,3196
'601933,3182
'000488,3180
'000883,3175
'002183,3173
'600380,3172
'600425,3170
'000592,3169
'600717,3166
'600999,3162
'601628,3161
'601011,3151
'000050,3138
'600410,3132
'600584,3127
'600649,3125
'600583,3119
'002736,3113
'000686,3111
'000410,3109
'000547,3100
'600446,3087
'600153,3076
'600569,3076
'601700,3070
'000616,3059
'000415,3055
'601162,3051
'600611,3050
'601326,3044
'601128,3040
'300079,3038
'002004,3036
'000507,3034
'002217,3032
'000793,3031
'002565,3031
'600698,3026
'300070,3015
'000670,3011
'600269,3011
'000831,3007
'300111,2996
'600549,2993
'601198,2988
'600777,2988
'002421,2986
'603000,2984
'002155,2980
'601788,2974
'002252,2972
'600331,2960
'002663,2954
'600804,2947
'002256,2946
'000159,2940
'002497,2940
'002491,2937
'600208,2936
'600586,2935
'601958,2931
'002463,2926
'000970,2922
'600399,2899
'300623,2898
'600326,2896
'600728,2886
'000877,2878
'600158,2877
'600812,2874
'600900,2872
'002236,2852
'600498,2851
'000623,2843
'600125,2842
'002526,2841
'601200,2840
'002030,2835
'000729,2832
'600565,2819
'000012,2811
'000528,2806
'601929,2804
'600652,2797
'600614,2796
'002489,2796
'000559,2795
'601117,2791
'600284,2785
'000806,2780
'600026,2780
'000859,2771
'000973,2763
'600063,2763
'002342,2761
'002471,2757
'600176,2753
'001696,2747
'002307,2747
'002739,2747
'000627,2738
'600846,2732
'600988,2732
'600110,2731
'600677,2728
'000988,2725
'600020,2724
'600811,2724
'600655,2723
'000519,2717
'600867,2717
'603019,2715
'000728,2705
'002431,2698
'000937,2697
'002161,2691
'000423,2691
'002573,2690
'600388,2680
'600744,2679
'600581,2677
'600405,2668
'600660,2649
'002023,2638
'600490,2632
'600893,2616
'601598,2612
'600977,2604
'300750,2596
'002145,2594
'600133,2590
'000008,2587
'002263,2587
'000792,2584
'002049,2584
'600143,2582
'002392,2581
'002118,2581
'600343,2579
'000401,2577
'600130,2567
'002312,2566
'002447,2566
'600186,2561
'600074,2550
'002302,2541
'600531,2540
'600348,2539
'002474,2533
'002496,2531
'600555,2529
'002002,2528
'002154,2521
'002089,2519
'600308,2515
'002276,2513
'002429,2511
'600662,2510
'600512,2506
'600392,2502
'000039,2501
'000402,2499
'600736,2499
'000960,2495
'600598,2494
'002092,2491
'300355,2488
'600688,2484
'000795,2483
'000069,2482
'600011,2480
'600360,2480
'600190,2473
'601601,2470
'600311,2466
'000650,2466
'600291,2463
'002108,2461
'002017,2458
'002839,2451
'600666,2449
'300287,2448
'600874,2447
'300088,2446
'601997,2444
'600085,2441
'300077,2441
'600519,2438
'600675,2436
'600966,2433
'601860,2433
'600271,2432
'600756,2429
'600086,2428
'600654,2427
'002175,2424
'000518,2422
'002099,2421
'000738,2419
'600588,2418
'600685,2401
'600775,2401
'600106,2393
'002426,2393
'002594,2381
'000536,2379
'600200,2379
'600739,2378
'601001,2371
'600718,2371
'600667,2370
'300418,2368
'600037,2360
'600340,2351
'000566,2351
'600770,2350
'600396,2345
'600884,2344
'600970,2342
'000777,2341
'600651,2340
'000861,2339
'600162,2338
'600507,2337
'300251,2336
'002467,2336
'002210,2330
'600525,2328
'300072,2327
'000301,2325
'002151,2321
'002436,2318
'000720,2317
'300324,2316
'600720,2312
'600122,2310
'600127,2306
'600300,2306
'600084,2302
'002668,2299
'600171,2298
'600409,2298
'600862,2298
'002067,2297
'000718,2296
'002716,2296
'300008,2286
'600570,2285
'600206,2282
'600105,2280
'002113,2279
'002542,2278
'600227,2277
'600963,2274
'600585,2274
'000800,2272
'600172,2267
'000939,2266
'000600,2264
'300136,2263
'601828,2260
'002288,2258
'600794,2257
'601666,2256
'300058,2255
'002437,2254
'300110,2251
'601388,2250
'002501,2248
'002097,2247
'603858,2242
'002102,2236
'600800,2232
'600467,2230
'000981,2229
'002630,2219
'000400,2217
'002156,2212
'600064,2212
