stkcode,headcount
'000725,42995
'601989,23584
'601766,22704
'601899,20689
'600795,19939
'600050,19123
'600030,18520
'601390,17644
'600010,16352
'601857,15735
'601988,15728
'601668,15325
'601600,14128
'600028,13887
'601985,13450
'000100,13395
'601398,12738
'601169,12316
'600221,12125
'601318,11853
'601618,11775
'000630,11314
'000651,11167
'601288,10804
'000001,10691
'600016,10680
'601099,10665
'000063,10254
'601866,10249
'000157,10235
'601258,10070
'600019,10041
'600839,9917
'000709,9826
'000413,9779
'601106,9655
'600868,9316
'601939,9243
'000166,9243
'600031,9194
'600022,9149
'600157,9102
'600111,9101
'601727,8996
'601138,8796
'600307,8614
'601328,8472
'603993,8108
'601669,8056
'601919,8050
'000629,8020
'600068,7834
'601186,7760
'002024,7708
'600089,7596
'600837,7523
'300104,7352
'600601,7250
'600401,7227
'601377,7201
'600008,7149
'600219,7125
'002230,7073
'600018,6997
'000839,6808
'000425,6765
'600025,6752
'600567,6733
'600518,6731
'002610,6723
'601558,6675
'000540,6654
'000002,6634
'300059,6608
'002340,6603
'000858,6525
'601166,6523
'601333,6464
'600489,6456
'600863,6443
'600516,6426
'601319,6422
'002797,6373
'600635,6329
'000783,6192
'600887,5966
'002926,5965
'002195,5939
'601901,5918
'600487,5892
'600808,5879
'601818,5858
'002936,5820
'600170,5806
'600036,5792
'601991,5701
'601918,5644
'600705,5547
'000778,5526
'600653,5516
'000750,5499
'000338,5434
'002673,5423
'601018,5358
'300315,5349
'600115,5335
'601992,5333
'600000,5327
'600320,5324
'600522,5322
'601880,5320
'000825,5305
'600503,5273
'000667,5260
'601168,5214
'000009,5207
'000751,5187
'601588,5161
'600100,5160
'600166,5158
'600256,5147
'601088,5115
'600919,5074
'600415,5050
'000031,4960
'002450,4950
'600497,4926
'002131,4913
'000875,4909
'600023,4880
'600029,4875
'600879,4874
'000727,4873
'600369,4871
'600255,4833
'603077,4810
'600642,4809
'600108,4789
'600637,4774
'601998,4773
'000625,4770
'601211,4750
'002948,4731
'000598,4694
'000060,4652
'600690,4629
'600317,4596
'000735,4590
'000768,4580
'601872,4573
'600820,4561
'600909,4557
'000333,4551
'601005,4511
'601066,4486
'600886,4470
'002415,4467
'002460,4464
'600755,4409
'002477,4405
'601898,4384
'600485,4352
'000776,4314
'000683,4275
'600048,4260
'002027,4241
'600039,4233
'600901,4224
'600873,4224
'601212,4177
'601179,4175
'000656,4171
'300024,4168
'600958,4165
'600017,4159
'600703,4142
'000078,4125
'002456,4119
'000897,4111
'002505,4108
'601229,4099
'000066,4098
'600118,4088
'601688,4087
'000983,4076
'000930,4065
'600435,4060
'002466,4056
'601111,4055
'600252,4042
'000682,4037
'002031,4025
'002465,4022
'600547,4013
'600362,3987
'600169,3985
'600109,3984
'600187,3982
'600959,3981
'002500,3962
'000977,3961
'601838,3955
'601865,3951
'600460,3941
'601009,3938
'601718,3913
'600895,3903
'600282,3893
'600210,3882
'002600,3881
'000767,3871
'002405,3853
'000882,3850
'000807,3839
'000005,3825
'601375,3814
'300185,3803
'002008,3795
'600309,3793
'600151,3781
'601010,3777
'601000,3751
'300027,3737
'601006,3733
'600033,3722
'600737,3703
'600352,3703
'000758,3702
'603799,3702
'601118,3682
'601800,3656
'601298,3643
'601975,3640
'601108,3637
'000027,3634
'000878,3632
'002341,3632
'600577,3630
'002185,3621
'000680,3619
'601933,3605
'600006,3585
'600177,3574
'002129,3574
'600495,3565
'600496,3560
'600816,3556
'600276,3550
'600027,3550
'000886,3538
'002498,3534
'601228,3520
'002176,3516
'600606,3497
'600871,3486
'002506,3479
'601519,3469
'600150,3467
'600711,3459
'601216,3459
'600550,3444
'000717,3438
'600726,3433
'600220,3414
'002266,3398
'002280,3393
'601890,3392
'000830,3390
'000917,3372
'600881,3365
'600015,3365
'000563,3365
'300017,3363
'000932,3353
'600875,3348
'000898,3345
'600528,3343
'600797,3341
'002407,3331
'000933,3323
'002310,3319
'000816,3317
'601608,3308
'002636,3304
'000959,3302
'600021,3288
'600103,3276
'000571,3275
'000636,3266
'000415,3259
'600717,3256
'600583,3255
'000931,3254
'600196,3251
'000410,3238
'601011,3235
'000686,3226
'601611,3221
'002241,3218
'000050,3217
'000883,3216
'600428,3192
'600649,3190
'600380,3187
'601628,3186
'000652,3183
'600698,3183
'000021,3183
'002202,3150
'600153,3140
'000547,3136
'002385,3133
'000507,3131
'600595,3116
'600776,3108
'600569,3106
'002049,3093
'600269,3092
'000520,3088
'601700,3087
'601958,3086
'002736,3082
'000401,3070
'601016,3070
'000616,3056
'601128,3055
'600584,3052
'002497,3051
'300111,3042
'601162,3031
'600549,3028
'601008,3011
'601198,3011
'000970,3005
'600026,3000
'600611,2998
'600789,2997
'000516,2992
'600399,2990
'000623,2967
'002004,2962
'000592,2953
'600175,2952
'002155,2946
'600999,2932
'002065,2921
'600586,2916
'601881,2905
'600326,2903
'000012,2900
'002183,2897
'601878,2894
'600125,2881
'000728,2877
'600158,2876
'000627,2867
'000572,2865
'002938,2864
'002663,2863
'000559,2863
'000973,2860
'600777,2856
'000488,2851
'601326,2845
'600664,2843
'002130,2837
'600104,2835
'601200,2831
'600388,2815
'600900,2809
'002547,2805
'002342,2802
'600804,2796
'601555,2786
'002489,2776
'000937,2776
'600565,2771
'600490,2771
'600655,2766
'601788,2763
'300070,2762
'600977,2755
'600176,2749
'600446,2739
'000793,2727
'601117,2724
'600208,2723
'002463,2723
'002431,2719
'002177,2717
'000670,2716
'600405,2709
'000877,2694
'000831,2693
'002471,2691
'002839,2686
'002161,2684
'600677,2681
'002739,2680
'600988,2677
'600063,2673
'600811,2673
'002089,2668
'002392,2667
'600110,2663
'600130,2656
'002491,2654
'002263,2649
'600133,2649
'600812,2644
'001696,2642
'000806,2641
'600512,2640
'000792,2633
'002217,2632
'600744,2631
'600291,2627
'600598,2626
'600074,2626
'002154,2621
'000069,2606
'000039,2603
'600348,2601
'601577,2594
'600874,2588
'000988,2588
'000650,2577
'600343,2576
'002236,2567
'000519,2566
'600846,2562
'000536,2556
'002256,2551
'000423,2549
