stkcode,headcount
'000725,42767
'601989,23501
'601766,22782
'601899,20983
'600795,19992
'600050,19579
'600030,18194
'601390,17647
'600010,16369
'601988,15917
'601857,15807
'601668,14890
'601600,14233
'600028,13892
'601985,13545
'000100,13386
'601398,12887
'601169,12335
'601318,12212
'600221,12142
'601618,11641
'000651,11389
'000630,11219
'601288,10859
'000001,10837
'600016,10742
'601099,10482
'000157,10316
'601866,10264
'600019,10086
'000413,10067
'601258,9997
'600839,9936
'000709,9905
'000063,9677
'601138,9514
'601106,9509
'600031,9424
'600868,9376
'600157,9344
'601939,9330
'600111,9287
'600307,9170
'601727,9042
'600022,9004
'000166,8725
'601328,8472
'603993,8330
'000629,8171
'601919,8081
'601669,8041
'002024,8021
'600068,7982
'601186,7852
'600089,7763
'300104,7665
'601319,7482
'600837,7421
'600601,7295
'600008,7235
'600401,7225
'600518,7222
'600219,7126
'601377,7124
'600018,7081
'002230,7046
'000425,6909
'600025,6870
'600635,6849
'600567,6798
'002340,6787
'600516,6777
'000839,6760
'000858,6756
'601558,6743
'000002,6719
'002610,6705
'601166,6668
'002926,6666
'000540,6641
'002797,6591
'600489,6577
'600863,6521
'601333,6472
'002936,6389
'300059,6386
'600487,6184
'000783,6153
'002948,6114
'601901,6113
'600887,6073
'600808,5928
'601818,5854
'600170,5804
'600036,5788
'601918,5776
'601991,5728
'600705,5689
'002195,5676
'600115,5602
'000778,5593
'600653,5581
'000338,5560
'600522,5519
'002673,5481
'000750,5433
'600503,5405
'601018,5402
'601992,5386
'000825,5371
'601880,5362
'300315,5356
'600000,5319
'600320,5302
'601168,5300
'000667,5290
'000009,5286
'601066,5264
'002450,5248
'600256,5247
'600166,5240
'600029,5230
'600100,5225
'601588,5185
'601088,5174
'000735,5132
'600415,5071
'000751,5052
'600919,5052
'000031,5001
'600497,4972
'600023,4930
'000875,4907
'600879,4892
'000625,4886
'600255,4862
'601998,4860
'600637,4859
'603077,4857
'600642,4846
'600108,4825
'000333,4802
'000598,4753
'002460,4748
'600690,4736
'601211,4699
'002131,4685
'000768,4680
'601872,4645
'002477,4641
'000727,4638
'600820,4636
'000060,4608
'600317,4592
'600909,4585
'600369,4584
'600703,4529
'600755,4496
'601005,4467
'002456,4465
'601898,4448
'600886,4430
'000776,4402
'600901,4398
'002027,4396
'600958,4384
'000683,4370
'601111,4361
'600485,4352
'600048,4334
'002415,4308
'600895,4299
'600039,4293
'600873,4280
'601212,4263
'002466,4250
'000977,4238
'601688,4235
'000066,4234
'601179,4218
'000078,4211
'300024,4191
'002465,4190
'600118,4188
'002600,4187
'600460,4164
'002031,4161
'000930,4160
'600017,4157
'600547,4152
'002405,4144
'000656,4143
'000897,4114
'600252,4096
'000983,4089
'002505,4085
'002500,4085
'000682,4084
'600435,4083
'600362,4058
'600959,4057
'601229,4048
'600309,4044
'600109,4040
'600187,4011
'600210,4008
'600776,4005
'601865,3996
'601009,3981
'601718,3950
'600282,3929
'002185,3927
'600169,3921
'000882,3906
'000807,3900
'601838,3896
'000767,3896
