stkcode,headcount
'000725,46237
'002958,26213
'601989,24256
'601766,23130
'601899,20814
'600795,19987
'600030,19781
'600050,19476
'601390,18057
'600010,17709
'000100,16312
'601668,16182
'601857,16162
'601988,15903
'600028,14178
'601600,13892
'601985,13767
'601398,13727
'601099,12800
'601169,12491
'600221,12271
'601618,12170
'601318,12022
'000630,11887
'000651,11698
'601288,11469
'600839,11113
'601258,10828
'600016,10815
'600157,10747
'000001,10644
'000063,10174
'601866,10094
'600019,10064
'000157,9927
'000413,9838
'601106,9825
'002065,9801
'000166,9768
'000709,9707
'601939,9478
'600868,9445
'600031,9377
'600022,9363
'600111,9115
'601727,9019
'601066,8903
'601328,8536
'600307,8507
'603993,8351
'601138,8242
'601669,8130
'600089,8122
'601186,8068
'002024,8060
'000629,8047
'300059,8039
'600837,7998
'601919,7992
'600068,7906
'002195,7891
'600518,7794
'002230,7774
'600219,7482
'000839,7420
'600601,7407
'600567,7334
'300104,7232
'600401,7229
'002610,7198
'601319,7165
'601377,7127
'600635,7113
'600008,7108
'601558,6691
'600489,6648
'601166,6643
'002131,6604
'600018,6600
'000002,6591
'002340,6579
'000425,6538
'002797,6474
'601333,6470
'600516,6449
'600025,6424
'000540,6414
'600863,6388
'600887,6330
'000727,6286
'600487,6252
'601818,6181
'000858,6130
'000783,6113
'600036,5963
'600808,5958
'600797,5897
'002027,5862
'601901,5816
'600170,5815
'000338,5686
'600705,5680
'601991,5661
'002600,5643
'000750,5612
'600522,5557
'601018,5555
'601519,5542
'000778,5538
'000625,5527
'600653,5488
'600000,5464
'600503,5445
'300017,5436
'002673,5433
'601880,5430
'601918,5422
'600320,5417
'000977,5355
'300315,5354
'000825,5312
'601588,5287
'000009,5280
'600255,5279
'600256,5263
'002926,5255
'600879,5253
'601088,5251
'601992,5241
'600166,5237
'601168,5194
'600108,5172
'600115,5170
'000667,5166
'600100,5166
'600637,5150
'600690,5147
'600415,5136
'601998,5129
'000751,5100
'601211,5088
'600369,5046
'600029,5021
'000875,5020
'600497,5012
'002456,5004
'000735,4987
'002936,4952
'600023,4936
'002460,4933
'601688,4896
'600919,4882
'002450,4872
'000031,4848
'002415,4824
'000683,4811
'600642,4804
'600703,4797
'603077,4787
'601212,4771
'600895,4754
'000598,4742
'600317,4719
'002477,4718
'000768,4706
'000060,4672
'600909,4665
'000563,4649
'000333,4608
'601608,4600
'600460,4587
'000066,4566
'600820,4550
'000682,4521
'600958,4488
'600886,4488
'000078,4487
'601872,4485
'601005,4478
'600755,4467
'601179,4466
'000897,4438
'600048,4419
'000776,4417
'002505,4382
'600352,4380
'600485,4354
'600816,4331
'601898,4312
'601111,4290
'600039,4288
'600017,4276
'600547,4269
'600928,4240
'600604,4232
'002031,4232
'002185,4204
'300024,4202
'601000,4197
'600435,4194
'601718,4187
'600109,4180
'600776,4163
'601108,4155
'601229,4139
'600362,4120
'000932,4115
'600873,4113
'000930,4097
'002465,4096
'002405,4087
'600959,4080
'002466,4076
'600118,4075
'601006,4074
'000656,4055
'601890,4048
'300003,4048
'600187,4047
'600104,4043
'300185,4038
'000983,4013
'600252,3989
'000917,3985
'600624,3976
'600027,3971
'000807,3962
'600176,3940
'600220,3937
'603799,3935
'600210,3929
'002500,3927
'000005,3915
'601010,3913
'600309,3909
'600169,3896
'000767,3893
'600282,3881
'601375,3861
'601216,3857
'002292,3848
'000882,3841
'600177,3824
'600901,3798
'601800,3795
'002948,3781
'601838,3777
'002008,3763
'002498,3763
'000652,3754
'000021,3737
'002176,3690
'000758,3685
'601933,3683
'002129,3682
'600033,3680
'601009,3661
'600151,3652
'601118,3646
'600577,3640
'000027,3640
'600006,3618
'600276,3616
'000680,3606
'600196,3599
'600737,3597
'002506,3587
'300027,3585
'000636,3573
'000886,3562
'600496,3552
'002280,3551
'600495,3545
'600410,3545
'000878,3540
'601326,3538
'600606,3534
'601975,3527
'000830,3527
'002310,3511
'601611,3502
'601228,3500
'002241,3486
'000898,3481
'600726,3472
'600150,3447
'600711,3439
'600550,3438
'002385,3432
'600881,3417
'600015,3416
'002266,3387
'600698,3385
'600021,3383
'000670,3380
'000717,3376
'600297,3375
'000933,3358
'600871,3356
'600584,3352
'000571,3352
'600595,3342
'002407,3334
'000931,3332
'600875,3332
'601298,3327
'000793,3327
'002013,3304
'000572,3300
'600528,3298
'600572,3297
'600583,3290
'600425,3280
'601628,3278
'600380,3273
'601008,3266
'601016,3258
