stkcode,headcount
'000725,43798
'601989,23466
'601766,22679
'601899,21087
'600795,20032
'600050,19581
'600030,17750
'601390,17653
'600010,16292
'601988,15916
'601857,15870
'601668,14738
'601600,14224
'600028,13939
'601985,13547
'000100,13465
'601398,12718
'601318,12346
'601169,12346
'600221,12209
'601618,11687
'000651,11518
'000630,11213
'000001,10956
'601288,10792
'600016,10757
'601099,10431
'000157,10342
'000413,10317
'601866,10270
'600019,10136
'601258,10003
'600839,9980
'000709,9907
'601138,9714
'601106,9541
'000063,9481
'600031,9476
'600868,9474
'600157,9348
'600111,9325
'601939,9285
'600307,9149
'601727,9062
'600022,9033
'000166,8529
'601328,8462
'603993,8407
'000629,8311
'601919,8100
'601669,8041
'002024,7998
'600068,7963
'601186,7855
'600089,7809
'601319,7706
'300104,7643
'600518,7525
'600601,7303
'600837,7282
'600008,7259
'600401,7225
'600219,7135
'601377,7090
'600018,7087
'002230,7033
'600025,6935
'000425,6933
'000858,6858
'600635,6846
'600567,6809
'002340,6785
'601558,6759
'000839,6722
'600516,6701
'002610,6698
'601166,6694
'000540,6651
'002926,6583
'600863,6571
'600489,6553
'000002,6520
'601333,6484
'002936,6454
'002948,6421
'002797,6396
'300059,6159
'600487,6138
'000783,6099
'600887,6028
'601901,5974
'600808,5956
'600036,5922
'601818,5889
'600170,5822
'601918,5754
'601991,5751
'002195,5718
'600705,5668
'600115,5653
'600653,5607
'000778,5599
'600503,5542
'000338,5539
'600522,5515
'601018,5425
'000825,5419
'601992,5413
'000009,5344
'300315,5327
'002673,5326
'600000,5325
'601880,5322
'002450,5320
'600320,5318
'600029,5313
'601168,5303
'000667,5299
'000750,5279
'600256,5264
'600100,5247
'600166,5242
'601588,5199
'601066,5166
'000735,5090
'601088,5090
'600415,5080
'600919,5076
'000751,5052
'000031,5025
'600023,4947
'000875,4945
'000625,4921
'600497,4884
'601998,4880
'600642,4871
'600255,4849
'600108,4842
'603077,4813
'600879,4809
'600637,4797
'600690,4765
'000598,4759
'002600,4757
'002131,4730
'002460,4713
'601872,4680
'000768,4674
'600820,4665
'600317,4607
